"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","32.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14324&pref=37994&sex=male&loo=32.30000&k=0.21000&id2=14601&genusname=Acanthopagrus&speciesname=butcheri&gm_loo=40.859236412869&gm_lm=1&gm_m=1&gm_k=0.16197521536&vautoctr=6425&gm_lm_rl=1"">0.21</a>","-0.31","M","","15.0","","2.34","Australia","Nornalup Walpole Estuary (southern west coast)","No","No"
"2","34.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14324&pref=37994&sex=male&loo=34.50000&k=0.27000&id2=14601&genusname=Acanthopagrus&speciesname=butcheri&gm_loo=40.859236412869&gm_lm=1&gm_m=1&gm_k=0.16197521536&vautoctr=6427&gm_lm_rl=1"">0.27</a>","-0.18","M","","15.0","","2.51","Australia","Wellstead Estuary (southern west coast)","No","No"
"3","36.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14324&pref=37994&sex=female&loo=36.70000&k=0.16000&id2=14601&genusname=Acanthopagrus&speciesname=butcheri&gm_loo=40.859236412869&gm_lm=1&gm_m=1&gm_k=0.16197521536&vautoctr=6424&gm_lm_rl=1"">0.16</a>","-0.60","F","","15.0","","2.33","Australia","Nornalup Walpole Estuary (southern west coast)","No","No"
"4","37.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14324&pref=37994&sex=female&loo=37.80000&k=0.25000&id2=14601&genusname=Acanthopagrus&speciesname=butcheri&gm_loo=40.859236412869&gm_lm=1&gm_m=1&gm_k=0.16197521536&vautoctr=6426&gm_lm_rl=1"">0.25</a>","-0.17","F","","15.0","","2.55","Australia","Wellstead Estuary (southern west coast)","No","No"
"5","38.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14324&pref=36820&sex=male&loo=38.00000&k=0.07700&id2=14601&genusname=Acanthopagrus&speciesname=butcheri&gm_loo=40.859236412869&gm_lm=1&gm_m=1&gm_k=0.16197521536&vautoctr=5887&gm_lm_rl=1"">0.08</a>","-3.70","M","","15.3","","2.05","Australia","Gippsland lakes, Victoria","Yes","No"
"6","40.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14324&pref=36820&sex=mixed&loo=40.20000&k=0.07000&id2=14601&genusname=Acanthopagrus&speciesname=butcheri&gm_loo=40.859236412869&gm_lm=1&gm_m=1&gm_k=0.16197521536&vautoctr=5888&gm_lm_rl=1"">0.07</a>","-4.14","","","15.3","","2.05","Australia","Gippsland lakes, Victoria","Yes","No"
"7","41.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14324&pref=37994&sex=male&loo=41.90000&k=0.31000&id2=14601&genusname=Acanthopagrus&speciesname=butcheri&gm_loo=40.859236412869&gm_lm=1&gm_m=1&gm_k=0.16197521536&vautoctr=6419&gm_lm_rl=1"">0.31</a>","-0.15","M","","15.0","","2.74","Australia","Swan River Estuary (southern west coast)","No","No"
"8","42.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14324&pref=37994&sex=male&loo=42.90000&k=0.11000&id2=14601&genusname=Acanthopagrus&speciesname=butcheri&gm_loo=40.859236412869&gm_lm=1&gm_m=1&gm_k=0.16197521536&vautoctr=6422&gm_lm_rl=1"">0.11</a>","-0.61","M","","15.0","","2.31","Australia","Moore River Estuary (southern west coast)","No","No"
"9","43.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14324&pref=37994&sex=female&loo=43.70000&k=0.30000&id2=14601&genusname=Acanthopagrus&speciesname=butcheri&gm_loo=40.859236412869&gm_lm=1&gm_m=1&gm_k=0.16197521536&vautoctr=6418&gm_lm_rl=1"">0.30</a>","-0.13","F","","15.0","","2.76","Australia","Swan River Estuary (southern west coast)","No","No"
"10","43.8","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14324&pref=72458&sex=unsexed&loo=43.80000&k=0.30000&id2=14601&genusname=Acanthopagrus&speciesname=butcheri&gm_loo=40.859236412869&gm_lm=1&gm_m=1&gm_k=0.16197521536&vautoctr=9419&gm_lm_rl=1"">0.30</a>","","","","","","2.76","","","No","No"
"11","44.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14324&pref=37994&sex=male&loo=44.20000&k=0.32000&id2=14601&genusname=Acanthopagrus&speciesname=butcheri&gm_loo=40.859236412869&gm_lm=1&gm_m=1&gm_k=0.16197521536&vautoctr=6428&gm_lm_rl=1"">0.32</a>","-0.46","M","","15.0","","2.80","Australia","Lake Clifton, Western Australia","No","No"
"12","45.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14324&pref=37994&sex=female&loo=45.20000&k=0.11000&id2=14601&genusname=Acanthopagrus&speciesname=butcheri&gm_loo=40.859236412869&gm_lm=1&gm_m=1&gm_k=0.16197521536&vautoctr=6421&gm_lm_rl=1"">0.11</a>","-0.54","F","","15.0","","2.35","Australia","Moore River Estuary (southern west coast)","No","No"
"13","54.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14324&pref=36820&sex=female&loo=54.50000&k=0.04000&id2=14601&genusname=Acanthopagrus&speciesname=butcheri&gm_loo=40.859236412869&gm_lm=1&gm_m=1&gm_k=0.16197521536&vautoctr=5886&gm_lm_rl=1"">0.04</a>","-5.21","F","","15.3","","2.07","Australia","Gippsland lakes, Victoria","Yes","No"
