"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","54.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=528&pref=31635&sex=male&loo=54.70000&k=0.47200&id2=512&genusname=Anoplopoma&speciesname=fimbria&gm_loo=74.77613937599&gm_lm=62.449979983984&gm_m=1&gm_k=0.21750158152453&vautoctr=11551&gm_lm_rl=0.74759614747128"">0.47</a>","-1.82","M","","","","3.15","USA","West coast","No","No"
"2","56.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=528&pref=35456&sex=male&loo=56.00000&k=0.43000&id2=512&genusname=Anoplopoma&speciesname=fimbria&gm_loo=74.77613937599&gm_lm=62.449979983984&gm_m=1&gm_k=0.21750158152453&vautoctr=7118&gm_lm_rl=0.74759614747128"">0.43</a>","-0.22","M","","8.5","","3.13","","Vancouver I. (west coast)","Yes","No"
"3","56.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=528&pref=31635&sex=male&loo=56.60000&k=0.55600&id2=512&genusname=Anoplopoma&speciesname=fimbria&gm_loo=74.77613937599&gm_lm=62.449979983984&gm_m=1&gm_k=0.21750158152453&vautoctr=11550&gm_lm_rl=0.74759614747128"">0.56</a>","","M","","","","3.25","USA","West coast","No","No"
"4","61.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=528&pref=31635&sex=female&loo=61.00000&k=0.49900&id2=512&genusname=Anoplopoma&speciesname=fimbria&gm_loo=74.77613937599&gm_lm=62.449979983984&gm_m=1&gm_k=0.21750158152453&vautoctr=11553&gm_lm_rl=0.74759614747128"">0.50</a>","-0.81","F","","","","3.27","USA","West coast","No","No"
"5","61.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=528&pref=31635&sex=female&loo=61.40000&k=0.48100&id2=512&genusname=Anoplopoma&speciesname=fimbria&gm_loo=74.77613937599&gm_lm=62.449979983984&gm_m=1&gm_k=0.21750158152453&vautoctr=11552&gm_lm_rl=0.74759614747128"">0.48</a>","","F","","","","3.26","USA","West coast","No","No"
"6","64.6","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=528&pref=35456&sex=male&loo=64.60000&k=0.26000&id2=512&genusname=Anoplopoma&speciesname=fimbria&gm_loo=74.77613937599&gm_lm=62.449979983984&gm_m=1&gm_k=0.21750158152453&vautoctr=7113&gm_lm_rl=0.74759614747128"">0.26</a>","-2.91","M","","8.5","","3.04","","Queen Charlotte Sound (east coast inlets)","No","No"
"7","65.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=528&pref=97183&sex=male&loo=65.30000&k=0.22700&id2=512&genusname=Anoplopoma&speciesname=fimbria&gm_loo=74.77613937599&gm_lm=62.449979983984&gm_m=1&gm_k=0.21750158152453&vautoctr=21146&gm_lm_rl=0.74759614747128"">0.23</a>","-4.09","M","","","","2.99","Alaska","Aleutian Islands","No","No"
"8","65.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=528&pref=35456&sex=male&loo=65.50000&k=0.47000&id2=512&genusname=Anoplopoma&speciesname=fimbria&gm_loo=74.77613937599&gm_lm=62.449979983984&gm_m=1&gm_k=0.21750158152453&vautoctr=7111&gm_lm_rl=0.74759614747128"">0.47</a>","0.14","M","","8.5","","3.30","","Queen Charlotte Is. (west coast)","Yes","No"
"9","65.7","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=528&pref=35456&sex=male&loo=65.70000&k=0.29000&id2=512&genusname=Anoplopoma&speciesname=fimbria&gm_loo=74.77613937599&gm_lm=62.449979983984&gm_m=1&gm_k=0.21750158152453&vautoctr=7116&gm_lm_rl=0.74759614747128"">0.29</a>","-1.75","M","","8.5","","3.10","","Vancouver I. (west coast)","No","No"
"10","67.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=528&pref=97183&sex=male&loo=67.80000&k=0.29000&id2=512&genusname=Anoplopoma&speciesname=fimbria&gm_loo=74.77613937599&gm_lm=62.449979983984&gm_m=1&gm_k=0.21750158152453&vautoctr=21147&gm_lm_rl=0.74759614747128"">0.29</a>","-2.27","M","","","","3.12","Alaska","Aleutian Islands","No","No"
