"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","20.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=54&pref=27030&sex=male&loo=20.40000&k=0.50800&id2=44&genusname=Chelidonichthys&speciesname=cuculus&gm_loo=32.113677911802&gm_lm=26.069669261642&gm_m=1&gm_k=0.38630991081637&vautoctr=499&gm_lm_rl=0.63403471985974"">0.51</a>","0.56","M","","14.0","","2.33","Greece","Saronikos Gulf","No","No"
"2","23.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=54&pref=47663&sex=male&loo=23.40000&k=0.59000&id2=44&genusname=Chelidonichthys&speciesname=cuculus&gm_loo=32.113677911802&gm_lm=26.069669261642&gm_m=1&gm_k=0.38630991081637&vautoctr=7282&gm_lm_rl=0.63403471985974"">0.59</a>","-0.38","M","","19.0","","2.51","Italy","Tyrrhenian Sea","No","No"
"3","24.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=54&pref=47663&sex=female&loo=24.20000&k=0.74000&id2=44&genusname=Chelidonichthys&speciesname=cuculus&gm_loo=32.113677911802&gm_lm=26.069669261642&gm_m=1&gm_k=0.38630991081637&vautoctr=7281&gm_lm_rl=0.63403471985974"">0.74</a>","-0.07","F","","19.0","","2.64","Italy","Tyrrhenian Sea","No","No"
"4","27.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=54&pref=26321&sex=female&loo=27.50000&k=0.22300&id2=44&genusname=Chelidonichthys&speciesname=cuculus&gm_loo=32.113677911802&gm_lm=26.069669261642&gm_m=1&gm_k=0.38630991081637&vautoctr=496&gm_lm_rl=0.63403471985974"">0.22</a>","1.27","F","","14.0","","2.23","Greece","Saronikos Gulf","Yes","No"
"5","29.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=54&pref=47663&sex=female&loo=29.20000&k=0.40000&id2=44&genusname=Chelidonichthys&speciesname=cuculus&gm_loo=32.113677911802&gm_lm=26.069669261642&gm_m=1&gm_k=0.38630991081637&vautoctr=7284&gm_lm_rl=0.63403471985974"">0.40</a>","","F","","19.0","","2.53","Italy","Adriatic Sea","No","No"
"6","29.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=54&pref=47663&sex=male&loo=29.30000&k=0.41000&id2=44&genusname=Chelidonichthys&speciesname=cuculus&gm_loo=32.113677911802&gm_lm=26.069669261642&gm_m=1&gm_k=0.38630991081637&vautoctr=7283&gm_lm_rl=0.63403471985974"">0.41</a>","","M","","19.0","","2.55","Italy","Adriatic Sea","No","No"
"7","32.3","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=54&pref=96811&sex=mixed&loo=32.30000&k=0.35000&id2=44&genusname=Chelidonichthys&speciesname=cuculus&gm_loo=32.113677911802&gm_lm=26.069669261642&gm_m=1&gm_k=0.38630991081637&vautoctr=21102&gm_lm_rl=0.63403471985974"">0.35</a>","-0.46","","","","","2.56","Spain","Catalan Sea","No","No"
"8","34.8","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=54&pref=7253&sex=mixed&loo=34.80000&k=0.28300&id2=44&genusname=Chelidonichthys&speciesname=cuculus&gm_loo=32.113677911802&gm_lm=26.069669261642&gm_m=1&gm_k=0.38630991081637&vautoctr=495&gm_lm_rl=0.63403471985974"">0.28</a>","","","","14.0","","2.53","France","Gulf of Lion","No","No"
"9","37.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=54&pref=72458&sex=male&loo=37.00000&k=0.37000&id2=44&genusname=Chelidonichthys&speciesname=cuculus&gm_loo=32.113677911802&gm_lm=26.069669261642&gm_m=1&gm_k=0.38630991081637&vautoctr=9597&gm_lm_rl=0.63403471985974"">0.37</a>","-0.08","M","","","","2.70","","","No","No"
"10","37.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=54&pref=26321&sex=male&loo=37.10000&k=0.52000&id2=44&genusname=Chelidonichthys&speciesname=cuculus&gm_loo=32.113677911802&gm_lm=26.069669261642&gm_m=1&gm_k=0.38630991081637&vautoctr=498&gm_lm_rl=0.63403471985974"">0.52</a>","","M","","11.0","25.0","2.85","France","Douarnenez Bay","No","No"
