"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","54.6","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5738&pref=52571&sex=male&loo=54.58000&k=0.10700&id2=5462&genusname=Bagrus&speciesname=bajad&gm_loo=73.364059990076&gm_lm=31.5&gm_m=1&gm_k=0.14397287385852&vautoctr=8030&gm_lm_rl=0.37999999523163"">0.11</a>","-1.87","M","","","","2.50","Egypt","Assiut","No","No"
"2","55.9","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5738&pref=52571&sex=mixed&loo=55.90000&k=0.08200&id2=5462&genusname=Bagrus&speciesname=bajad&gm_loo=73.364059990076&gm_lm=31.5&gm_m=1&gm_k=0.14397287385852&vautoctr=8032&gm_lm_rl=0.37999999523163"">0.08</a>","-2.15","","","","","2.41","Egypt","Assiut","No","No"
"3","58.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5738&pref=52571&sex=female&loo=57.99000&k=0.06700&id2=5462&genusname=Bagrus&speciesname=bajad&gm_loo=73.364059990076&gm_lm=31.5&gm_m=1&gm_k=0.14397287385852&vautoctr=8031&gm_lm_rl=0.37999999523163"">0.07</a>","-2.34","F","","","","2.35","Egypt","Assiut","No","No"
"4","70.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5738&pref=52571&sex=male&loo=70.05000&k=0.32300&id2=5462&genusname=Bagrus&speciesname=bajad&gm_loo=73.364059990076&gm_lm=31.5&gm_m=1&gm_k=0.14397287385852&vautoctr=8024&gm_lm_rl=0.37999999523163"">0.32</a>","0.24","M","","","","3.20","Egypt","Nozha Hydrodrome","No","No"
"5","73.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5738&pref=52571&sex=mixed&loo=73.50000&k=0.24100&id2=5462&genusname=Bagrus&speciesname=bajad&gm_loo=73.364059990076&gm_lm=31.5&gm_m=1&gm_k=0.14397287385852&vautoctr=8026&gm_lm_rl=0.37999999523163"">0.24</a>","0.03","","","","","3.11","Egypt","Nozha Hydrodrome","No","No"
"6","74.4","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5738&pref=52571&sex=female&loo=74.37000&k=0.27300&id2=5462&genusname=Bagrus&speciesname=bajad&gm_loo=73.364059990076&gm_lm=31.5&gm_m=1&gm_k=0.14397287385852&vautoctr=8025&gm_lm_rl=0.37999999523163"">0.27</a>","0.12","F","","","","3.18","Egypt","Nozha Hydrodrome","No","No"
"7","78.7","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5738&pref=52571&sex=mixed&loo=78.69000&k=0.20500&id2=5462&genusname=Bagrus&speciesname=bajad&gm_loo=73.364059990076&gm_lm=31.5&gm_m=1&gm_k=0.14397287385852&vautoctr=8034&gm_lm_rl=0.37999999523163"">0.21</a>","-1.43","","","","","3.10","Sudan","","No","No"
"8","79.4","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5738&pref=52571&sex=mixed&loo=79.43000&k=0.19700&id2=5462&genusname=Bagrus&speciesname=bajad&gm_loo=73.364059990076&gm_lm=31.5&gm_m=1&gm_k=0.14397287385852&vautoctr=8033&gm_lm_rl=0.37999999523163"">0.20</a>","-1.36","","","","","3.09","","Lake Nasser","No","No"
"9","82.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5738&pref=9527&sex=unsexed&loo=82.00000&k=0.18000&id2=5462&genusname=Bagrus&speciesname=bajad&gm_loo=73.364059990076&gm_lm=31.5&gm_m=1&gm_k=0.14397287385852&vautoctr=4482&gm_lm_rl=0.37999999523163"">0.18</a>","","","","28.0","31.5","3.08","Kenya","Lake Turkana","No","No"
"10","82.7","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5738&pref=52571&sex=female&loo=82.67000&k=0.08100&id2=5462&genusname=Bagrus&speciesname=bajad&gm_loo=73.364059990076&gm_lm=31.5&gm_m=1&gm_k=0.14397287385852&vautoctr=8028&gm_lm_rl=0.37999999523163"">0.08</a>","-1.68","F","","","","2.74","Egypt","Bahr Shebeen","No","No"
"11","84.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5738&pref=27490&sex=mixed&loo=84.00000&k=0.25900&id2=5462&genusname=Bagrus&speciesname=bajad&gm_loo=73.364059990076&gm_lm=31.5&gm_m=1&gm_k=0.14397287385852&vautoctr=8046&gm_lm_rl=0.37999999523163"">0.26</a>","0.07","","","","","3.26","","","No","No"
"12","85.9","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5738&pref=52571&sex=mixed&loo=85.90000&k=0.08100&id2=5462&genusname=Bagrus&speciesname=bajad&gm_loo=73.364059990076&gm_lm=31.5&gm_m=1&gm_k=0.14397287385852&vautoctr=8029&gm_lm_rl=0.37999999523163"">0.08</a>","-1.52","","","","","2.78","Egypt","Bahr Shebeen","No","No"
"13","86.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5738&pref=52571&sex=male&loo=86.11000&k=0.07400&id2=5462&genusname=Bagrus&speciesname=bajad&gm_loo=73.364059990076&gm_lm=31.5&gm_m=1&gm_k=0.14397287385852&vautoctr=8027&gm_lm_rl=0.37999999523163"">0.07</a>","-1.58","M","","","","2.74","Egypt","Bahr Shebeen","No","No"
