"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","59.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6840&pref=52571&sex=male&loo=59.50000&k=0.07700&id2=6519&genusname=Bagrus&speciesname=docmak&gm_loo=88.141277899434&gm_lm=1&gm_m=1&gm_k=0.1043628596532&vautoctr=8036&gm_lm_rl=1"">0.08</a>","-1.74","M","","","","2.44","Egypt","Assiut","No","No"
"2","61.9","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6840&pref=52571&sex=female&loo=61.94000&k=0.06900&id2=6519&genusname=Bagrus&speciesname=docmak&gm_loo=88.141277899434&gm_lm=1&gm_m=1&gm_k=0.1043628596532&vautoctr=8037&gm_lm_rl=1"">0.07</a>","-1.26","F","","","","2.42","Egypt","Assiut","No","No"
"3","64.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6840&pref=52571&sex=mixed&loo=64.10000&k=0.06900&id2=6519&genusname=Bagrus&speciesname=docmak&gm_loo=88.141277899434&gm_lm=1&gm_m=1&gm_k=0.1043628596532&vautoctr=8038&gm_lm_rl=1"">0.07</a>","-1.33","","","","","2.45","Egypt","Assiut","No","No"
"4","78.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6840&pref=2939&sex=unsexed&loo=78.40000&k=0.18000&id2=6519&genusname=Bagrus&speciesname=docmak&gm_loo=88.141277899434&gm_lm=1&gm_m=1&gm_k=0.1043628596532&vautoctr=4604&gm_lm_rl=1"">0.18</a>","-0.48","","","25.5","","3.04","Kenya","Winam Golf, Lake Victoria","No","No"
"5","82.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6840&pref=9532&sex=unsexed&loo=82.50000&k=0.08000&id2=6519&genusname=Bagrus&speciesname=docmak&gm_loo=88.141277899434&gm_lm=1&gm_m=1&gm_k=0.1043628596532&vautoctr=8023&gm_lm_rl=1"">0.08</a>","-0.41","","","","","2.74","Uganda","Dagusi, Lake Victoria","No","No"
"6","85.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6840&pref=9527&sex=unsexed&loo=85.00000&k=0.35000&id2=6519&genusname=Bagrus&speciesname=docmak&gm_loo=88.141277899434&gm_lm=1&gm_m=1&gm_k=0.1043628596532&vautoctr=4606&gm_lm_rl=1"">0.35</a>","","","","28.0","","3.40","Tanzania","Lake Victoria","No","No"
"7","102.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6840&pref=2939&sex=unsexed&loo=102.00000&k=0.17000&id2=6519&genusname=Bagrus&speciesname=docmak&gm_loo=88.141277899434&gm_lm=1&gm_m=1&gm_k=0.1043628596532&vautoctr=4605&gm_lm_rl=1"">0.17</a>","-0.48","","","25.5","","3.25","Nigeria","Niger-Bénoué","No","No"
"8","114.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6840&pref=52571&sex=mixed&loo=114.00000&k=0.06900&id2=6519&genusname=Bagrus&speciesname=docmak&gm_loo=88.141277899434&gm_lm=1&gm_m=1&gm_k=0.1043628596532&vautoctr=8039&gm_lm_rl=1"">0.07</a>","-1.22","","","","","2.95","","Lake Nasser","No","No"
"9","131.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6840&pref=52571&sex=mixed&loo=131.20000&k=0.06800&id2=6519&genusname=Bagrus&speciesname=docmak&gm_loo=88.141277899434&gm_lm=1&gm_m=1&gm_k=0.1043628596532&vautoctr=8041&gm_lm_rl=1"">0.07</a>","-1.19","","","","","3.07","","Lake Nasser","No","No"
"10","142.8","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=6840&pref=52571&sex=mixed&loo=142.83000&k=0.10400&id2=6519&genusname=Bagrus&speciesname=docmak&gm_loo=88.141277899434&gm_lm=1&gm_m=1&gm_k=0.1043628596532&vautoctr=8042&gm_lm_rl=1"">0.10</a>","-1.19","","","","","3.33","Sudan","","No","No"
