"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","33.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4780&pref=12319&sex=female&loo=33.20000&k=0.33000&id2=4593&genusname=Branchiostegus&speciesname=japonicus&gm_loo=42.667852336158&gm_lm=27.64163526277&gm_m=1&gm_k=0.26360946020705&vautoctr=4187&gm_lm_rl=1"">0.33</a>","","F","","10.0","","2.56","Korea (South)","","No","No"
"2","34.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4780&pref=756&sex=female&loo=34.20000&k=0.30000&id2=4593&genusname=Branchiostegus&speciesname=japonicus&gm_loo=42.667852336158&gm_lm=27.64163526277&gm_m=1&gm_k=0.26360946020705&vautoctr=4185&gm_lm_rl=1"">0.30</a>","","F","","20.0","","2.55","China","East China Sea, 30°N  126°E, 100 m","No","No"
"3","34.9","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4780&pref=12319&sex=male&loo=34.90000&k=0.29800&id2=4593&genusname=Branchiostegus&speciesname=japonicus&gm_loo=42.667852336158&gm_lm=27.64163526277&gm_m=1&gm_k=0.26360946020705&vautoctr=4188&gm_lm_rl=1"">0.30</a>","","M","","10.0","","2.56","Korea (South)","","No","No"
"4","37.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4780&pref=96366&sex=female&loo=37.50000&k=0.31700&id2=4593&genusname=Branchiostegus&speciesname=japonicus&gm_loo=42.667852336158&gm_lm=27.64163526277&gm_m=1&gm_k=0.26360946020705&vautoctr=21163&gm_lm_rl=1"">0.32</a>","-0.42","F","","","25.3","2.65","Japan","East China Sea","No","No"
"5","38.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4780&pref=756&sex=male&loo=38.40000&k=0.30400&id2=4593&genusname=Branchiostegus&speciesname=japonicus&gm_loo=42.667852336158&gm_lm=27.64163526277&gm_m=1&gm_k=0.26360946020705&vautoctr=4186&gm_lm_rl=1"">0.30</a>","-0.38","M","","20.0","","2.65","China","East China Sea, 30°N  126°E, 100 m","No","No"
"6","41.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4780&pref=312&sex=unsexed&loo=41.60000&k=0.35800&id2=4593&genusname=Branchiostegus&speciesname=japonicus&gm_loo=42.667852336158&gm_lm=27.64163526277&gm_m=1&gm_k=0.26360946020705&vautoctr=4181&gm_lm_rl=1"">0.36</a>","","","","18.0","","2.79","Japan","Japan Sea (Awajima)","No","No"
"7","42.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4780&pref=312&sex=unsexed&loo=42.60000&k=0.28600&id2=4593&genusname=Branchiostegus&speciesname=japonicus&gm_loo=42.667852336158&gm_lm=27.64163526277&gm_m=1&gm_k=0.26360946020705&vautoctr=4182&gm_lm_rl=1"">0.29</a>","-0.72","","","12.0","","2.72","Japan","Pacific Coast, Central Japan","No","No"
"8","43.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4780&pref=312&sex=unsexed&loo=43.50000&k=0.33100&id2=4593&genusname=Branchiostegus&speciesname=japonicus&gm_loo=42.667852336158&gm_lm=27.64163526277&gm_m=1&gm_k=0.26360946020705&vautoctr=4183&gm_lm_rl=1"">0.33</a>","-0.48","","","20.0","","2.80","China","East China Sea","No","No"
"9","47.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4780&pref=72458&sex=female&loo=47.00000&k=0.21800&id2=4593&genusname=Branchiostegus&speciesname=japonicus&gm_loo=42.667852336158&gm_lm=27.64163526277&gm_m=1&gm_k=0.26360946020705&vautoctr=9516&gm_lm_rl=1"">0.22</a>","-0.09","F","","","","2.68","","","No","No"
"10","52.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4780&pref=96366&sex=male&loo=52.00000&k=0.19400&id2=4593&genusname=Branchiostegus&speciesname=japonicus&gm_loo=42.667852336158&gm_lm=27.64163526277&gm_m=1&gm_k=0.26360946020705&vautoctr=21164&gm_lm_rl=1"">0.19</a>","-0.76","M","","","30.2","2.72","Japan","East China Sea","No","No"
"11","57.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4780&pref=312&sex=unsexed&loo=57.40000&k=0.17600&id2=4593&genusname=Branchiostegus&speciesname=japonicus&gm_loo=42.667852336158&gm_lm=27.64163526277&gm_m=1&gm_k=0.26360946020705&vautoctr=4184&gm_lm_rl=1"">0.18</a>","0.75","","","10.0","","2.76","Japan","","Yes","No"
"12","59.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4780&pref=72458&sex=male&loo=59.00000&k=0.15700&id2=4593&genusname=Branchiostegus&speciesname=japonicus&gm_loo=42.667852336158&gm_lm=27.64163526277&gm_m=1&gm_k=0.26360946020705&vautoctr=9515&gm_lm_rl=1"">0.16</a>","-0.25","M","","","","2.74","","","No","No"
