"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","21.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1782&pref=48919&sex=unsexed&loo=21.60000&k=0.84000&id2=1589&genusname=Brevoortia&speciesname=patronus&gm_loo=26.782875915724&gm_lm=18.5&gm_m=1.1&gm_k=0.35379325802214&vautoctr=7334&gm_lm_rl=1"">0.84</a>","-0.16","","","26.0","","2.59","USA","Gulf of Mexico","No","No"
"2","22.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1782&pref=48919&sex=unsexed&loo=22.30000&k=0.65000&id2=1589&genusname=Brevoortia&speciesname=patronus&gm_loo=26.782875915724&gm_lm=18.5&gm_m=1.1&gm_k=0.35379325802214&vautoctr=7310&gm_lm_rl=1"">0.65</a>","-0.34","","","26.0","","2.51","USA","Gulf of Mexico","No","No"
"3","22.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1782&pref=48919&sex=unsexed&loo=22.40000&k=0.51000&id2=1589&genusname=Brevoortia&speciesname=patronus&gm_loo=26.782875915724&gm_lm=18.5&gm_m=1.1&gm_k=0.35379325802214&vautoctr=7326&gm_lm_rl=1"">0.51</a>","-0.41","","","26.0","","2.41","USA","Gulf of Mexico","No","No"
"4","22.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1782&pref=48919&sex=unsexed&loo=22.60000&k=0.56000&id2=1589&genusname=Brevoortia&speciesname=patronus&gm_loo=26.782875915724&gm_lm=18.5&gm_m=1.1&gm_k=0.35379325802214&vautoctr=7335&gm_lm_rl=1"">0.56</a>","-0.43","","","26.0","","2.46","USA","Gulf of Mexico","No","No"
"5","22.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1782&pref=48919&sex=unsexed&loo=22.60000&k=0.82000&id2=1589&genusname=Brevoortia&speciesname=patronus&gm_loo=26.782875915724&gm_lm=18.5&gm_m=1.1&gm_k=0.35379325802214&vautoctr=7312&gm_lm_rl=1"">0.82</a>","0.02","","","26.0","","2.62","USA","Gulf of Mexico","No","No"
"6","22.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1782&pref=48919&sex=unsexed&loo=22.80000&k=0.54000&id2=1589&genusname=Brevoortia&speciesname=patronus&gm_loo=26.782875915724&gm_lm=18.5&gm_m=1.1&gm_k=0.35379325802214&vautoctr=7324&gm_lm_rl=1"">0.54</a>","-0.18","","","26.0","","2.45","USA","Gulf of Mexico","No","No"
"7","23.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1782&pref=48919&sex=unsexed&loo=23.10000&k=0.51000&id2=1589&genusname=Brevoortia&speciesname=patronus&gm_loo=26.782875915724&gm_lm=18.5&gm_m=1.1&gm_k=0.35379325802214&vautoctr=7317&gm_lm_rl=1"">0.51</a>","-0.61","","","26.0","","2.43","USA","Gulf of Mexico","No","No"
"8","23.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1782&pref=48919&sex=unsexed&loo=23.20000&k=0.61000&id2=1589&genusname=Brevoortia&speciesname=patronus&gm_loo=26.782875915724&gm_lm=18.5&gm_m=1.1&gm_k=0.35379325802214&vautoctr=7318&gm_lm_rl=1"">0.61</a>","-0.04","","","26.0","","2.52","USA","Gulf of Mexico","No","No"
"9","23.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1782&pref=48919&sex=unsexed&loo=23.30000&k=0.51000&id2=1589&genusname=Brevoortia&speciesname=patronus&gm_loo=26.782875915724&gm_lm=18.5&gm_m=1.1&gm_k=0.35379325802214&vautoctr=7308&gm_lm_rl=1"">0.51</a>","-0.55","","","26.0","","2.44","USA","Gulf of Mexico","No","No"
"10","23.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1782&pref=48919&sex=unsexed&loo=23.40000&k=0.42000&id2=1589&genusname=Brevoortia&speciesname=patronus&gm_loo=26.782875915724&gm_lm=18.5&gm_m=1.1&gm_k=0.35379325802214&vautoctr=7329&gm_lm_rl=1"">0.42</a>","-1.06","","","26.0","","2.36","USA","Gulf of Mexico","No","No"
