"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","20.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1785&pref=1139&sex=unsexed&loo=20.60000&k=0.74100&id2=1592&genusname=Brevoortia&speciesname=tyrannus&gm_loo=34.917666874326&gm_lm=1&gm_m=0.56980192153051&gm_k=0.38912024186746&vautoctr=3064&gm_lm_rl=1"">0.74</a>","","","1.00","23.0","","2.50","USA","South Atlantic","Yes","No"
"2","20.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1785&pref=312&sex=unsexed&loo=20.90000&k=1.09100&id2=1592&genusname=Brevoortia&speciesname=tyrannus&gm_loo=34.917666874326&gm_lm=1&gm_m=0.56980192153051&gm_k=0.38912024186746&vautoctr=3024&gm_lm_rl=1"">1.09</a>","","","","24.0","","2.68","USA","South Atlantic","Yes","No"
"3","21.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1785&pref=312&sex=unsexed&loo=21.90000&k=0.77000&id2=1592&genusname=Brevoortia&speciesname=tyrannus&gm_loo=34.917666874326&gm_lm=1&gm_m=0.56980192153051&gm_k=0.38912024186746&vautoctr=3025&gm_lm_rl=1"">0.77</a>","","","","24.0","","2.57","USA","South Atlantic","No","No"
"4","22.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1785&pref=312&sex=unsexed&loo=22.70000&k=0.46300&id2=1592&genusname=Brevoortia&speciesname=tyrannus&gm_loo=34.917666874326&gm_lm=1&gm_m=0.56980192153051&gm_k=0.38912024186746&vautoctr=3026&gm_lm_rl=1"">0.46</a>","","","","24.0","","2.38","USA","South Atlantic","No","No"
"5","24.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1785&pref=312&sex=unsexed&loo=24.30000&k=0.63900&id2=1592&genusname=Brevoortia&speciesname=tyrannus&gm_loo=34.917666874326&gm_lm=1&gm_m=0.56980192153051&gm_k=0.38912024186746&vautoctr=3027&gm_lm_rl=1"">0.64</a>","","","","15.0","","2.58","USA","Chesapeake Bay","No","No"
"6","25.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1785&pref=312&sex=unsexed&loo=25.00000&k=0.49000&id2=1592&genusname=Brevoortia&speciesname=tyrannus&gm_loo=34.917666874326&gm_lm=1&gm_m=0.56980192153051&gm_k=0.38912024186746&vautoctr=3028&gm_lm_rl=1"">0.49</a>","","","","24.0","","2.49","USA","South Atlantic","No","No"
"7","28.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1785&pref=312&sex=unsexed&loo=28.30000&k=0.33800&id2=1592&genusname=Brevoortia&speciesname=tyrannus&gm_loo=34.917666874326&gm_lm=1&gm_m=0.56980192153051&gm_k=0.38912024186746&vautoctr=3029&gm_lm_rl=1"">0.34</a>","","","","15.0","","2.43","USA","Chesapeake Bay","No","No"
"8","30.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1785&pref=312&sex=unsexed&loo=30.90000&k=0.51100&id2=1592&genusname=Brevoortia&speciesname=tyrannus&gm_loo=34.917666874326&gm_lm=1&gm_m=0.56980192153051&gm_k=0.38912024186746&vautoctr=3030&gm_lm_rl=1"">0.51</a>","","","","15.0","","2.69","USA","Chesapeake Bay","No","No"
"9","31.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1785&pref=312&sex=unsexed&loo=31.70000&k=0.53300&id2=1592&genusname=Brevoortia&speciesname=tyrannus&gm_loo=34.917666874326&gm_lm=1&gm_m=0.56980192153051&gm_k=0.38912024186746&vautoctr=3031&gm_lm_rl=1"">0.53</a>","","","","15.0","","2.73","USA","Chesapeake Bay","No","No"
"10","33.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1785&pref=312&sex=unsexed&loo=33.80000&k=0.43200&id2=1592&genusname=Brevoortia&speciesname=tyrannus&gm_loo=34.917666874326&gm_lm=1&gm_m=0.56980192153051&gm_k=0.38912024186746&vautoctr=3032&gm_lm_rl=1"">0.43</a>","","","","15.0","","2.69","USA","Chesapeake Bay","No","No"
