"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","10.6","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=564&pref=907&sex=unsexed&loo=10.60000&k=2.30000&id2=548&genusname=Cetengraulis&speciesname=mysticetus&gm_loo=16.330508623759&gm_lm=12.598200970517&gm_m=2.4&gm_k=1.6171788713658&vautoctr=1905&gm_lm_rl=0.83553601948694"">2.30</a>","","","","24.4","9.6","2.41","Mexico","Banderas Bay","No","No"
"2","14.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=564&pref=312&sex=unsexed&loo=14.10000&k=2.58000&id2=548&genusname=Cetengraulis&speciesname=mysticetus&gm_loo=16.330508623759&gm_lm=12.598200970517&gm_m=2.4&gm_k=1.6171788713658&vautoctr=1899&gm_lm_rl=0.83553601948694"">2.58</a>","","","","24.4","12.7","2.71","Mexico","Guaymas Bay, Gulf of California","No","No"
"3","14.3","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=564&pref=907&sex=unsexed&loo=14.30000&k=2.09000&id2=548&genusname=Cetengraulis&speciesname=mysticetus&gm_loo=16.330508623759&gm_lm=12.598200970517&gm_m=2.4&gm_k=1.6171788713658&vautoctr=1906&gm_lm_rl=0.83553601948694"">2.09</a>","","","2.40","26.8","12.8","2.63","Colombia","Pacific coast","Yes","No"
"4","14.6","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=564&pref=312&sex=unsexed&loo=14.60000&k=2.42000&id2=548&genusname=Cetengraulis&speciesname=mysticetus&gm_loo=16.330508623759&gm_lm=12.598200970517&gm_m=2.4&gm_k=1.6171788713658&vautoctr=1900&gm_lm_rl=0.83553601948694"">2.42</a>","","","","24.4","13.2","2.71","Mexico","Ahome Point, Gulf of California","No","No"
"5","15.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=564&pref=909&sex=unsexed&loo=15.00000&k=2.36000&id2=548&genusname=Cetengraulis&speciesname=mysticetus&gm_loo=16.330508623759&gm_lm=12.598200970517&gm_m=2.4&gm_k=1.6171788713658&vautoctr=1908&gm_lm_rl=0.83553601948694"">2.36</a>","","","","27.3","12.6","2.73","Panama","Gulf of Panama","No","No"
"6","15.4","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=564&pref=312&sex=unsexed&loo=15.40000&k=2.92000&id2=548&genusname=Cetengraulis&speciesname=mysticetus&gm_loo=16.330508623759&gm_lm=12.598200970517&gm_m=2.4&gm_k=1.6171788713658&vautoctr=1901&gm_lm_rl=0.83553601948694"">2.92</a>","","","","29.4","12.8","2.84","Honduras","Gulf of Fonseca","No","No"
"7","16.6","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=564&pref=905&sex=unsexed&loo=16.60000&k=1.23000&id2=548&genusname=Cetengraulis&speciesname=mysticetus&gm_loo=16.330508623759&gm_lm=12.598200970517&gm_m=2.4&gm_k=1.6171788713658&vautoctr=1904&gm_lm_rl=0.83553601948694"">1.23</a>","","","","24.8","12.7","2.53","Mexico","Almejas Bay, Gulf of California","No","No"
"8","17.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=564&pref=909&sex=unsexed&loo=17.00000&k=1.31000&id2=548&genusname=Cetengraulis&speciesname=mysticetus&gm_loo=16.330508623759&gm_lm=12.598200970517&gm_m=2.4&gm_k=1.6171788713658&vautoctr=1909&gm_lm_rl=0.83553601948694"">1.31</a>","","","","27.3","12.6","2.58","Panama","Gulf of Panama (8°50'N 79°20'W)","No","No"
"9","17.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=564&pref=312&sex=unsexed&loo=17.10000&k=0.90000&id2=548&genusname=Cetengraulis&speciesname=mysticetus&gm_loo=16.330508623759&gm_lm=12.598200970517&gm_m=2.4&gm_k=1.6171788713658&vautoctr=1902&gm_lm_rl=0.83553601948694"">0.90</a>","","","","29.4","12.8","2.42","Honduras","Gulf of Fonseca, 1951, 1954-55","No","No"
"10","17.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=564&pref=312&sex=unsexed&loo=17.40000&k=1.34000&id2=548&genusname=Cetengraulis&speciesname=mysticetus&gm_loo=16.330508623759&gm_lm=12.598200970517&gm_m=2.4&gm_k=1.6171788713658&vautoctr=1903&gm_lm_rl=0.83553601948694"">1.34</a>","","","","24.9","14.8","2.61","Ecuador","Gulf of Guayaquil (3°S  80°W)","No","No"
