"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","67.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2130&pref=383&sex=female&loo=67.20000&k=0.51700&id2=1934&genusname=Clarias&speciesname=gariepinus&gm_loo=120.99783317896&gm_lm=34.065847018413&gm_m=1&gm_k=0.13345431051843&vautoctr=3359&gm_lm_rl=0.27000001072884"">0.52</a>","","F","","","","3.37","South Africa","Lake Sibaya","No","No"
"2","67.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2130&pref=2939&sex=female&loo=67.20000&k=0.22000&id2=1934&genusname=Clarias&speciesname=gariepinus&gm_loo=120.99783317896&gm_lm=34.065847018413&gm_m=1&gm_k=0.13345431051843&vautoctr=3383&gm_lm_rl=0.27000001072884"">0.22</a>","-0.88","F","","22.5","","3.00","Malawi","Lake Malawi","No","No"
"3","67.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2130&pref=26136&sex=unsexed&loo=67.50000&k=0.51000&id2=1934&genusname=Clarias&speciesname=gariepinus&gm_loo=120.99783317896&gm_lm=34.065847018413&gm_m=1&gm_k=0.13345431051843&vautoctr=3385&gm_lm_rl=0.27000001072884"">0.51</a>","","","","23.5","","3.37","Zambia","Bangweulu swamps","No","No"
"4","76.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2130&pref=383&sex=male&loo=76.00000&k=0.34900&id2=1934&genusname=Clarias&speciesname=gariepinus&gm_loo=120.99783317896&gm_lm=34.065847018413&gm_m=1&gm_k=0.13345431051843&vautoctr=3361&gm_lm_rl=0.27000001072884"">0.35</a>","","M","","","","3.30","South Africa","Lake Sibaya","No","No"
"5","79.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2130&pref=2896&sex=female&loo=79.00000&k=0.17000&id2=1934&genusname=Clarias&speciesname=gariepinus&gm_loo=120.99783317896&gm_lm=34.065847018413&gm_m=1&gm_k=0.13345431051843&vautoctr=3364&gm_lm_rl=0.27000001072884"">0.17</a>","","F","","26.5","29.0","3.03","Malawi","Shire River","No","No"
"6","85.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2130&pref=26923&sex=unsexed&loo=85.00000&k=0.20000&id2=1934&genusname=Clarias&speciesname=gariepinus&gm_loo=120.99783317896&gm_lm=34.065847018413&gm_m=1&gm_k=0.13345431051843&vautoctr=3386&gm_lm_rl=0.27000001072884"">0.20</a>","","","","","","3.16","Burkina Faso","Nazinon River","No","No"
"7","85.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2130&pref=32849&sex=female&loo=85.00000&k=0.20000&id2=1934&genusname=Clarias&speciesname=gariepinus&gm_loo=120.99783317896&gm_lm=34.065847018413&gm_m=1&gm_k=0.13345431051843&vautoctr=5009&gm_lm_rl=0.27000001072884"">0.20</a>","-0.20","F","","22.0","","3.16","Ethiopia","Bahir Dar Gulf, Lake Tana","No","No"
"8","88.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2130&pref=2896&sex=female&loo=88.00000&k=0.23000&id2=1934&genusname=Clarias&speciesname=gariepinus&gm_loo=120.99783317896&gm_lm=34.065847018413&gm_m=1&gm_k=0.13345431051843&vautoctr=3365&gm_lm_rl=0.27000001072884"">0.23</a>","","F","","21.5","","3.25","South Africa","Hartbeespoort Dam","No","No"
"9","90.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2130&pref=26923&sex=unsexed&loo=90.00000&k=0.14000&id2=1934&genusname=Clarias&speciesname=gariepinus&gm_loo=120.99783317896&gm_lm=34.065847018413&gm_m=1&gm_k=0.13345431051843&vautoctr=3387&gm_lm_rl=0.27000001072884"">0.14</a>","","","","","","3.05","Burkina Faso","Kokologho II reservoir","No","No"
"10","90.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2130&pref=32849&sex=male&loo=90.00000&k=0.20000&id2=1934&genusname=Clarias&speciesname=gariepinus&gm_loo=120.99783317896&gm_lm=34.065847018413&gm_m=1&gm_k=0.13345431051843&vautoctr=5008&gm_lm_rl=0.27000001072884"">0.20</a>","-0.50","M","","22.0","","3.21","Ethiopia","Bahir Dar Gulf, Lake Tana","No","No"
