"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","16.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=245&pref=6954&sex=mixed&loo=16.80000&k=0.30100&id2=231&genusname=Coregonus&speciesname=albula&gm_loo=23.434742562327&gm_lm=1&gm_m=0.42&gm_k=0.4174790064604&vautoctr=1131&gm_lm_rl=1"">0.30</a>","-1.37","","","","","1.93","Finland","Lake Keitele","No","No"
"2","18.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=245&pref=31670&sex=unsexed&loo=18.40000&k=0.44700&id2=231&genusname=Coregonus&speciesname=albula&gm_loo=23.434742562327&gm_lm=1&gm_m=0.42&gm_k=0.4174790064604&vautoctr=6179&gm_lm_rl=1"">0.45</a>","-1.19","","","9.0","","2.18","Finland","Kemi, Baltic Sea","No","No"
"3","18.7","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=245&pref=6257&sex=unsexed&loo=18.70000&k=0.69600&id2=231&genusname=Coregonus&speciesname=albula&gm_loo=23.434742562327&gm_lm=1&gm_m=0.42&gm_k=0.4174790064604&vautoctr=5526&gm_lm_rl=1"">0.70</a>","-0.27","","","9.0","","2.39","Finland","Lake Pyhäjärvi","No","No"
"4","19.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=245&pref=31670&sex=unsexed&loo=19.50000&k=0.69900&id2=231&genusname=Coregonus&speciesname=albula&gm_loo=23.434742562327&gm_lm=1&gm_m=0.42&gm_k=0.4174790064604&vautoctr=6180&gm_lm_rl=1"">0.70</a>","-0.30","","","9.0","","2.42","Finland","Oulu, Baltic Sea","No","No"
"5","20.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=245&pref=6275&sex=unsexed&loo=20.50000&k=0.55900&id2=231&genusname=Coregonus&speciesname=albula&gm_loo=23.434742562327&gm_lm=1&gm_m=0.42&gm_k=0.4174790064604&vautoctr=1129&gm_lm_rl=1"">0.56</a>","-0.52","","","","","2.37","Finland","Lake Kuusamojärvi","No","No"
"6","20.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=245&pref=56507&sex=mixed&loo=20.70000&k=0.23000&id2=231&genusname=Coregonus&speciesname=albula&gm_loo=23.434742562327&gm_lm=1&gm_m=0.42&gm_k=0.4174790064604&vautoctr=8702&gm_lm_rl=1"">0.23</a>","-1.16","","","","","1.99","Russia","North Ladoga Lake","No","No"
"7","22.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=245&pref=6954&sex=mixed&loo=22.00000&k=1.13200&id2=231&genusname=Coregonus&speciesname=albula&gm_loo=23.434742562327&gm_lm=1&gm_m=0.42&gm_k=0.4174790064604&vautoctr=1132&gm_lm_rl=1"">1.13</a>","","","","","","2.74","Finland","Lake Keitele","No","No"
"8","22.2","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=245&pref=6861&sex=unsexed&loo=22.20000&k=0.30000&id2=231&genusname=Coregonus&speciesname=albula&gm_loo=23.434742562327&gm_lm=1&gm_m=0.42&gm_k=0.4174790064604&vautoctr=1130&gm_lm_rl=1"">0.30</a>","-0.86","","","","","2.17","Finland","Lake Inarijärvi","No","No"
"9","25.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=245&pref=6954&sex=mixed&loo=25.00000&k=0.25800&id2=231&genusname=Coregonus&speciesname=albula&gm_loo=23.434742562327&gm_lm=1&gm_m=0.42&gm_k=0.4174790064604&vautoctr=1133&gm_lm_rl=1"">0.26</a>","-1.16","","","","","2.21","Finland","Lake Kallavesi","No","No"
"10","25.7","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=245&pref=6257&sex=unsexed&loo=25.70000&k=0.36600&id2=231&genusname=Coregonus&speciesname=albula&gm_loo=23.434742562327&gm_lm=1&gm_m=0.42&gm_k=0.4174790064604&vautoctr=5516&gm_lm_rl=1"">0.37</a>","-0.99","","0.42","9.0","","2.38","Russia","Lake Pyhäjärvi, Karelia","No","No"
