"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","24.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=246&pref=91513&sex=unsexed&loo=24.90000&k=0.35000&id2=232&genusname=Coregonus&speciesname=lavaretus&gm_loo=38.941589194376&gm_lm=1&gm_m=0.41&gm_k=0.30941455452691&vautoctr=10853&gm_lm_rl=1"">0.35</a>","-0.94","","","","","2.34","Finland","Lake VuokalanjaÈrvi","No","No"
"2","25.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=246&pref=6860&sex=unsexed&loo=25.50000&k=0.38600&id2=232&genusname=Coregonus&speciesname=lavaretus&gm_loo=38.941589194376&gm_lm=1&gm_m=0.41&gm_k=0.30941455452691&vautoctr=1144&gm_lm_rl=1"">0.39</a>","-0.24","","","","","2.40","Finland","Lake Kiantajärvi, Sotkamo","No","No"
"3","25.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=246&pref=91513&sex=unsexed&loo=25.50000&k=0.31000&id2=232&genusname=Coregonus&speciesname=lavaretus&gm_loo=38.941589194376&gm_lm=1&gm_m=0.41&gm_k=0.30941455452691&vautoctr=10854&gm_lm_rl=1"">0.31</a>","-1.11","","","","","2.30","Finland","Lake VuokalanjaÈrvi","No","No"
"4","26.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=246&pref=91513&sex=unsexed&loo=26.50000&k=0.38000&id2=232&genusname=Coregonus&speciesname=lavaretus&gm_loo=38.941589194376&gm_lm=1&gm_m=0.41&gm_k=0.30941455452691&vautoctr=10856&gm_lm_rl=1"">0.38</a>","-0.64","","","","","2.43","Finland","Lake VuokalanjaÈrvi","No","No"
"5","26.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=246&pref=91513&sex=unsexed&loo=26.60000&k=0.34000&id2=232&genusname=Coregonus&speciesname=lavaretus&gm_loo=38.941589194376&gm_lm=1&gm_m=0.41&gm_k=0.30941455452691&vautoctr=10857&gm_lm_rl=1"">0.34</a>","-0.95","","","","","2.38","Finland","Lake VuokalanjaÈrvi","No","No"
"6","27.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=246&pref=91513&sex=unsexed&loo=27.40000&k=0.38000&id2=232&genusname=Coregonus&speciesname=lavaretus&gm_loo=38.941589194376&gm_lm=1&gm_m=0.41&gm_k=0.30941455452691&vautoctr=10855&gm_lm_rl=1"">0.38</a>","-0.75","","","","","2.46","Finland","Lake VuokalanjaÈrvi","No","No"
"7","28.3","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=246&pref=6860&sex=unsexed&loo=28.30000&k=0.30100&id2=232&genusname=Coregonus&speciesname=lavaretus&gm_loo=38.941589194376&gm_lm=1&gm_m=0.41&gm_k=0.30941455452691&vautoctr=1145&gm_lm_rl=1"">0.30</a>","-0.71","","","","","2.38","Finland","Lake Änättijärvi, Kuhmo","No","No"
"8","29.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=246&pref=89660&sex=male&loo=29.30000&k=0.97000&id2=232&genusname=Coregonus&speciesname=lavaretus&gm_loo=38.941589194376&gm_lm=1&gm_m=0.41&gm_k=0.30941455452691&vautoctr=10863&gm_lm_rl=1"">0.97</a>","-0.71","M","","","","2.92","Norway","Imsa River","No","No"
"9","30.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=246&pref=89660&sex=female&loo=30.60000&k=0.83000&id2=232&genusname=Coregonus&speciesname=lavaretus&gm_loo=38.941589194376&gm_lm=1&gm_m=0.41&gm_k=0.30941455452691&vautoctr=10862&gm_lm_rl=1"">0.83</a>","-0.75","F","","","","2.89","Norway","Imsa River ","No","No"
"10","32.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=246&pref=6257&sex=unsexed&loo=32.50000&k=0.42800&id2=232&genusname=Coregonus&speciesname=lavaretus&gm_loo=38.941589194376&gm_lm=1&gm_m=0.41&gm_k=0.30941455452691&vautoctr=5513&gm_lm_rl=1"">0.43</a>","-0.81","","0.41","9.0","","2.66","Russia","Lake Pyhäjärvi, Karelia","No","No"
