"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","71.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=88&pref=75292&sex=mixed&loo=71.20000&k=0.13000&id2=79&genusname=Ctenopharyngodon&speciesname=idella&gm_loo=113.3763027035&gm_lm=1&gm_m=1&gm_k=0.11989059511226&vautoctr=9724&gm_lm_rl=1"">0.13</a>","","","","","","2.82","Russia","Amur off Elabuga","No","No"
"2","97.6","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=88&pref=37797&sex=unsexed&loo=97.60000&k=0.15730&id2=79&genusname=Ctenopharyngodon&speciesname=idella&gm_loo=113.3763027035&gm_lm=1&gm_m=1&gm_k=0.11989059511226&vautoctr=6132&gm_lm_rl=1"">0.16</a>","0.28","","","","","3.18","China","Heilongjiang River","No","No"
"3","102.7","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=88&pref=37798&sex=male&loo=102.70000&k=0.23170&id2=79&genusname=Ctenopharyngodon&speciesname=idella&gm_loo=113.3763027035&gm_lm=1&gm_m=1&gm_k=0.11989059511226&vautoctr=6143&gm_lm_rl=1"">0.23</a>","-0.16","M","","","","3.39","China","China, Changjiang river.","No","No"
"4","110.9","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=88&pref=75292&sex=mixed&loo=110.90000&k=0.09000&id2=79&genusname=Ctenopharyngodon&speciesname=idella&gm_loo=113.3763027035&gm_lm=1&gm_m=1&gm_k=0.11989059511226&vautoctr=9727&gm_lm_rl=1"">0.09</a>","","","","","","3.04","Russia","Udyl Lake","No","No"
"5","113.3","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=88&pref=75292&sex=mixed&loo=113.30000&k=0.09000&id2=79&genusname=Ctenopharyngodon&speciesname=idella&gm_loo=113.3763027035&gm_lm=1&gm_m=1&gm_k=0.11989059511226&vautoctr=9726&gm_lm_rl=1"">0.09</a>","","","","","","3.06","Russia","Amur off Novoilyinovka","No","No"
"6","113.6","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=88&pref=37798&sex=female&loo=113.60000&k=0.19110&id2=79&genusname=Ctenopharyngodon&speciesname=idella&gm_loo=113.3763027035&gm_lm=1&gm_m=1&gm_k=0.11989059511226&vautoctr=6144&gm_lm_rl=1"">0.19</a>","-0.12","F","","","","3.39","China","China, Changjiang river.","No","No"
"7","121.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=88&pref=37797&sex=unsexed&loo=121.50000&k=0.18590&id2=79&genusname=Ctenopharyngodon&speciesname=idella&gm_loo=113.3763027035&gm_lm=1&gm_m=1&gm_k=0.11989059511226&vautoctr=6130&gm_lm_rl=1"">0.19</a>","-0.19","","","","","3.44","China","Changjiang River","No","No"
"8","124.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=88&pref=75292&sex=mixed&loo=124.20000&k=0.07000&id2=79&genusname=Ctenopharyngodon&speciesname=idella&gm_loo=113.3763027035&gm_lm=1&gm_m=1&gm_k=0.11989059511226&vautoctr=9725&gm_lm_rl=1"">0.07</a>","","","","","","3.03","Russia","Gassi Lake","No","No"
"9","136.7","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=88&pref=37797&sex=unsexed&loo=136.70000&k=0.13120&id2=79&genusname=Ctenopharyngodon&speciesname=idella&gm_loo=113.3763027035&gm_lm=1&gm_m=1&gm_k=0.11989059511226&vautoctr=6131&gm_lm_rl=1"">0.13</a>","-0.36","","","","","3.39","China","Zhujiang River = Pearl River","No","No"
"10","167.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=88&pref=312&sex=unsexed&loo=167.00000&k=0.04900&id2=79&genusname=Ctenopharyngodon&speciesname=idella&gm_loo=113.3763027035&gm_lm=1&gm_m=1&gm_k=0.11989059511226&vautoctr=619&gm_lm_rl=1"">0.05</a>","","","","","","3.14","Russia","Amur River","No","No"
