"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","21.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2134&pref=13304&sex=unsexed&loo=21.40000&k=2.30000&id2=1938&genusname=Decapterus&speciesname=macrosoma&gm_loo=26.778356806478&gm_lm=1&gm_m=2.02&gm_k=0.92206533901292&vautoctr=3420&gm_lm_rl=1"">2.30</a>","","","","28.0","","3.02","Philippines","Moro Gulf/Illana Bay","No","No"
"2","23.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2134&pref=1449&sex=unsexed&loo=23.00000&k=1.25000&id2=1938&genusname=Decapterus&speciesname=macrosoma&gm_loo=26.778356806478&gm_lm=1&gm_m=2.02&gm_k=0.92206533901292&vautoctr=3408&gm_lm_rl=1"">1.25</a>","","","","28.5","","2.82","Philippines","Samar Sea","No","No"
"3","23.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2134&pref=1467&sex=unsexed&loo=23.20000&k=1.00000&id2=1938&genusname=Decapterus&speciesname=macrosoma&gm_loo=26.778356806478&gm_lm=1&gm_m=2.02&gm_k=0.92206533901292&vautoctr=3411&gm_lm_rl=1"">1.00</a>","","","","28.2","","2.73","Thailand","Strait of Malacca (Area I)","No","No"
"4","24.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2134&pref=1386&sex=unsexed&loo=24.00000&k=1.15000&id2=1938&genusname=Decapterus&speciesname=macrosoma&gm_loo=26.778356806478&gm_lm=1&gm_m=2.02&gm_k=0.92206533901292&vautoctr=3404&gm_lm_rl=1"">1.15</a>","","","2.02","27.0","","2.82","Indonesia","Java Sea","No","No"
"5","24.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2134&pref=1467&sex=unsexed&loo=24.00000&k=1.00000&id2=1938&genusname=Decapterus&speciesname=macrosoma&gm_loo=26.778356806478&gm_lm=1&gm_m=2.02&gm_k=0.92206533901292&vautoctr=3412&gm_lm_rl=1"">1.00</a>","","","","12.5","","2.76","Indonesia","Asahan, Sumatra","No","No"
"6","24.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2134&pref=1462&sex=unsexed&loo=24.20000&k=0.89000&id2=1938&genusname=Decapterus&speciesname=macrosoma&gm_loo=26.778356806478&gm_lm=1&gm_m=2.02&gm_k=0.92206533901292&vautoctr=3410&gm_lm_rl=1"">0.89</a>","","","","28.2","","2.72","Thailand","Strait of Malacca","No","No"
"7","24.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2134&pref=5730&sex=unsexed&loo=24.50000&k=0.60000&id2=1938&genusname=Decapterus&speciesname=macrosoma&gm_loo=26.778356806478&gm_lm=1&gm_m=2.02&gm_k=0.92206533901292&vautoctr=3419&gm_lm_rl=1"">0.60</a>","","","","28.7","","2.56","Philippines","Guimaras Strait","No","No"
"8","25.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2134&pref=1263&sex=unsexed&loo=25.00000&k=1.20000&id2=1938&genusname=Decapterus&speciesname=macrosoma&gm_loo=26.778356806478&gm_lm=1&gm_m=2.02&gm_k=0.92206533901292&vautoctr=3390&gm_lm_rl=1"">1.20</a>","","","","28.5","","2.88","Philippines","Palawan","No","No"
"9","25.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2134&pref=4838&sex=unsexed&loo=25.00000&k=0.88000&id2=1938&genusname=Decapterus&speciesname=macrosoma&gm_loo=26.778356806478&gm_lm=1&gm_m=2.02&gm_k=0.92206533901292&vautoctr=3416&gm_lm_rl=1"">0.88</a>","","","","27.0","","2.74","Philippines","Camotes Sea, Central Visayas","No","No"
"10","25.2","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2134&pref=5337&sex=unsexed&loo=25.20000&k=0.82000&id2=1938&genusname=Decapterus&speciesname=macrosoma&gm_loo=26.778356806478&gm_lm=1&gm_m=2.02&gm_k=0.92206533901292&vautoctr=3417&gm_lm_rl=1"">0.82</a>","","","","25.0","","2.72","Mozambique","Sofala Bank and Boa Paz (17°15'S - 21°20'S)","No","No"
"11","25.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2134&pref=1314&sex=unsexed&loo=25.40000&k=0.98000&id2=1938&genusname=Decapterus&speciesname=macrosoma&gm_loo=26.778356806478&gm_lm=1&gm_m=2.02&gm_k=0.92206533901292&vautoctr=3403&gm_lm_rl=1"">0.98</a>","","","","28.0","","2.80","Indonesia","Java Sea (Pekalongan)","No","No"
"12","25.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2134&pref=1263&sex=unsexed&loo=25.50000&k=0.80000&id2=1938&genusname=Decapterus&speciesname=macrosoma&gm_loo=26.778356806478&gm_lm=1&gm_m=2.02&gm_k=0.92206533901292&vautoctr=3391&gm_lm_rl=1"">0.80</a>","","","","28.5","","2.72","Philippines","Palawan","No","No"
