"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","22.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2135&pref=1449&sex=unsexed&loo=22.70000&k=0.82000&id2=1939&genusname=Decapterus&speciesname=maruadsi&gm_loo=26.324994936428&gm_lm=1&gm_m=1&gm_k=0.95923850056082&vautoctr=3428&gm_lm_rl=1"">0.82</a>","","","","22.0","","2.63","Philippines","Burias Pass","No","No"
"2","23.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2135&pref=1449&sex=unsexed&loo=23.50000&k=0.52000&id2=1939&genusname=Decapterus&speciesname=maruadsi&gm_loo=26.324994936428&gm_lm=1&gm_m=1&gm_k=0.95923850056082&vautoctr=3429&gm_lm_rl=1"">0.52</a>","","","","23.0","","2.46","Philippines","Ragay Gulf","No","No"
"3","23.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2135&pref=1449&sex=unsexed&loo=23.60000&k=0.81000&id2=1939&genusname=Decapterus&speciesname=maruadsi&gm_loo=26.324994936428&gm_lm=1&gm_m=1&gm_k=0.95923850056082&vautoctr=3430&gm_lm_rl=1"">0.81</a>","","","","23.0","","2.65","Philippines","Samar Sea","No","No"
"4","25.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2135&pref=13304&sex=unsexed&loo=25.00000&k=1.20000&id2=1939&genusname=Decapterus&speciesname=maruadsi&gm_loo=26.324994936428&gm_lm=1&gm_m=1&gm_k=0.95923850056082&vautoctr=3433&gm_lm_rl=1"">1.20</a>","","","","28.0","","2.88","Philippines","South Sulu Sea","No","No"
"5","25.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2135&pref=5381&sex=unsexed&loo=25.10000&k=1.20000&id2=1939&genusname=Decapterus&speciesname=maruadsi&gm_loo=26.324994936428&gm_lm=1&gm_m=1&gm_k=0.95923850056082&vautoctr=3432&gm_lm_rl=1"">1.20</a>","","","","28.7","","2.88","Philippines","Visayas","No","No"
"6","25.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2135&pref=1314&sex=unsexed&loo=25.90000&k=0.98000&id2=1939&genusname=Decapterus&speciesname=maruadsi&gm_loo=26.324994936428&gm_lm=1&gm_m=1&gm_k=0.95923850056082&vautoctr=3424&gm_lm_rl=1"">0.98</a>","","","","28.0","","2.82","Indonesia","Java Sea (Tegal)","No","No"
"7","26.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2135&pref=1314&sex=unsexed&loo=26.50000&k=0.95000&id2=1939&genusname=Decapterus&speciesname=maruadsi&gm_loo=26.324994936428&gm_lm=1&gm_m=1&gm_k=0.95923850056082&vautoctr=3425&gm_lm_rl=1"">0.95</a>","","","","28.0","","2.82","Indonesia","Java Sea (Tegal)","No","No"
"8","26.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2135&pref=1314&sex=unsexed&loo=26.70000&k=1.28000&id2=1939&genusname=Decapterus&speciesname=maruadsi&gm_loo=26.324994936428&gm_lm=1&gm_m=1&gm_k=0.95923850056082&vautoctr=3426&gm_lm_rl=1"">1.28</a>","","","","28.0","","2.96","Indonesia","Java Sea (Pekalongan)","No","No"
"9","27.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2135&pref=1314&sex=unsexed&loo=27.00000&k=0.95000&id2=1939&genusname=Decapterus&speciesname=maruadsi&gm_loo=26.324994936428&gm_lm=1&gm_m=1&gm_k=0.95923850056082&vautoctr=3427&gm_lm_rl=1"">0.95</a>","","","","28.0","","2.84","Indonesia","Java Sea (Pekalongan)","No","No"
"10","27.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2135&pref=1462&sex=unsexed&loo=27.20000&k=1.01000&id2=1939&genusname=Decapterus&speciesname=maruadsi&gm_loo=26.324994936428&gm_lm=1&gm_m=1&gm_k=0.95923850056082&vautoctr=3431&gm_lm_rl=1"">1.01</a>","","","","21.5","","2.87","Thailand","Strait of Malacca","No","No"
"11","27.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2135&pref=13304&sex=unsexed&loo=27.30000&k=1.10000&id2=1939&genusname=Decapterus&speciesname=maruadsi&gm_loo=26.324994936428&gm_lm=1&gm_m=1&gm_k=0.95923850056082&vautoctr=3434&gm_lm_rl=1"">1.10</a>","","","","28.0","","2.91","Philippines","Tayabas Bay","No","No"
"12","29.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2135&pref=94015&sex=unsexed&loo=29.03000&k=1.09000&id2=1939&genusname=Decapterus&speciesname=maruadsi&gm_loo=26.324994936428&gm_lm=1&gm_m=1&gm_k=0.95923850056082&vautoctr=11656&gm_lm_rl=1"">1.09</a>","","","","29.4","","2.96","Thailand","Andaman  Sea Coast","No","No"
"13","29.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2135&pref=46792&sex=unsexed&loo=29.20000&k=0.63000&id2=1939&genusname=Decapterus&speciesname=maruadsi&gm_loo=26.324994936428&gm_lm=1&gm_m=1&gm_k=0.95923850056082&vautoctr=7022&gm_lm_rl=1"">0.63</a>","","","","27.0","","2.73","","Nansha Is.(4°-9°N, 105°45'-112°15'E, 50-150 m)","No","No"
"14","31.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2135&pref=13304&sex=unsexed&loo=31.20000&k=1.30000&id2=1939&genusname=Decapterus&speciesname=maruadsi&gm_loo=26.324994936428&gm_lm=1&gm_m=1&gm_k=0.95923850056082&vautoctr=3435&gm_lm_rl=1"">1.30</a>","","","","28.0","","3.10","Philippines","Camotes Sea","Yes","No"
