"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","19.4","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=5885&sex=unsexed&loo=19.40000&k=0.75000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1546&gm_lm_rl=0.5"">0.75</a>","","","","21.5","","2.45","Pakistan","Northern Arabian Sea","Yes","No"
"2","22.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=27802&sex=unsexed&loo=22.10000&k=0.71000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=7152&gm_lm_rl=0.5"">0.71</a>","","","","27.0","13.7","2.54","India","east coast","Yes","No"
"3","23.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=312&sex=unsexed&loo=23.30000&k=1.13200&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1527&gm_lm_rl=0.5"">1.13</a>","","","","28.2","","2.79","Philippines","Corregidor Island, Manila Bay","No","No"
"4","23.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=72458&sex=unsexed&loo=23.50000&k=1.10000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=9620&gm_lm_rl=0.5"">1.10</a>","","","","","","2.78","Malaysia","north area","No","No"
"5","24.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=4546&sex=unsexed&loo=24.00000&k=0.81000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1539&gm_lm_rl=0.5"">0.81</a>","","","","22.4","","2.67","Malaysia","Penang","No","No"
"6","24.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=40538&sex=unsexed&loo=24.00000&k=1.42000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=6265&gm_lm_rl=0.5"">1.42</a>","","","","27.0","","2.91","India","Mumbai (Bombay) waters","No","No"
"7","24.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=10861&sex=unsexed&loo=24.50000&k=0.95000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1547&gm_lm_rl=0.5"">0.95</a>","","","","23.0","","2.76","Indonesia","Java Sea, off Pekalongan and Juwana","No","No"
"8","24.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=1454&sex=unsexed&loo=24.80000&k=0.56000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1538&gm_lm_rl=0.5"">0.56</a>","-0.10","","","27.0","","2.54","Mozambique","Sofala Bank","No","No"
"9","24.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=27802&sex=unsexed&loo=24.80000&k=0.78000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=7154&gm_lm_rl=0.5"">0.78</a>","","","","27.0","13.7","2.68","India","south-west coast","No","No"
"10","25.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=10861&sex=unsexed&loo=25.20000&k=1.08000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1548&gm_lm_rl=0.5"">1.08</a>","","","","23.0","","2.84","Indonesia","Java Sea, off Pekalongan and Juwana","No","No"
"11","26.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=1263&sex=unsexed&loo=26.00000&k=0.73000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1528&gm_lm_rl=0.5"">0.73</a>","","","","28.5","","2.69","Philippines","Palawan","No","No"
"12","26.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=5417&sex=unsexed&loo=26.00000&k=0.18600&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=97&gm_lm_rl=0.5"">0.19</a>","","","","21.5","13.0","2.10","India","Vizhinjam","Yes","No"
"13","26.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=5432&sex=unsexed&loo=26.00000&k=0.90000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1544&gm_lm_rl=0.5"">0.90</a>","","","","12.0","","2.78","Indonesia","Idi, Malacca Strait","No","No"
"14","26.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=46792&sex=unsexed&loo=26.00000&k=0.52000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=7023&gm_lm_rl=0.5"">0.52</a>","","","","27.0","","2.55","","Nansha Is.(4°-9°N, 105°45'-112°15'E, 50-150 m)","No","No"
"15","26.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=1314&sex=unsexed&loo=26.60000&k=0.95000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1533&gm_lm_rl=0.5"">0.95</a>","","","","27.0","","2.83","Indonesia","Java Sea (Seribu Island)","No","No"
"16","26.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=1263&sex=unsexed&loo=26.90000&k=0.69000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1529&gm_lm_rl=0.5"">0.69</a>","","","","28.5","","2.70","Philippines","Palawan","No","No"
"17","27.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=1263&sex=unsexed&loo=27.00000&k=0.80000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1530&gm_lm_rl=0.5"">0.80</a>","","","","28.2","","2.77","Philippines","Manila Bay","No","No"
"18","27.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=1314&sex=unsexed&loo=27.00000&k=1.15000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1534&gm_lm_rl=0.5"">1.15</a>","","","","27.0","","2.92","Indonesia","Jakarta Bay (Seribu Island)","No","No"
"19","27.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=1314&sex=unsexed&loo=27.00000&k=1.18000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1535&gm_lm_rl=0.5"">1.18</a>","","","","27.0","","2.93","Indonesia","Jakarta Bay (Seribu Island)","No","No"
"20","27.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=4546&sex=unsexed&loo=27.00000&k=1.01000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1540&gm_lm_rl=0.5"">1.01</a>","","","","22.4","","2.87","Malaysia","Perlis","No","No"
"21","27.3","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=5337&sex=unsexed&loo=27.30000&k=0.68000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1542&gm_lm_rl=0.5"">0.68</a>","","","","25.0","","2.70","Mozambique","Sofala Bank and Boa Paz (17°15'S - 21°20'S)","No","No"
"22","27.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=5339&sex=unsexed&loo=27.80000&k=0.57300&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1543&gm_lm_rl=0.5"">0.57</a>","-0.18","","","22.5","","2.65","Mozambique","","No","No"
"23","27.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=1384&sex=unsexed&loo=27.90000&k=0.56200&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1536&gm_lm_rl=0.5"">0.56</a>","0.18","","","25.0","","2.64","Mozambique","","No","No"
"24","28.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=1385&sex=unsexed&loo=28.40000&k=0.90000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1537&gm_lm_rl=0.5"">0.90</a>","","","","29.0","","2.86","Indonesia","Java Sea","No","No"
"25","28.4","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=59360&sex=unsexed&loo=28.40000&k=0.56000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=9622&gm_lm_rl=0.5"">0.56</a>","","","","","","2.65","Malaysia","central area","No","No"
"26","28.4","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=59360&sex=unsexed&loo=28.40000&k=1.08000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=9621&gm_lm_rl=0.5"">1.08</a>","","","","","","2.94","Malaysia","north area","No","No"
"27","29.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=27802&sex=unsexed&loo=29.90000&k=0.45000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=7153&gm_lm_rl=0.5"">0.45</a>","","","","27.0","13.7","2.60","India","Northwest coast","No","No"
"28","30.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=1263&sex=unsexed&loo=30.00000&k=0.54000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1531&gm_lm_rl=0.5"">0.54</a>","","","","28.2","","2.69","Philippines","Manila Bay","No","No"
"29","32.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=59360&sex=unsexed&loo=32.20000&k=0.86000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=9623&gm_lm_rl=0.5"">0.86</a>","","","","","","2.95","Malaysia","central area","No","No"
"30","33.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=1263&sex=unsexed&loo=33.00000&k=0.45000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1532&gm_lm_rl=0.5"">0.45</a>","","","","28.5","","2.69","Philippines","Palawan","No","No"
"31","33.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=388&pref=4838&sex=unsexed&loo=33.70000&k=0.36000&id2=374&genusname=Decapterus&speciesname=russelli&gm_loo=26.96419934125&gm_lm=13.521543306523&gm_m=1&gm_k=0.74381396979489&vautoctr=1541&gm_lm_rl=0.5"">0.36</a>","","","","27.0","","2.61","Philippines","Camotes Sea, Central Visayas","No","No"
