"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","45.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=34071&sex=male&loo=45.20000&k=0.60000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=5160&gm_lm_rl=0.38816760562062"">0.60</a>","0.14","M","","19.0","","3.09","Algeria","Gulf of Annaba (7°16'N, 8°15'E)","No","No"
"2","52.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=96881&sex=mixed&loo=52.20000&k=0.22000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=21218&gm_lm_rl=0.38816760562062"">0.22</a>","-1.46","","","","","2.78","Egypt","Bardawil Lagoon, North Sinai","No","No"
"3","54.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=34071&sex=male&loo=54.90000&k=0.18000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=5162&gm_lm_rl=0.38816760562062"">0.18</a>","","M","","19.0","","2.73","Tunisia","","No","No"
"4","57.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=7253&sex=male&loo=57.50000&k=0.33000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=530&gm_lm_rl=0.38816760562062"">0.33</a>","","M","","19.0","","3.04","France","Gulf of Lion","No","No"
"5","59.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=5533&sex=unsexed&loo=59.70000&k=0.17000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=524&gm_lm_rl=0.38816760562062"">0.17</a>","","","0.11","19.0","","2.78","Tunisia","","No","No"
"6","60.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=34071&sex=female&loo=60.70000&k=0.32000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=5161&gm_lm_rl=0.38816760562062"">0.32</a>","-0.18","F","","19.0","","3.07","Algeria","Gulf of Annaba (7°16'N, 8°15'E)","No","No"
"7","62.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=312&sex=male&loo=62.50000&k=0.28200&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=519&gm_lm_rl=0.38816760562062"">0.28</a>","-0.16","M","","19.0","","3.04","France","off Sète","No","No"
"8","65.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=96881&sex=mixed&loo=65.10000&k=0.20000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=21219&gm_lm_rl=0.38816760562062"">0.20</a>","-1.13","","","","","2.93","Egypt","Bardawil lagoon, North Sinai","No","No"
"9","65.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=96881&sex=mixed&loo=65.20000&k=0.24000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=21220&gm_lm_rl=0.38816760562062"">0.24</a>","-0.73","","","","","3.01","Egypt","Bardawil Lagoon, North Sinai","No","No"
"10","65.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=57510&sex=male&loo=65.90000&k=0.22000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=8909&gm_lm_rl=0.38816760562062"">0.22</a>","-0.55","M","","","","2.98","Algeria","Mellah lagoon","No","No"
"11","70.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=1236&sex=male&loo=70.40000&k=0.14000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=522&gm_lm_rl=0.38816760562062"">0.14</a>","-0.03","M","0.10","10.0","34.5","2.84","Ireland","","No","No"
"12","70.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=96881&sex=mixed&loo=70.80000&k=0.35000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=21221&gm_lm_rl=0.38816760562062"">0.35</a>","-0.22","","","","31.6","3.24","Egypt","Bardawil lagoon, North Sinai","No","No"
"13","72.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=5760&sex=female&loo=72.00000&k=0.09000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=525&gm_lm_rl=0.38816760562062"">0.09</a>","","F","","12.0","","2.67","UK","British Isles","No","No"
"14","72.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=1236&sex=female&loo=72.30000&k=0.14000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=521&gm_lm_rl=0.38816760562062"">0.14</a>","-0.20","F","0.10","10.0","39.0","2.86","Ireland","","No","No"
"15","75.1","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=5760&sex=male&loo=75.10000&k=0.09000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=526&gm_lm_rl=0.38816760562062"">0.09</a>","","M","","12.0","","2.71","UK","British Isles","No","No"
"16","76.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=96881&sex=mixed&loo=76.36000&k=0.29000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=21222&gm_lm_rl=0.38816760562062"">0.29</a>","-1.90","","","","","3.23","Egypt","Bardawil Lagoon, North Sinai","No","No"
"17","76.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=73&pref=57510&sex=female&loo=76.70000&k=0.16000&id2=63&genusname=Dicentrarchus&speciesname=labrax&gm_loo=72.102935078594&gm_lm=30.088445838021&gm_m=0.10322801154564&gm_k=0.1799370710879&vautoctr=8908&gm_lm_rl=0.38816760562062"">0.16</a>","-0.97","F","","","","2.97","Algeria","Mellah lagoon","No","No"
