"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","23.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=542&pref=96721&sex=male&loo=23.70000&k=0.38000&id2=526&genusname=Dicologlossa&speciesname=cuneata&gm_loo=26.632465989816&gm_lm=17.064166544582&gm_m=0.5&gm_k=0.2838682450338&vautoctr=21225&gm_lm_rl=1"">0.38</a>","","M","","","18.2","2.33","","South Mediterranean","No","No"
"2","23.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=542&pref=5533&sex=male&loo=23.80000&k=0.38000&id2=526&genusname=Dicologlossa&speciesname=cuneata&gm_loo=26.632465989816&gm_lm=17.064166544582&gm_m=0.5&gm_k=0.2838682450338&vautoctr=1885&gm_lm_rl=1"">0.38</a>","-0.88","M","0.50","14.0","","2.33","Algeria","","No","No"
"3","24.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=542&pref=96721&sex=male&loo=24.00000&k=0.34300&id2=526&genusname=Dicologlossa&speciesname=cuneata&gm_loo=26.632465989816&gm_lm=17.064166544582&gm_m=0.5&gm_k=0.2838682450338&vautoctr=21226&gm_lm_rl=1"">0.34</a>","","M","","","18.2","2.30","Spain","Gulf of Cadiz","No","No"
"4","24.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=542&pref=5533&sex=female&loo=24.70000&k=0.47000&id2=526&genusname=Dicologlossa&speciesname=cuneata&gm_loo=26.632465989816&gm_lm=17.064166544582&gm_m=0.5&gm_k=0.2838682450338&vautoctr=1884&gm_lm_rl=1"">0.47</a>","-0.30","F","0.50","14.0","","2.46","Algeria","","No","No"
"5","24.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=542&pref=96721&sex=female&loo=24.70000&k=0.47000&id2=526&genusname=Dicologlossa&speciesname=cuneata&gm_loo=26.632465989816&gm_lm=17.064166544582&gm_m=0.5&gm_k=0.2838682450338&vautoctr=21227&gm_lm_rl=1"">0.47</a>","","F","","","18.2","2.46","","South Mediterranean","No","No"
"6","25.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=542&pref=96721&sex=male&loo=25.60000&k=0.20300&id2=526&genusname=Dicologlossa&speciesname=cuneata&gm_loo=26.632465989816&gm_lm=17.064166544582&gm_m=0.5&gm_k=0.2838682450338&vautoctr=21228&gm_lm_rl=1"">0.20</a>","","M","","","16.0","2.12","","Bay of Biscay","No","No"
"7","26.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=542&pref=96721&sex=female&loo=26.50000&k=0.27500&id2=526&genusname=Dicologlossa&speciesname=cuneata&gm_loo=26.632465989816&gm_lm=17.064166544582&gm_m=0.5&gm_k=0.2838682450338&vautoctr=21229&gm_lm_rl=1"">0.28</a>","","F","","","16.0","2.29","","Bay of Biscay","No","No"
"8","26.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=542&pref=96721&sex=female&loo=26.50000&k=0.41900&id2=526&genusname=Dicologlossa&speciesname=cuneata&gm_loo=26.632465989816&gm_lm=17.064166544582&gm_m=0.5&gm_k=0.2838682450338&vautoctr=21230&gm_lm_rl=1"">0.42</a>","","F","","","15.0","2.47","Portugal","","No","No"
"9","27.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=542&pref=96721&sex=female&loo=27.00000&k=0.29600&id2=526&genusname=Dicologlossa&speciesname=cuneata&gm_loo=26.632465989816&gm_lm=17.064166544582&gm_m=0.5&gm_k=0.2838682450338&vautoctr=21231&gm_lm_rl=1"">0.30</a>","","F","","","18.2","2.33","Spain","Gulf of Cadiz","No","No"
"10","27.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=542&pref=96721&sex=male&loo=27.70000&k=0.28400&id2=526&genusname=Dicologlossa&speciesname=cuneata&gm_loo=26.632465989816&gm_lm=17.064166544582&gm_m=0.5&gm_k=0.2838682450338&vautoctr=21232&gm_lm_rl=1"">0.28</a>","","M","","","15.0","2.34","Portugal","","No","No"
"11","32.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=542&pref=96721&sex=female&loo=32.30000&k=0.12600&id2=526&genusname=Dicologlossa&speciesname=cuneata&gm_loo=26.632465989816&gm_lm=17.064166544582&gm_m=0.5&gm_k=0.2838682450338&vautoctr=21233&gm_lm_rl=1"">0.13</a>","","F","","","18.2","2.12","Morocco","","No","No"
"12","35.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=542&pref=96721&sex=male&loo=35.50000&k=0.10100&id2=526&genusname=Dicologlossa&speciesname=cuneata&gm_loo=26.632465989816&gm_lm=17.064166544582&gm_m=0.5&gm_k=0.2838682450338&vautoctr=21234&gm_lm_rl=1"">0.10</a>","","M","","","18.2","2.10","Morocco","","No","No"
