"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","23.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1950&pref=57621&sex=unsexed&loo=23.50000&k=0.22400&id2=1754&genusname=Diplodus&speciesname=vulgaris&gm_loo=33.174312361883&gm_lm=18.115925905254&gm_m=0.72&gm_k=0.23451173828362&vautoctr=8969&gm_lm_rl=1"">0.22</a>","-1.45","","","","","2.09","Tunisia","G. Gabes","No","No"
"2","26.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1950&pref=26328&sex=mixed&loo=26.80000&k=0.25500&id2=1754&genusname=Diplodus&speciesname=vulgaris&gm_loo=33.174312361883&gm_lm=18.115925905254&gm_m=0.72&gm_k=0.23451173828362&vautoctr=3198&gm_lm_rl=1"">0.26</a>","-0.61","","","19.0","","2.26","France","Gulf of Lion","No","No"
"3","27.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1950&pref=97161&sex=unsexed&loo=27.40000&k=0.40000&id2=1754&genusname=Diplodus&speciesname=vulgaris&gm_loo=33.174312361883&gm_lm=18.115925905254&gm_m=0.72&gm_k=0.23451173828362&vautoctr=21236&gm_lm_rl=1"">0.40</a>","-0.77","","","","","2.48","Portugal","Southern coast","No","No"
"4","27.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1950&pref=56714&sex=female&loo=27.70000&k=0.39000&id2=1754&genusname=Diplodus&speciesname=vulgaris&gm_loo=33.174312361883&gm_lm=18.115925905254&gm_m=0.72&gm_k=0.23451173828362&vautoctr=8785&gm_lm_rl=1"">0.39</a>","-0.34","F","","","17.7","2.48","Portugal","Algarve","No","No"
"5","27.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1950&pref=97161&sex=unsexed&loo=27.70000&k=0.40000&id2=1754&genusname=Diplodus&speciesname=vulgaris&gm_loo=33.174312361883&gm_lm=18.115925905254&gm_m=0.72&gm_k=0.23451173828362&vautoctr=21237&gm_lm_rl=1"">0.40</a>","-0.34","","","","","2.49","Portugal","Southern coast","No","No"
"6","28.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1950&pref=56714&sex=male&loo=28.60000&k=0.36000&id2=1754&genusname=Diplodus&speciesname=vulgaris&gm_loo=33.174312361883&gm_lm=18.115925905254&gm_m=0.72&gm_k=0.23451173828362&vautoctr=8786&gm_lm_rl=1"">0.36</a>","-0.38","M","","","17.3","2.47","Portugal","Algavre","No","No"
"7","28.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1950&pref=26328&sex=unsexed&loo=28.80000&k=0.38900&id2=1754&genusname=Diplodus&speciesname=vulgaris&gm_loo=33.174312361883&gm_lm=18.115925905254&gm_m=0.72&gm_k=0.23451173828362&vautoctr=3199&gm_lm_rl=1"">0.39</a>","-0.66","","0.72","19.0","","2.51","Spain","Catalan coast","No","No"
"8","31.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1950&pref=97161&sex=unsexed&loo=31.30000&k=0.25800&id2=1754&genusname=Diplodus&speciesname=vulgaris&gm_loo=33.174312361883&gm_lm=18.115925905254&gm_m=0.72&gm_k=0.23451173828362&vautoctr=21238&gm_lm_rl=1"">0.26</a>","-0.56","","","","","2.40","Egypt","Abu Qir Bay","No","No"
"9","31.9","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1950&pref=97161&sex=unsexed&loo=31.90000&k=0.16000&id2=1754&genusname=Diplodus&speciesname=vulgaris&gm_loo=33.174312361883&gm_lm=18.115925905254&gm_m=0.72&gm_k=0.23451173828362&vautoctr=21239&gm_lm_rl=1"">0.16</a>","-1.94","","","","","2.21","Egypt","Mediterranean coast","No","No"
"10","33.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1950&pref=57599&sex=mixed&loo=33.50000&k=0.17000&id2=1754&genusname=Diplodus&speciesname=vulgaris&gm_loo=33.174312361883&gm_lm=18.115925905254&gm_m=0.72&gm_k=0.23451173828362&vautoctr=8959&gm_lm_rl=1"">0.17</a>","-2.59","","","","","2.28","Italy","Strait of Sicily","No","No"
"11","34.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1950&pref=97161&sex=unsexed&loo=34.49000&k=0.18000&id2=1754&genusname=Diplodus&speciesname=vulgaris&gm_loo=33.174312361883&gm_lm=18.115925905254&gm_m=0.72&gm_k=0.23451173828362&vautoctr=21240&gm_lm_rl=1"">0.18</a>","-1.27","","","","","2.33","Portugal","Southern coast","No","No"
"12","37.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1950&pref=97161&sex=unsexed&loo=37.80000&k=0.18000&id2=1754&genusname=Diplodus&speciesname=vulgaris&gm_loo=33.174312361883&gm_lm=18.115925905254&gm_m=0.72&gm_k=0.23451173828362&vautoctr=21241&gm_lm_rl=1"">0.18</a>","-0.83","","","","","2.41","France","Gulf of Lion","No","No"
