"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","9.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=76&pref=312&sex=unsexed&loo=9.40000&k=1.21000&id2=66&genusname=Engraulis&speciesname=encrasicolus&gm_loo=18.026628328801&gm_lm=10.214020192013&gm_m=1.0202536854586&gm_k=0.47870250442278&vautoctr=531&gm_lm_rl=1"">1.21</a>","-0.37","","","13.6","","2.03","Russia","Azov Sea","No","No"
"2","11.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=76&pref=312&sex=unsexed&loo=11.70000&k=1.16000&id2=66&genusname=Engraulis&speciesname=encrasicolus&gm_loo=18.026628328801&gm_lm=10.214020192013&gm_m=1.0202536854586&gm_k=0.47870250442278&vautoctr=532&gm_lm_rl=1"">1.16</a>","-0.17","","","13.6","","2.20","Russia","Azov Sea","No","No"
"3","13.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=76&pref=51007&sex=unsexed&loo=13.20000&k=0.82000&id2=66&genusname=Engraulis&speciesname=encrasicolus&gm_loo=18.026628328801&gm_lm=10.214020192013&gm_m=1.0202536854586&gm_k=0.47870250442278&vautoctr=9774&gm_lm_rl=1"">0.82</a>","0.50","","","","","2.15","Croatia","Zrmanja River estuary (44°15'N, 15°30'E), eastern Adriatic Sea","No","No"
"4","13.3","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=76&pref=43806&sex=unsexed&loo=13.30000&k=0.61000&id2=66&genusname=Engraulis&speciesname=encrasicolus&gm_loo=18.026628328801&gm_lm=10.214020192013&gm_m=1.0202536854586&gm_k=0.47870250442278&vautoctr=7050&gm_lm_rl=1"">0.61</a>","-1.80","","","","","2.03","Russia","Azov basin","No","No"
"5","13.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=76&pref=312&sex=unsexed&loo=13.90000&k=1.73000&id2=66&genusname=Engraulis&speciesname=encrasicolus&gm_loo=18.026628328801&gm_lm=10.214020192013&gm_m=1.0202536854586&gm_k=0.47870250442278&vautoctr=533&gm_lm_rl=1"">1.73</a>","","","","14.3","","2.52","Russia","Black Sea","No","No"
"6","14.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=76&pref=312&sex=unsexed&loo=14.10000&k=1.01000&id2=66&genusname=Engraulis&speciesname=encrasicolus&gm_loo=18.026628328801&gm_lm=10.214020192013&gm_m=1.0202536854586&gm_k=0.47870250442278&vautoctr=534&gm_lm_rl=1"">1.01</a>","-0.28","","","14.3","","2.30","Russia","Black Sea, Eastern","No","No"
"7","14.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=76&pref=312&sex=unsexed&loo=14.20000&k=0.81000&id2=66&genusname=Engraulis&speciesname=encrasicolus&gm_loo=18.026628328801&gm_lm=10.214020192013&gm_m=1.0202536854586&gm_k=0.47870250442278&vautoctr=535&gm_lm_rl=1"">0.81</a>","-0.54","","","14.3","","2.21","Russia","Black Sea, Eastern","No","No"
"8","15.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=76&pref=312&sex=unsexed&loo=15.00000&k=1.26000&id2=66&genusname=Engraulis&speciesname=encrasicolus&gm_loo=18.026628328801&gm_lm=10.214020192013&gm_m=1.0202536854586&gm_k=0.47870250442278&vautoctr=536&gm_lm_rl=1"">1.26</a>","-0.23","","","14.3","","2.45","Romania","Black Sea, Western","No","No"
"9","15.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=76&pref=312&sex=unsexed&loo=15.30000&k=2.44000&id2=66&genusname=Engraulis&speciesname=encrasicolus&gm_loo=18.026628328801&gm_lm=10.214020192013&gm_m=1.0202536854586&gm_k=0.47870250442278&vautoctr=537&gm_lm_rl=1"">2.44</a>","","","","14.0","","2.76","Italy","Upper Adriatic","Yes","No"
"10","15.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=76&pref=91537&sex=male&loo=15.86000&k=0.27300&id2=66&genusname=Engraulis&speciesname=encrasicolus&gm_loo=18.026628328801&gm_lm=10.214020192013&gm_m=1.0202536854586&gm_k=0.47870250442278&vautoctr=10859&gm_lm_rl=1"">0.27</a>","-2.85","M","","","","1.84","Turkey","Sinop coast","No","No"
