"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","10.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1856&pref=312&sex=unsexed&loo=10.00000&k=3.24000&id2=1663&genusname=Engraulis&speciesname=japonicus&gm_loo=17.090315255936&gm_lm=10.5&gm_m=0.93656814072106&gm_k=1.133174401238&vautoctr=3101&gm_lm_rl=1"">3.24</a>","","","","18.6","","2.51","Japan","Ise Bay","No","No"
"2","12.2","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1856&pref=5760&sex=unsexed&loo=12.20000&k=1.10000&id2=1663&genusname=Engraulis&speciesname=japonicus&gm_loo=17.090315255936&gm_lm=10.5&gm_m=0.93656814072106&gm_k=1.133174401238&vautoctr=3118&gm_lm_rl=1"">1.10</a>","","","","22.0","","2.21","South Africa","Southwest Africa, ICSEAF Div. 1.3, 1.4 and 1.5","No","No"
"3","13.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1856&pref=312&sex=unsexed&loo=13.20000&k=4.59000&id2=1663&genusname=Engraulis&speciesname=japonicus&gm_loo=17.090315255936&gm_lm=10.5&gm_m=0.93656814072106&gm_k=1.133174401238&vautoctr=3102&gm_lm_rl=1"">4.59</a>","","","","18.9","","2.90","Japan","Northern Kyushu","No","No"
"4","14.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1856&pref=5436&sex=unsexed&loo=14.00000&k=1.58600&id2=1663&genusname=Engraulis&speciesname=japonicus&gm_loo=17.090315255936&gm_lm=10.5&gm_m=0.93656814072106&gm_k=1.133174401238&vautoctr=3117&gm_lm_rl=1"">1.59</a>","0.00","","","22.0","","2.49","South Africa","Western Cape coast","No","No"
"5","14.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1856&pref=312&sex=unsexed&loo=14.40000&k=2.02000&id2=1663&genusname=Engraulis&speciesname=japonicus&gm_loo=17.090315255936&gm_lm=10.5&gm_m=0.93656814072106&gm_k=1.133174401238&vautoctr=3103&gm_lm_rl=1"">2.02</a>","","","","19.3","","2.62","Japan","Harima Nada","No","No"
"6","15.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1856&pref=839&sex=unsexed&loo=15.00000&k=1.60000&id2=1663&genusname=Engraulis&speciesname=japonicus&gm_loo=17.090315255936&gm_lm=10.5&gm_m=0.93656814072106&gm_k=1.133174401238&vautoctr=3115&gm_lm_rl=1"">1.60</a>","","","","15.0","","2.56","Japan","","No","No"
"7","15.4","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1856&pref=5760&sex=unsexed&loo=15.40000&k=0.26000&id2=1663&genusname=Engraulis&speciesname=japonicus&gm_loo=17.090315255936&gm_lm=10.5&gm_m=0.93656814072106&gm_k=1.133174401238&vautoctr=3119&gm_lm_rl=1"">0.26</a>","","","","22.0","","1.79","South Africa","Southwest Africa","No","No"
"8","15.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1856&pref=79880&sex=mixed&loo=15.50000&k=0.60000&id2=1663&genusname=Engraulis&speciesname=japonicus&gm_loo=17.090315255936&gm_lm=10.5&gm_m=0.93656814072106&gm_k=1.133174401238&vautoctr=9893&gm_lm_rl=1"">0.60</a>","","","0.63","","","2.16","China","Yellow Sea and East China Sea","No","No"
"9","17.1","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1856&pref=6425&sex=unsexed&loo=17.10000&k=0.45000&id2=1663&genusname=Engraulis&speciesname=japonicus&gm_loo=17.090315255936&gm_lm=10.5&gm_m=0.93656814072106&gm_k=1.133174401238&vautoctr=3120&gm_lm_rl=1"">0.45</a>","","","0.80","14.7","","2.12","South Africa","Southeast Atlantic, Div. 1.4, 1.5, 1.6 and 2.1","No","No"
"10","17.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1856&pref=1139&sex=unsexed&loo=17.70000&k=1.80000&id2=1663&genusname=Engraulis&speciesname=japonicus&gm_loo=17.090315255936&gm_lm=10.5&gm_m=0.93656814072106&gm_k=1.133174401238&vautoctr=3116&gm_lm_rl=1"">1.80</a>","","","1.63","20.0","10.5","2.75","Japan","","No","No"
