"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","11.6","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=1658&sex=male&loo=11.60000&k=0.56800&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3150&gm_lm_rl=1"">0.57</a>","-1.83","M","","18.0","","1.88","Mexico","Baja California (southern)","No","No"
"2","12.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=1658&sex=male&loo=12.00000&k=0.55100&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3151&gm_lm_rl=1"">0.55</a>","-1.83","M","","18.0","","1.90","Mexico","Baja California (northern)","No","No"
"3","12.4","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=1658&sex=female&loo=12.40000&k=0.46500&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3148&gm_lm_rl=1"">0.47</a>","-1.98","F","","18.0","","1.85","Mexico","Baja California (southern)","No","No"
"4","12.8","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=1658&sex=female&loo=12.80000&k=0.46500&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3149&gm_lm_rl=1"">0.47</a>","-1.87","F","","18.0","","1.88","Mexico","Baja California (northern)","No","No"
"5","15.3","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=3730&sex=unsexed&loo=15.30000&k=0.70000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3152&gm_lm_rl=1"">0.70</a>","","","","20.5","","2.21","Mexico","Guaymas, Gulf of California","No","No"
"6","16.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=312&sex=unsexed&loo=16.40000&k=0.95000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3121&gm_lm_rl=1"">0.95</a>","-1.40","","","16.7","","2.41","USA","San Pedro, California","No","No"
"7","16.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=1139&sex=unsexed&loo=16.40000&k=0.45000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3147&gm_lm_rl=1"">0.45</a>","","","1.70","15.0","","2.08","USA","California","No","No"
"8","16.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=312&sex=unsexed&loo=16.50000&k=0.61000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3122&gm_lm_rl=1"">0.61</a>","-0.50","","","15.9","","2.22","USA","Newport, California","No","No"
"9","16.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=312&sex=unsexed&loo=16.60000&k=0.69000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3123&gm_lm_rl=1"">0.69</a>","-1.80","","","16.8","","2.28","USA","San Diego, California","No","No"
"10","16.6","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=5760&sex=unsexed&loo=16.60000&k=0.30000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3153&gm_lm_rl=1"">0.30</a>","","","","18.0","","1.92","USA","California","No","No"
"11","17.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=312&sex=unsexed&loo=17.20000&k=0.83000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3124&gm_lm_rl=1"">0.83</a>","-2.10","","","16.7","","2.39","USA","Los Angeles, California","No","No"
"12","17.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=312&sex=unsexed&loo=17.60000&k=0.34900&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3125&gm_lm_rl=1"">0.35</a>","-0.43","","0.92","16.0","9.6","2.03","USA","Southern California","No","No"
"13","18.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=312&sex=unsexed&loo=18.20000&k=0.48000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3126&gm_lm_rl=1"">0.48</a>","-0.20","","","16.8","","2.20","USA","San Diego, California","No","No"
"14","18.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=312&sex=unsexed&loo=18.30000&k=0.48000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3127&gm_lm_rl=1"">0.48</a>","-2.60","","","16.7","","2.21","USA","Los Angeles, California","No","No"
"15","18.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=312&sex=unsexed&loo=18.40000&k=0.45000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3128&gm_lm_rl=1"">0.45</a>","-2.70","","","16.7","","2.18","USA","Los Angeles, California","No","No"
"16","18.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=312&sex=unsexed&loo=18.60000&k=0.44000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3129&gm_lm_rl=1"">0.44</a>","-2.90","","","15.1","","2.18","USA","Santa Barbara, California","No","No"
"17","18.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=312&sex=unsexed&loo=18.70000&k=0.41000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3130&gm_lm_rl=1"">0.41</a>","-3.60","","","16.7","","2.16","USA","Los Angeles, California","No","No"
"18","18.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=312&sex=unsexed&loo=18.70000&k=0.58000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3131&gm_lm_rl=1"">0.58</a>","-1.50","","","16.1","","2.31","USA","Malibu, California","No","No"
"19","18.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=312&sex=unsexed&loo=18.90000&k=0.47000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3132&gm_lm_rl=1"">0.47</a>","-2.10","","","16.1","","2.23","USA","Santa Monica, California","No","No"
"20","19.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=312&sex=unsexed&loo=19.00000&k=0.56000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3133&gm_lm_rl=1"">0.56</a>","-1.40","","","16.7","","2.31","USA","San Pedro, California,","No","No"
"21","19.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=312&sex=unsexed&loo=19.10000&k=0.40000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3134&gm_lm_rl=1"">0.40</a>","-2.60","","","15.9","","2.16","USA","San Clemente, California","No","No"
"22","19.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1857&pref=312&sex=unsexed&loo=19.30000&k=0.34000&id2=1664&genusname=Engraulis&speciesname=mordax&gm_loo=18.75302599749&gm_lm=9.6&gm_m=1.2505998560691&gm_k=0.36862570846674&vautoctr=3135&gm_lm_rl=1"">0.34</a>","-3.10","","","16.5","","2.10","USA","Newport, California","No","No"
