"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","40.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=102&pref=2300&sex=unsexed&loo=40.00000&k=0.34700&id2=87&genusname=Etelis&speciesname=carbunculus&gm_loo=81.280998038629&gm_lm=1&gm_m=0.08&gm_k=0.19161474271991&vautoctr=637&gm_lm_rl=1"">0.35</a>","-1.06","","","21.0","","2.74","North. Marianas","","No","No"
"2","54.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=102&pref=2016&sex=unsexed&loo=54.00000&k=0.28900&id2=87&genusname=Etelis&speciesname=carbunculus&gm_loo=81.280998038629&gm_lm=1&gm_m=0.08&gm_k=0.19161474271991&vautoctr=633&gm_lm_rl=1"">0.29</a>","-0.23","","","21.0","","2.93","North. Marianas","","No","No"
"3","63.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=102&pref=4560&sex=unsexed&loo=63.90000&k=0.36000&id2=87&genusname=Etelis&speciesname=carbunculus&gm_loo=81.280998038629&gm_lm=1&gm_m=0.08&gm_k=0.19161474271991&vautoctr=638&gm_lm_rl=1"">0.36</a>","-0.60","","","24.2","","3.17","Hawaii","Northwestern","No","No"
"4","68.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=102&pref=2016&sex=unsexed&loo=68.00000&k=0.12600&id2=87&genusname=Etelis&speciesname=carbunculus&gm_loo=81.280998038629&gm_lm=1&gm_m=0.08&gm_k=0.19161474271991&vautoctr=634&gm_lm_rl=1"">0.13</a>","2.35","","","21.0","","2.77","French Polynesia","","Yes","No"
"5","71.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=102&pref=2016&sex=unsexed&loo=71.80000&k=0.16300&id2=87&genusname=Etelis&speciesname=carbunculus&gm_loo=81.280998038629&gm_lm=1&gm_m=0.08&gm_k=0.19161474271991&vautoctr=635&gm_lm_rl=1"">0.16</a>","3.32","","","22.0","","2.92","Hawaii","","Yes","No"
"6","79.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=102&pref=82366&sex=unsexed&loo=79.10000&k=0.10000&id2=87&genusname=Etelis&speciesname=carbunculus&gm_loo=81.280998038629&gm_lm=1&gm_m=0.08&gm_k=0.19161474271991&vautoctr=10007&gm_lm_rl=1"">0.10</a>","","","0.08","","","2.80","Papua New Guinea","Lihir Island group (seamount)","No","No"
"7","89.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=102&pref=95586&sex=unsexed&loo=89.55100&k=0.28000&id2=87&genusname=Etelis&speciesname=carbunculus&gm_loo=81.280998038629&gm_lm=1&gm_m=0.08&gm_k=0.19161474271991&vautoctr=11777&gm_lm_rl=1"">0.28</a>","0.51","","","","","3.35","New Caledonia","Southern Province, Northern Province, Loyalty Islands (Dec 2008-Jun 2009)","No","No"
"8","94.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=102&pref=160&sex=unsexed&loo=94.00000&k=0.07000&id2=87&genusname=Etelis&speciesname=carbunculus&gm_loo=81.280998038629&gm_lm=1&gm_m=0.08&gm_k=0.19161474271991&vautoctr=632&gm_lm_rl=1"">0.07</a>","","","0.08","21.0","","2.79","Vanuatu","","No","No"
"9","127.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=102&pref=2016&sex=unsexed&loo=127.00000&k=0.12900&id2=87&genusname=Etelis&speciesname=carbunculus&gm_loo=81.280998038629&gm_lm=1&gm_m=0.08&gm_k=0.19161474271991&vautoctr=636&gm_lm_rl=1"">0.13</a>","1.41","","","21.0","","3.32","Vanuatu","","Yes","No"
"10","132.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=102&pref=26284&sex=unsexed&loo=132.00000&k=0.22000&id2=87&genusname=Etelis&speciesname=carbunculus&gm_loo=81.280998038629&gm_lm=1&gm_m=0.08&gm_k=0.19161474271991&vautoctr=639&gm_lm_rl=1"">0.22</a>","","","","21.0","","3.58","Vanuatu","","No","No"
"11","136.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=102&pref=26853&sex=unsexed&loo=136.00000&k=0.31000&id2=87&genusname=Etelis&speciesname=carbunculus&gm_loo=81.280998038629&gm_lm=1&gm_m=0.08&gm_k=0.19161474271991&vautoctr=640&gm_lm_rl=1"">0.31</a>","","","","21.0","","3.76","Tonga","","No","No"
