"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","12.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=56503&sex=mixed&loo=12.50000&k=0.42000&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=8699&gm_lm_rl=1"">0.42</a>","0.25","","","","","1.82","Russia","Ladoga Lake","No","No"
"2","13.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=36773&sex=unsexed&loo=13.60000&k=0.74400&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=5460&gm_lm_rl=1"">0.74</a>","","","","","","2.14","Germany","Altengamme pond, Elbe","No","Yes"
"3","13.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=36773&sex=unsexed&loo=13.70000&k=0.47700&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=5461&gm_lm_rl=1"">0.48</a>","","","","","","1.95","Germany","Alster tributary","No","No"
"4","14.4","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=6275&sex=unsexed&loo=14.40000&k=0.25400&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=3998&gm_lm_rl=1"">0.25</a>","-0.35","","","","","1.72","Finland","Lake Kiitämä, Kuusamo","No","No"
"5","14.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=6275&sex=unsexed&loo=14.50000&k=0.21400&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=3999&gm_lm_rl=1"">0.21</a>","-0.52","","","","","1.65","Finland","Lake Suininki, Kuusamo","No","No"
"6","15.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=36773&sex=unsexed&loo=15.00000&k=0.29000&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=5464&gm_lm_rl=1"">0.29</a>","","","","","","1.81","Germany","Stettiner Haff (Baltic)","No","No"
"7","15.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=36773&sex=unsexed&loo=15.60000&k=0.63700&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=5465&gm_lm_rl=1"">0.64</a>","","","","","","2.19","Germany","Lebbiner Schär (Baltic)","No","No"
"8","15.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=36773&sex=unsexed&loo=15.70000&k=0.62900&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=5459&gm_lm_rl=1"">0.63</a>","","","","","","2.19","Germany","lower Elbe River (Finkenwerder Häfen)","No","No"
"9","16.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=36773&sex=unsexed&loo=16.10000&k=0.62700&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=5458&gm_lm_rl=1"">0.63</a>","","","","","","2.21","Germany","lower Elbe River (Petroleumhafen)","No","No"
"10","18.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=36773&sex=unsexed&loo=18.10000&k=0.25600&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=5466&gm_lm_rl=1"">0.26</a>","","","","","","1.92","Germany","25 different lakes in northern region","No","No"
"11","20.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=36773&sex=unsexed&loo=20.60000&k=0.12800&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=5467&gm_lm_rl=1"">0.13</a>","","","","","","1.73","Czechia","Orlik reservoir","No","No"
"12","21.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=36773&sex=unsexed&loo=21.20000&k=0.45100&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=5457&gm_lm_rl=1"">0.45</a>","","","","","","2.31","Germany","lower Elbe River","No","No"
"13","21.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=56502&sex=mixed&loo=21.30000&k=0.20000&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=8689&gm_lm_rl=1"">0.20</a>","-1.07","","","","","1.96","Russia","Enisey river","No","No"
"14","23.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=36773&sex=male&loo=23.30000&k=0.48400&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=5452&gm_lm_rl=1"">0.48</a>","","M","","9.0","","2.42","Germany","Krautsand Reede, Elbe estuary","No","No"
"15","24.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=36773&sex=unsexed&loo=24.50000&k=0.48000&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=5456&gm_lm_rl=1"">0.48</a>","","","","9.0","","2.46","Germany","Stör (tidally influenced Elbe River)","No","No"
"16","26.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=36773&sex=female&loo=26.10000&k=0.39700&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=5451&gm_lm_rl=1"">0.40</a>","","F","","9.0","","2.43","Germany","Krautsand Reede, Elbe estuary","No","No"
"17","30.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=36773&sex=unsexed&loo=30.50000&k=0.12800&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=5463&gm_lm_rl=1"">0.13</a>","","","","9.0","","2.08","Germany","Frisches Haff (Baltic)","No","No"
"18","35.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4672&pref=36773&sex=unsexed&loo=35.30000&k=0.10600&id2=4474&genusname=Gymnocephalus&speciesname=cernua&gm_loo=18.693281159286&gm_lm=1&gm_m=1&gm_k=0.33024671545017&vautoctr=5462&gm_lm_rl=1"">0.11</a>","","","","9.0","","2.12","Germany","Darß-Zingster Boddenkette (Baltic)","No","No"
