"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","40.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4696&pref=47230&sex=unsexed&loo=40.70000&k=0.39800&id2=4498&genusname=Lates&speciesname=stappersii&gm_loo=49.282962383929&gm_lm=1&gm_m=1&gm_k=0.37431229546195&vautoctr=7166&gm_lm_rl=1"">0.40</a>","-0.02","","","27.0","","2.82","Burundi","Lake Tanganyika","Yes","No"
"2","45.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4696&pref=52862&sex=unsexed&loo=45.00000&k=0.40000&id2=4498&genusname=Lates&speciesname=stappersii&gm_loo=49.282962383929&gm_lm=1&gm_m=1&gm_k=0.37431229546195&vautoctr=8194&gm_lm_rl=1"">0.40</a>","","","","","","2.91","Tanzania","Lake Tanganyika","No","No"
"3","47.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4696&pref=52862&sex=unsexed&loo=47.00000&k=0.40000&id2=4498&genusname=Lates&speciesname=stappersii&gm_loo=49.282962383929&gm_lm=1&gm_m=1&gm_k=0.37431229546195&vautoctr=8190&gm_lm_rl=1"">0.40</a>","","","","","","2.95","Burundi","Lake Tanganyika","No","No"
"4","47.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4696&pref=52862&sex=unsexed&loo=47.90000&k=0.39000&id2=4498&genusname=Lates&speciesname=stappersii&gm_loo=49.282962383929&gm_lm=1&gm_m=1&gm_k=0.37431229546195&vautoctr=8197&gm_lm_rl=1"">0.39</a>","","","","","","2.95","Zambia","","No","No"
"5","48.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4696&pref=2939&sex=unsexed&loo=48.00000&k=0.39000&id2=4498&genusname=Lates&speciesname=stappersii&gm_loo=49.282962383929&gm_lm=1&gm_m=1&gm_k=0.37431229546195&vautoctr=4023&gm_lm_rl=1"">0.39</a>","-0.37","","","26.0","","2.95","Burundi","Lake Tanganyika","No","No"
"6","48.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4696&pref=52862&sex=unsexed&loo=48.00000&k=0.38000&id2=4498&genusname=Lates&speciesname=stappersii&gm_loo=49.282962383929&gm_lm=1&gm_m=1&gm_k=0.37431229546195&vautoctr=8196&gm_lm_rl=1"">0.38</a>","","","","","","2.94","Congo Dem Rp","Uvira, Lake Tanganyika","No","No"
"7","50.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4696&pref=47230&sex=unsexed&loo=50.50000&k=0.25000&id2=4498&genusname=Lates&speciesname=stappersii&gm_loo=49.282962383929&gm_lm=1&gm_m=1&gm_k=0.37431229546195&vautoctr=7167&gm_lm_rl=1"">0.25</a>","","","","27.0","","2.80","Tanzania","Lake Tanganyika","Yes","No"
"8","50.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4696&pref=52862&sex=unsexed&loo=50.60000&k=0.43000&id2=4498&genusname=Lates&speciesname=stappersii&gm_loo=49.282962383929&gm_lm=1&gm_m=1&gm_k=0.37431229546195&vautoctr=8191&gm_lm_rl=1"">0.43</a>","","","","","","3.04","Tanzania","Kigoma, Lake Tanganyika","No","No"
"9","51.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4696&pref=47230&sex=unsexed&loo=51.00000&k=0.35000&id2=4498&genusname=Lates&speciesname=stappersii&gm_loo=49.282962383929&gm_lm=1&gm_m=1&gm_k=0.37431229546195&vautoctr=7163&gm_lm_rl=1"">0.35</a>","","","","27.0","","2.96","Burundi","Lake Tanganyika (Burundi sector)","No","No"
"10","52.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4696&pref=52862&sex=unsexed&loo=52.40000&k=0.40000&id2=4498&genusname=Lates&speciesname=stappersii&gm_loo=49.282962383929&gm_lm=1&gm_m=1&gm_k=0.37431229546195&vautoctr=8198&gm_lm_rl=1"">0.40</a>","","","","","","3.04","","Lake Tanganyika (entire lake)","No","No"
"11","53.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4696&pref=52862&sex=unsexed&loo=53.00000&k=0.40000&id2=4498&genusname=Lates&speciesname=stappersii&gm_loo=49.282962383929&gm_lm=1&gm_m=1&gm_k=0.37431229546195&vautoctr=8193&gm_lm_rl=1"">0.40</a>","","","","","","3.05","Zambia","Mpulungu, Lake Tanganyika","No","No"
"12","53.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4696&pref=47230&sex=unsexed&loo=53.50000&k=0.35500&id2=4498&genusname=Lates&speciesname=stappersii&gm_loo=49.282962383929&gm_lm=1&gm_m=1&gm_k=0.37431229546195&vautoctr=7162&gm_lm_rl=1"">0.36</a>","","","","27.0","","3.01","Burundi","Lake Tanganyika (Burundi sector)","No","No"
"13","55.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4696&pref=52862&sex=unsexed&loo=55.00000&k=0.36000&id2=4498&genusname=Lates&speciesname=stappersii&gm_loo=49.282962383929&gm_lm=1&gm_m=1&gm_k=0.37431229546195&vautoctr=8192&gm_lm_rl=1"">0.36</a>","","","","","","3.04","Tanzania","Kipili, Lake Tanganyika","No","No"
