"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","28.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2039&pref=42001&sex=female&loo=28.30000&k=0.22100&id2=1843&genusname=Lethrinus&speciesname=mahsena&gm_loo=46.182990246372&gm_lm=1&gm_m=1&gm_k=0.15725165783264&vautoctr=6632&gm_lm_rl=1"">0.22</a>","-0.33","F","","27.0","","2.25","Seychelles","St. Anne National Marine Park","No","No"
"2","30.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2039&pref=42001&sex=male&loo=30.80000&k=0.19400&id2=1843&genusname=Lethrinus&speciesname=mahsena&gm_loo=46.182990246372&gm_lm=1&gm_m=1&gm_k=0.15725165783264&vautoctr=6631&gm_lm_rl=1"">0.19</a>","-0.35","M","","27.0","","2.26","Seychelles","St. Anne National Marine Park","No","No"
"3","35.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2039&pref=52279&sex=unsexed&loo=35.50000&k=0.30000&id2=1843&genusname=Lethrinus&speciesname=mahsena&gm_loo=46.182990246372&gm_lm=1&gm_m=1&gm_k=0.15725165783264&vautoctr=7885&gm_lm_rl=1"">0.30</a>","-0.36","","","27.0","","2.58","Mauritius","Nazareth Bank, Mascarene Ridge, W Indian Ocean","No","No"
"4","50.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2039&pref=12133&sex=male&loo=50.00000&k=0.16000&id2=1843&genusname=Lethrinus&speciesname=mahsena&gm_loo=46.182990246372&gm_lm=1&gm_m=1&gm_k=0.15725165783264&vautoctr=3269&gm_lm_rl=1"">0.16</a>","","M","","27.0","","2.60","Mauritius","Saya de Malha","No","No"
"5","50.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2039&pref=12133&sex=female&loo=50.40000&k=0.13000&id2=1843&genusname=Lethrinus&speciesname=mahsena&gm_loo=46.182990246372&gm_lm=1&gm_m=1&gm_k=0.15725165783264&vautoctr=3267&gm_lm_rl=1"">0.13</a>","","F","","27.0","","2.52","Mauritius","Saya de Malha","No","No"
"6","52.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2039&pref=53783&sex=unsexed&loo=52.00000&k=0.09000&id2=1843&genusname=Lethrinus&speciesname=mahsena&gm_loo=46.182990246372&gm_lm=1&gm_m=1&gm_k=0.15725165783264&vautoctr=8394&gm_lm_rl=1"">0.09</a>","","","","27.0","","2.39","Mauritius","Nazareth Bank, Mascarene Ridge (15°S, 61°E)","No","No"
"7","55.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2039&pref=12133&sex=female&loo=55.40000&k=0.10000&id2=1843&genusname=Lethrinus&speciesname=mahsena&gm_loo=46.182990246372&gm_lm=1&gm_m=1&gm_k=0.15725165783264&vautoctr=3268&gm_lm_rl=1"">0.10</a>","","F","","27.0","","2.49","Mauritius","Saya de Malha","No","No"
"8","55.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2039&pref=12133&sex=male&loo=55.60000&k=0.12000&id2=1843&genusname=Lethrinus&speciesname=mahsena&gm_loo=46.182990246372&gm_lm=1&gm_m=1&gm_k=0.15725165783264&vautoctr=3270&gm_lm_rl=1"">0.12</a>","","M","","27.0","","2.57","Mauritius","Saya de Malha","No","No"
"9","58.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2039&pref=2291&sex=unsexed&loo=58.90000&k=0.32000&id2=1843&genusname=Lethrinus&speciesname=mahsena&gm_loo=46.182990246372&gm_lm=1&gm_m=1&gm_k=0.15725165783264&vautoctr=3266&gm_lm_rl=1"">0.32</a>","","","","27.6","","3.05","Yemen","Gulf of Aden","Yes","No"
"10","60.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2039&pref=12136&sex=mixed&loo=60.00000&k=0.10000&id2=1843&genusname=Lethrinus&speciesname=mahsena&gm_loo=46.182990246372&gm_lm=1&gm_m=1&gm_k=0.15725165783264&vautoctr=3271&gm_lm_rl=1"">0.10</a>","","","","27.0","","2.56","Mauritius","Nazareth Bank","No","No"
