"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","103.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=732&pref=27030&sex=male&loo=103.00000&k=0.35700&id2=716&genusname=Lophius&speciesname=piscatorius&gm_loo=139.60163868909&gm_lm=55.226805085936&gm_m=0.62&gm_k=0.11301225773696&vautoctr=1983&gm_lm_rl=0.41713307457854"">0.36</a>","0.39","M","0.62","14.0","","3.58","Greece","Aegean Sea","Yes","No"
"2","106.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=732&pref=27372&sex=unsexed&loo=106.00000&k=0.18000&id2=716&genusname=Lophius&speciesname=piscatorius&gm_loo=139.60163868909&gm_lm=55.226805085936&gm_m=0.62&gm_k=0.11301225773696&vautoctr=1984&gm_lm_rl=0.41713307457854"">0.18</a>","","","","9.0","61.0","3.31","UK","North Sea","No","No"
"3","112.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=732&pref=27030&sex=female&loo=112.00000&k=0.33000&id2=716&genusname=Lophius&speciesname=piscatorius&gm_loo=139.60163868909&gm_lm=55.226805085936&gm_m=0.62&gm_k=0.11301225773696&vautoctr=1982&gm_lm_rl=0.41713307457854"">0.33</a>","0.47","F","","14.0","","3.62","Greece","Aegean Sea","Yes","No"
"4","122.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=732&pref=13527&sex=mixed&loo=122.00000&k=0.10000&id2=716&genusname=Lophius&speciesname=piscatorius&gm_loo=139.60163868909&gm_lm=55.226805085936&gm_m=0.62&gm_k=0.11301225773696&vautoctr=1979&gm_lm_rl=0.41713307457854"">0.10</a>","","","","14.5","","3.17","Spain","ICES Div. VIII-IXa","No","No"
"5","130.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=732&pref=5760&sex=male&loo=130.00000&k=0.11000&id2=716&genusname=Lophius&speciesname=piscatorius&gm_loo=139.60163868909&gm_lm=55.226805085936&gm_m=0.62&gm_k=0.11301225773696&vautoctr=1978&gm_lm_rl=0.41713307457854"">0.11</a>","","M","","11.0","","3.27","France","ICES Areas VII and VIII","No","No"
"6","130.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=732&pref=46508&sex=male&loo=130.00000&k=0.11000&id2=716&genusname=Lophius&speciesname=piscatorius&gm_loo=139.60163868909&gm_lm=55.226805085936&gm_m=0.62&gm_k=0.11301225773696&vautoctr=6946&gm_lm_rl=0.41713307457854"">0.11</a>","0.54","M","","13.0","","3.27","France","Northern stock","No","No"
"7","131.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=732&pref=13527&sex=mixed&loo=131.00000&k=0.13000&id2=716&genusname=Lophius&speciesname=piscatorius&gm_loo=139.60163868909&gm_lm=55.226805085936&gm_m=0.62&gm_k=0.11301225773696&vautoctr=1980&gm_lm_rl=0.41713307457854"">0.13</a>","","","","14.5","","3.35","Spain","ICES Div. VIII-IXa","No","No"
"8","132.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=732&pref=13527&sex=mixed&loo=132.00000&k=0.10900&id2=716&genusname=Lophius&speciesname=piscatorius&gm_loo=139.60163868909&gm_lm=55.226805085936&gm_m=0.62&gm_k=0.11301225773696&vautoctr=1981&gm_lm_rl=0.41713307457854"">0.11</a>","0.66","","","14.5","","3.28","Spain","ICES Div. VIIIc and Ixa","No","No"
"9","137.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=732&pref=312&sex=unsexed&loo=137.00000&k=0.16400&id2=716&genusname=Lophius&speciesname=piscatorius&gm_loo=139.60163868909&gm_lm=55.226805085936&gm_m=0.62&gm_k=0.11301225773696&vautoctr=1976&gm_lm_rl=0.41713307457854"">0.16</a>","-0.06","","","9.0","","3.49","UK Scotland","Aberdeen, 40 m","No","No"
"10","137.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=732&pref=46508&sex=mixed&loo=137.00000&k=0.09000&id2=716&genusname=Lophius&speciesname=piscatorius&gm_loo=139.60163868909&gm_lm=55.226805085936&gm_m=0.62&gm_k=0.11301225773696&vautoctr=6944&gm_lm_rl=0.41713307457854"">0.09</a>","","","","","","3.23","Spain","ICES Div. VIIIc and 1Xa","No","No"
