"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","78.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1453&pref=3090&sex=unsexed&loo=78.00000&k=0.24600&id2=1403&genusname=Lutjanus&speciesname=analis&gm_loo=91.511961947253&gm_lm=40&gm_m=0.31&gm_k=0.13888509216106&vautoctr=2679&gm_lm_rl=0.46000000834465"">0.25</a>","","","","27.2","","3.18","Cuba","","No","No"
"2","80.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1453&pref=3090&sex=unsexed&loo=80.80000&k=0.13200&id2=1403&genusname=Lutjanus&speciesname=analis&gm_loo=91.511961947253&gm_lm=40&gm_m=0.31&gm_k=0.13888509216106&vautoctr=2680&gm_lm_rl=0.46000000834465"">0.13</a>","-1.42","","","27.2","","2.94","Cuba","Northeast Zone","No","No"
"3","82.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1453&pref=8540&sex=unsexed&loo=82.00000&k=0.20000&id2=1403&genusname=Lutjanus&speciesname=analis&gm_loo=91.511961947253&gm_lm=40&gm_m=0.31&gm_k=0.13888509216106&vautoctr=2685&gm_lm_rl=0.46000000834465"">0.20</a>","","","0.31","27.2","","3.13","Cuba","Northwest Zone","No","No"
"4","84.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1453&pref=83831&sex=unsexed&loo=84.50000&k=0.05000&id2=1403&genusname=Lutjanus&speciesname=analis&gm_loo=91.511961947253&gm_lm=40&gm_m=0.31&gm_k=0.13888509216106&vautoctr=10245&gm_lm_rl=0.46000000834465"">0.05</a>","-1.80","","","","","2.55","Brazil","Northeastern region","No","No"
"5","86.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1453&pref=3090&sex=unsexed&loo=86.00000&k=0.15300&id2=1403&genusname=Lutjanus&speciesname=analis&gm_loo=91.511961947253&gm_lm=40&gm_m=0.31&gm_k=0.13888509216106&vautoctr=2681&gm_lm_rl=0.46000000834465"">0.15</a>","-0.58","","","22.5","40.0","3.05","USA","Florida east coast","No","No"
"6","86.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1453&pref=46200&sex=mixed&loo=86.90000&k=0.16000&id2=1403&genusname=Lutjanus&speciesname=analis&gm_loo=91.511961947253&gm_lm=40&gm_m=0.31&gm_k=0.13888509216106&vautoctr=6916&gm_lm_rl=0.46000000834465"">0.16</a>","-0.94","","","23.0","","3.08","USA","Florida east coast","No","No"
"7","88.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1453&pref=3090&sex=unsexed&loo=88.00000&k=0.15200&id2=1403&genusname=Lutjanus&speciesname=analis&gm_loo=91.511961947253&gm_lm=40&gm_m=0.31&gm_k=0.13888509216106&vautoctr=2682&gm_lm_rl=0.46000000834465"">0.15</a>","","","","27.2","","3.07","Cuba","Zone B","No","No"
"8","103.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1453&pref=11824&sex=unsexed&loo=103.00000&k=0.17000&id2=1403&genusname=Lutjanus&speciesname=analis&gm_loo=91.511961947253&gm_lm=40&gm_m=0.31&gm_k=0.13888509216106&vautoctr=2686&gm_lm_rl=0.46000000834465"">0.17</a>","-0.62","","","27.2","","3.26","Venezuela","Northern coast","No","No"
"9","118.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1453&pref=3090&sex=unsexed&loo=118.00000&k=0.10000&id2=1403&genusname=Lutjanus&speciesname=analis&gm_loo=91.511961947253&gm_lm=40&gm_m=0.31&gm_k=0.13888509216106&vautoctr=2683&gm_lm_rl=0.46000000834465"">0.10</a>","","","","27.2","","3.14","Cuba","Zone C","No","No"
"10","118.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1453&pref=3090&sex=unsexed&loo=118.00000&k=0.13000&id2=1403&genusname=Lutjanus&speciesname=analis&gm_loo=91.511961947253&gm_lm=40&gm_m=0.31&gm_k=0.13888509216106&vautoctr=2684&gm_lm_rl=0.46000000834465"">0.13</a>","","","","27.2","","3.26","Cuba","","No","No"
