"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","30.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=195&pref=11824&sex=unsexed&loo=30.70000&k=0.53000&id2=181&genusname=Lutjanus&speciesname=synagris&gm_loo=43.95225495316&gm_lm=23.538710435501&gm_m=0.51&gm_k=0.21275965269059&vautoctr=1047&gm_lm_rl=0.43464232465889"">0.53</a>","","","","26.0","","2.70","Mexico","","Yes","No"
"2","31.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=195&pref=83830&sex=unsexed&loo=31.20000&k=0.17000&id2=181&genusname=Lutjanus&speciesname=synagris&gm_loo=43.95225495316&gm_lm=23.538710435501&gm_m=0.51&gm_k=0.21275965269059&vautoctr=10250&gm_lm_rl=0.43464232465889"">0.17</a>","-0.37","","","","","2.22","Brazil","Central coast","No","No"
"3","31.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=195&pref=83831&sex=unsexed&loo=31.20000&k=0.17000&id2=181&genusname=Lutjanus&speciesname=synagris&gm_loo=43.95225495316&gm_lm=23.538710435501&gm_m=0.51&gm_k=0.21275965269059&vautoctr=10248&gm_lm_rl=0.43464232465889"">0.17</a>","-0.37","","","","","2.22","Brazil","Central coast","No","No"
"4","32.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=195&pref=46268&sex=male&loo=32.00000&k=0.25000&id2=181&genusname=Lutjanus&speciesname=synagris&gm_loo=43.95225495316&gm_lm=23.538710435501&gm_m=0.51&gm_k=0.21275965269059&vautoctr=6977&gm_lm_rl=0.43464232465889"">0.25</a>","","M","","27.0","","2.41","Jamaica","southern coast","No","No"
"5","32.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=195&pref=32857&sex=unsexed&loo=32.40000&k=0.25300&id2=181&genusname=Lutjanus&speciesname=synagris&gm_loo=43.95225495316&gm_lm=23.538710435501&gm_m=0.51&gm_k=0.21275965269059&vautoctr=5024&gm_lm_rl=0.43464232465889"">0.25</a>","","","","23.0","","2.42","Mexico","Yucatán","No","No"
"6","33.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=195&pref=43362&sex=mixed&loo=33.10000&k=0.39500&id2=181&genusname=Lutjanus&speciesname=synagris&gm_loo=43.95225495316&gm_lm=23.538710435501&gm_m=0.51&gm_k=0.21275965269059&vautoctr=7339&gm_lm_rl=0.43464232465889"">0.40</a>","-1.95","","","23.0","","2.64","Bermuda","reef platform","No","No"
"7","35.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=195&pref=8540&sex=unsexed&loo=35.10000&k=0.28000&id2=181&genusname=Lutjanus&speciesname=synagris&gm_loo=43.95225495316&gm_lm=23.538710435501&gm_m=0.51&gm_k=0.21275965269059&vautoctr=1040&gm_lm_rl=0.43464232465889"">0.28</a>","-0.52","","","27.2","","2.54","Cuba","Southwest  Zone","No","No"
"8","35.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=195&pref=32857&sex=unsexed&loo=35.70000&k=0.26000&id2=181&genusname=Lutjanus&speciesname=synagris&gm_loo=43.95225495316&gm_lm=23.538710435501&gm_m=0.51&gm_k=0.21275965269059&vautoctr=5025&gm_lm_rl=0.43464232465889"">0.26</a>","","","","23.0","","2.52","Mexico","Yucatán","No","No"
"9","39.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=195&pref=8540&sex=unsexed&loo=39.60000&k=0.15000&id2=181&genusname=Lutjanus&speciesname=synagris&gm_loo=43.95225495316&gm_lm=23.538710435501&gm_m=0.51&gm_k=0.21275965269059&vautoctr=1041&gm_lm_rl=0.43464232465889"">0.15</a>","-1.72","","","27.2","","2.37","Cuba","Southwest Zone","No","No"
"10","40.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=195&pref=8540&sex=unsexed&loo=40.10000&k=0.16000&id2=181&genusname=Lutjanus&speciesname=synagris&gm_loo=43.95225495316&gm_lm=23.538710435501&gm_m=0.51&gm_k=0.21275965269059&vautoctr=1042&gm_lm_rl=0.43464232465889"">0.16</a>","-1.83","","","27.2","","2.41","Cuba","Southwest Zone","No","No"
