"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","29.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=39&pref=56771&sex=male&loo=29.10000&k=0.22000&id2=29&genusname=Merlangius&speciesname=merlangus&gm_loo=44.333274494365&gm_lm=25.528339632157&gm_m=0.34&gm_k=0.29291322204271&vautoctr=8831&gm_lm_rl=0.40999999642372"">0.22</a>","-0.97","M","","","","2.27","Turkey","southern Black Sea","No","No"
"2","31.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=39&pref=312&sex=unsexed&loo=31.10000&k=0.32300&id2=29&genusname=Merlangius&speciesname=merlangus&gm_loo=44.333274494365&gm_lm=25.528339632157&gm_m=0.34&gm_k=0.29291322204271&vautoctr=335&gm_lm_rl=0.40999999642372"">0.32</a>","0.15","","","9.0","","2.49","UK Scotland","Moray Firth & Orkney area, North Sea","No","No"
"3","31.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=39&pref=312&sex=unsexed&loo=31.90000&k=0.92800&id2=29&genusname=Merlangius&speciesname=merlangus&gm_loo=44.333274494365&gm_lm=25.528339632157&gm_m=0.34&gm_k=0.29291322204271&vautoctr=336&gm_lm_rl=0.40999999642372"">0.93</a>","-0.06","","","9.0","","2.98","UK","Central area, North Sea","No","No"
"4","32.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=39&pref=312&sex=male&loo=32.10000&k=0.72900&id2=29&genusname=Merlangius&speciesname=merlangus&gm_loo=44.333274494365&gm_lm=25.528339632157&gm_m=0.34&gm_k=0.29291322204271&vautoctr=332&gm_lm_rl=0.40999999642372"">0.73</a>","-0.08","M","","9.0","","2.88","Sweden","North Sea","No","No"
"5","32.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=39&pref=312&sex=unsexed&loo=32.90000&k=0.27100&id2=29&genusname=Merlangius&speciesname=merlangus&gm_loo=44.333274494365&gm_lm=25.528339632157&gm_m=0.34&gm_k=0.29291322204271&vautoctr=337&gm_lm_rl=0.40999999642372"">0.27</a>","0.03","","","9.0","","2.47","UK Scotland","N + W North Sea","No","No"
"6","32.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=39&pref=312&sex=unsexed&loo=32.90000&k=0.64900&id2=29&genusname=Merlangius&speciesname=merlangus&gm_loo=44.333274494365&gm_lm=25.528339632157&gm_m=0.34&gm_k=0.29291322204271&vautoctr=338&gm_lm_rl=0.40999999642372"">0.65</a>","-0.20","","","9.0","","2.85","UK","Central area, North Sea","No","No"
"7","33.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=39&pref=312&sex=unsexed&loo=33.20000&k=0.63300&id2=29&genusname=Merlangius&speciesname=merlangus&gm_loo=44.333274494365&gm_lm=25.528339632157&gm_m=0.34&gm_k=0.29291322204271&vautoctr=339&gm_lm_rl=0.40999999642372"">0.63</a>","-0.17","","","9.0","","2.84","Germany","SE North Sea YCL 1967","No","No"
"8","33.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=39&pref=312&sex=unsexed&loo=33.80000&k=0.53700&id2=29&genusname=Merlangius&speciesname=merlangus&gm_loo=44.333274494365&gm_lm=25.528339632157&gm_m=0.34&gm_k=0.29291322204271&vautoctr=340&gm_lm_rl=0.40999999642372"">0.54</a>","-0.70","","","9.0","","2.79","UK Scotland","N + W North Sea","No","No"
"9","33.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=39&pref=312&sex=unsexed&loo=33.80000&k=0.55600&id2=29&genusname=Merlangius&speciesname=merlangus&gm_loo=44.333274494365&gm_lm=25.528339632157&gm_m=0.34&gm_k=0.29291322204271&vautoctr=341&gm_lm_rl=0.40999999642372"">0.56</a>","-0.21","","","9.0","","2.80","UK Scotland","North central area, North Sea","No","No"
"10","34.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=39&pref=312&sex=unsexed&loo=34.00000&k=0.65300&id2=29&genusname=Merlangius&speciesname=merlangus&gm_loo=44.333274494365&gm_lm=25.528339632157&gm_m=0.34&gm_k=0.29291322204271&vautoctr=342&gm_lm_rl=0.40999999642372"">0.65</a>","-0.16","","","9.0","","2.88","UK Scotland","North central area, North Sea","No","No"
