"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","83.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=336&pref=51624&sex=male&loo=83.10000&k=0.30900&id2=322&genusname=Merluccius&speciesname=australis&gm_loo=100.27835371172&gm_lm=77.417532812556&gm_m=0.19895286039482&gm_k=0.19749460809879&vautoctr=6125&gm_lm_rl=0.81314205113682"">0.31</a>","0.02","M","0.21","10.0","","3.33","New Zealand","off South I. west coast","No","No"
"2","83.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=336&pref=9072&sex=male&loo=83.70000&k=0.24300&id2=322&genusname=Merluccius&speciesname=australis&gm_loo=100.27835371172&gm_lm=77.417532812556&gm_m=0.19895286039482&gm_k=0.19749460809879&vautoctr=1383&gm_lm_rl=0.81314205113682"">0.24</a>","","M","","11.0","72.5","3.23","New Zealand","","No","No"
"3","85.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=336&pref=51624&sex=male&loo=85.10000&k=0.31300&id2=322&genusname=Merluccius&speciesname=australis&gm_loo=100.27835371172&gm_lm=77.417532812556&gm_m=0.19895286039482&gm_k=0.19749460809879&vautoctr=7531&gm_lm_rl=0.81314205113682"">0.31</a>","0.04","M","","10.0","","3.36","New Zealand","Puysegur Bank (45°30'-47°10'S, 165°-166°40'E)","No","No"
"4","90.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=336&pref=51623&sex=male&loo=90.30000&k=0.27700&id2=322&genusname=Merluccius&speciesname=australis&gm_loo=100.27835371172&gm_lm=77.417532812556&gm_m=0.19895286039482&gm_k=0.19749460809879&vautoctr=7465&gm_lm_rl=0.81314205113682"">0.28</a>","0.11","M","","10.0","","3.35","New Zealand","Chatham Rise","No","No"
"5","90.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=336&pref=51623&sex=male&loo=90.80000&k=0.26300&id2=322&genusname=Merluccius&speciesname=australis&gm_loo=100.27835371172&gm_lm=77.417532812556&gm_m=0.19895286039482&gm_k=0.19749460809879&vautoctr=7463&gm_lm_rl=0.81314205113682"">0.26</a>","-0.06","M","","10.0","","3.34","New Zealand","Sub-Antarctic (Campbell Plateau and Stewart-Snares)","No","No"
"6","99.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=336&pref=51624&sex=female&loo=99.90000&k=0.24200&id2=322&genusname=Merluccius&speciesname=australis&gm_loo=100.27835371172&gm_lm=77.417532812556&gm_m=0.19895286039482&gm_k=0.19749460809879&vautoctr=7530&gm_lm_rl=0.81314205113682"">0.24</a>","-0.03","F","","10.0","","3.38","New Zealand","Puysegur Bank (45°30'-47°10'S, 165°-166°40'E)","No","No"
"7","105.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=336&pref=9072&sex=female&loo=105.00000&k=0.17200&id2=322&genusname=Merluccius&speciesname=australis&gm_loo=100.27835371172&gm_lm=77.417532812556&gm_m=0.19895286039482&gm_k=0.19749460809879&vautoctr=1382&gm_lm_rl=0.81314205113682"">0.17</a>","","F","","11.0","80.0","3.28","New Zealand","","No","No"
"8","110.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=336&pref=7059&sex=male&loo=110.00000&k=0.09580&id2=322&genusname=Merluccius&speciesname=australis&gm_loo=100.27835371172&gm_lm=77.417532812556&gm_m=0.19895286039482&gm_k=0.19749460809879&vautoctr=1381&gm_lm_rl=0.81314205113682"">0.10</a>","-0.85","M","","10.0","","3.06","Chile","","No","No"
"9","111.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=336&pref=51624&sex=female&loo=111.00000&k=0.19400&id2=322&genusname=Merluccius&speciesname=australis&gm_loo=100.27835371172&gm_lm=77.417532812556&gm_m=0.19895286039482&gm_k=0.19749460809879&vautoctr=6124&gm_lm_rl=0.81314205113682"">0.19</a>","-0.16","F","0.25","10.0","80.0","3.38","New Zealand","off South I. west coast","No","No"
"10","113.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=336&pref=51623&sex=female&loo=113.00000&k=0.20200&id2=322&genusname=Merluccius&speciesname=australis&gm_loo=100.27835371172&gm_lm=77.417532812556&gm_m=0.19895286039482&gm_k=0.19749460809879&vautoctr=7466&gm_lm_rl=0.81314205113682"">0.20</a>","-0.20","F","","10.0","","3.41","New Zealand","Chatham Rise","No","No"
"11","115.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=336&pref=51623&sex=female&loo=115.00000&k=0.18800&id2=322&genusname=Merluccius&speciesname=australis&gm_loo=100.27835371172&gm_lm=77.417532812556&gm_m=0.19895286039482&gm_k=0.19749460809879&vautoctr=7464&gm_lm_rl=0.81314205113682"">0.19</a>","-0.13","F","","10.0","","3.40","New Zealand","Sub-Antarctic (Campbell Plateau and Stewart-Snares)","No","No"
"12","128.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=336&pref=7059&sex=female&loo=128.00000&k=0.07000&id2=322&genusname=Merluccius&speciesname=australis&gm_loo=100.27835371172&gm_lm=77.417532812556&gm_m=0.19895286039482&gm_k=0.19749460809879&vautoctr=1380&gm_lm_rl=0.81314205113682"">0.07</a>","-2.21","F","0.15","10.0","","3.06","Chile","","No","No"
