"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","35.7","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=337&pref=32891&sex=unsexed&loo=35.70000&k=0.73700&id2=323&genusname=Merluccius&speciesname=bilinearis&gm_loo=45.446305731297&gm_lm=23.1&gm_m=0.4&gm_k=0.39361522258933&vautoctr=7060&gm_lm_rl=1"">0.74</a>","0.42","","","12.0","","2.97","USA","Southern Georges Bank","No","No"
"2","38.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=337&pref=32891&sex=unsexed&loo=38.50000&k=0.76300&id2=323&genusname=Merluccius&speciesname=bilinearis&gm_loo=45.446305731297&gm_lm=23.1&gm_m=0.4&gm_k=0.39361522258933&vautoctr=7057&gm_lm_rl=1"">0.76</a>","0.49","","","12.0","","3.05","USA","Middle Atlantic-southern New England","No","No"
"3","38.8","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=337&pref=32891&sex=unsexed&loo=38.80000&k=0.62100&id2=323&genusname=Merluccius&speciesname=bilinearis&gm_loo=45.446305731297&gm_lm=23.1&gm_m=0.4&gm_k=0.39361522258933&vautoctr=7063&gm_lm_rl=1"">0.62</a>","0.33","","","12.0","","2.97","USA","Northern Georges Bank","No","No"
"4","39.7","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=337&pref=32891&sex=unsexed&loo=39.70000&k=0.42500&id2=323&genusname=Merluccius&speciesname=bilinearis&gm_loo=45.446305731297&gm_lm=23.1&gm_m=0.4&gm_k=0.39361522258933&vautoctr=7061&gm_lm_rl=1"">0.43</a>","0.18","","","12.0","","2.83","USA","Southern Georges Bank","No","No"
"5","41.3","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=337&pref=32891&sex=unsexed&loo=41.30000&k=0.47200&id2=323&genusname=Merluccius&speciesname=bilinearis&gm_loo=45.446305731297&gm_lm=23.1&gm_m=0.4&gm_k=0.39361522258933&vautoctr=7058&gm_lm_rl=1"">0.47</a>","0.47","","","12.0","","2.91","USA","Middle Atlantic-southern New England","No","No"
"6","42.2","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=337&pref=32891&sex=unsexed&loo=42.20000&k=0.36900&id2=323&genusname=Merluccius&speciesname=bilinearis&gm_loo=45.446305731297&gm_lm=23.1&gm_m=0.4&gm_k=0.39361522258933&vautoctr=7059&gm_lm_rl=1"">0.37</a>","-0.20","","","12.0","","2.82","USA","Southern Georges Bank","No","No"
"7","42.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=337&pref=32891&sex=unsexed&loo=42.50000&k=0.39900&id2=323&genusname=Merluccius&speciesname=bilinearis&gm_loo=45.446305731297&gm_lm=23.1&gm_m=0.4&gm_k=0.39361522258933&vautoctr=7064&gm_lm_rl=1"">0.40</a>","0.16","","","12.0","","2.86","USA","Northern Georges Bank","No","No"
"8","44.3","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=337&pref=32891&sex=unsexed&loo=44.30000&k=0.40100&id2=323&genusname=Merluccius&speciesname=bilinearis&gm_loo=45.446305731297&gm_lm=23.1&gm_m=0.4&gm_k=0.39361522258933&vautoctr=7066&gm_lm_rl=1"">0.40</a>","0.05","","","12.0","","2.90","USA","Gulf of Maine","No","No"
"9","44.9","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=337&pref=32891&sex=unsexed&loo=44.90000&k=0.35400&id2=323&genusname=Merluccius&speciesname=bilinearis&gm_loo=45.446305731297&gm_lm=23.1&gm_m=0.4&gm_k=0.39361522258933&vautoctr=7067&gm_lm_rl=1"">0.35</a>","0.09","","","12.0","","2.85","USA","Gulf of Maine","No","No"
"10","45.1","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=337&pref=32891&sex=unsexed&loo=45.10000&k=0.32300&id2=323&genusname=Merluccius&speciesname=bilinearis&gm_loo=45.446305731297&gm_lm=23.1&gm_m=0.4&gm_k=0.39361522258933&vautoctr=7062&gm_lm_rl=1"">0.32</a>","-0.20","","","12.0","","2.82","USA","Northern Georges Bank","No","No"
