"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","82.6","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=5760&sex=unsexed&loo=82.60000&k=0.19000&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3259&gm_lm_rl=0.29083391021075"">0.19</a>","","","","15.0","","3.11","South Africa","Southeast Atlantic, Div. 1.4 and 1.5","No","No"
"2","88.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=3210&sex=unsexed&loo=88.00000&k=0.14000&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3245&gm_lm_rl=0.29083391021075"">0.14</a>","","","","15.0","","3.04","Namibia","ICSEAF Div. 1.5","No","No"
"3","92.1","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=3210&sex=unsexed&loo=92.10000&k=0.13900&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3246&gm_lm_rl=0.29083391021075"">0.14</a>","","","","15.0","","3.07","Namibia","ICSEAF Div. 1.4","No","No"
"4","100.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=5760&sex=male&loo=100.00000&k=0.14000&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3258&gm_lm_rl=0.29083391021075"">0.14</a>","","M","","18.0","29.5","3.15","South Africa","Agulhas Bank and adjacent slopes","No","No"
"5","100.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=5760&sex=unsexed&loo=100.00000&k=0.14000&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3260&gm_lm_rl=0.29083391021075"">0.14</a>","","","","15.0","","3.15","South Africa","Southeast Atlantic","No","No"
"6","111.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=2085&sex=unsexed&loo=111.00000&k=0.14000&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3243&gm_lm_rl=0.29083391021075"">0.14</a>","-0.10","","","15.0","","3.24","South Africa","Southwest","No","No"
"7","111.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=3210&sex=unsexed&loo=111.00000&k=0.12000&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3247&gm_lm_rl=0.29083391021075"">0.12</a>","","","","15.0","","3.17","Namibia","ICSEAF Div. 1.4","No","No"
"8","112.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=3210&sex=unsexed&loo=112.00000&k=0.12500&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3248&gm_lm_rl=0.29083391021075"">0.13</a>","","","","15.0","","3.20","Namibia","ICSEAF Div. 1.3","No","No"
"9","115.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=5760&sex=female&loo=115.00000&k=0.12000&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3257&gm_lm_rl=0.29083391021075"">0.12</a>","","F","","18.0","46.8","3.20","South Africa","Agulhas Bank and adjacent slopes","No","No"
"10","116.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=2085&sex=unsexed&loo=116.00000&k=0.13000&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3244&gm_lm_rl=0.29083391021075"">0.13</a>","0.44","","","15.0","","3.24","South Africa","","No","No"
"11","116.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=27751&sex=mixed&loo=116.00000&k=0.13000&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=7130&gm_lm_rl=0.29083391021075"">0.13</a>","0.44","","","15.0","","3.24","South Africa","Cape fishing grounds (31°-35°S)","No","No"
"12","117.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=3669&sex=unsexed&loo=117.00000&k=0.13100&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3256&gm_lm_rl=0.29083391021075"">0.13</a>","","","","15.0","","3.25","South Africa","","No","No"
"13","123.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=3210&sex=unsexed&loo=123.00000&k=0.07000&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3249&gm_lm_rl=0.29083391021075"">0.07</a>","","","","15.0","","3.02","Namibia","ICSEAF Div. 1.5","No","No"
"14","126.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=3210&sex=unsexed&loo=126.00000&k=0.10600&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3250&gm_lm_rl=0.29083391021075"">0.11</a>","","","","15.0","","3.23","Namibia","ICSEAF Div. 1.4","No","No"
"15","126.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=5760&sex=unsexed&loo=126.00000&k=0.11000&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3262&gm_lm_rl=0.29083391021075"">0.11</a>","","","","15.0","","3.24","South Africa","Southeast Atlantic, Div. 1.4 and 1.5","No","No"
"16","126.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=5760&sex=unsexed&loo=126.00000&k=0.11020&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3261&gm_lm_rl=0.29083391021075"">0.11</a>","","","","15.0","","3.24","South Africa","Southeast Atlantic, Div. 1.6","No","No"
"17","138.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=3210&sex=unsexed&loo=138.00000&k=0.08800&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3251&gm_lm_rl=0.29083391021075"">0.09</a>","","","","15.0","","3.22","Namibia","ICSEAF Div. 1.5","No","No"
"18","140.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=3210&sex=unsexed&loo=140.00000&k=0.07700&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3252&gm_lm_rl=0.29083391021075"">0.08</a>","","","","15.0","","3.18","Namibia","ICSEAF Div. 1.5","No","No"
"19","141.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=1047&sex=unsexed&loo=141.00000&k=0.09100&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3242&gm_lm_rl=0.29083391021075"">0.09</a>","","","","15.0","","3.26","South Africa","","No","No"
"20","145.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=3214&sex=male&loo=145.00000&k=0.08600&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3255&gm_lm_rl=0.29083391021075"">0.09</a>","-0.45","M","","15.0","29.5","3.26","South Africa","West coast","No","No"
"21","150.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=3210&sex=unsexed&loo=150.00000&k=0.06000&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3253&gm_lm_rl=0.29083391021075"">0.06</a>","","","","15.0","","3.13","Namibia","ICSEAF Div. 1.4","No","No"
"22","173.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=1047&sex=female&loo=173.00000&k=0.06600&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=7137&gm_lm_rl=0.29083391021075"">0.07</a>","0.12","F","","15.0","","3.30","South Africa","Lüderitz (Namibia) and Cape fishing grounds","No","No"
"23","175.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2024&pref=3210&sex=unsexed&loo=175.00000&k=0.06300&id2=1828&genusname=Merluccius&speciesname=capensis&gm_loo=120.56600959154&gm_lm=34.405665418078&gm_m=1&gm_k=0.10706870031406&vautoctr=3254&gm_lm_rl=0.29083391021075"">0.06</a>","","","","15.0","","3.29","Namibia","ICSEAF Div. 1.4","Yes","No"
