"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","35.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=801&pref=9072&sex=male&loo=35.80000&k=0.47000&id2=785&genusname=Mugil&speciesname=cephalus&gm_loo=58.740260944541&gm_lm=31.308742841059&gm_m=0.30212427502417&gm_k=0.24969939056578&vautoctr=2009&gm_lm_rl=0.68507876966977"">0.47</a>","","M","","12.0","","2.78","New Zealand","North Island, northern coast (GMU 1)","No","No"
"2","37.4","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=801&pref=35878&sex=female&loo=37.40000&k=0.82000&id2=785&genusname=Mugil&speciesname=cephalus&gm_loo=58.740260944541&gm_lm=31.308742841059&gm_m=0.30212427502417&gm_k=0.24969939056578&vautoctr=9831&gm_lm_rl=0.68507876966977"">0.82</a>","-1.60","F","","","","3.06","USA","N and NW Florida","No","No"
"3","37.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=801&pref=35878&sex=male&loo=37.90000&k=0.66000&id2=785&genusname=Mugil&speciesname=cephalus&gm_loo=58.740260944541&gm_lm=31.308742841059&gm_m=0.30212427502417&gm_k=0.24969939056578&vautoctr=9832&gm_lm_rl=0.68507876966977"">0.66</a>","-0.04","M","","","","2.98","USA","N and NW Florida","No","No"
"4","40.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=801&pref=312&sex=male&loo=40.00000&k=0.36700&id2=785&genusname=Mugil&speciesname=cephalus&gm_loo=58.740260944541&gm_lm=31.308742841059&gm_m=0.30212427502417&gm_k=0.24969939056578&vautoctr=1995&gm_lm_rl=0.68507876966977"">0.37</a>","-0.48","M","","24.6","","2.77","USA","Texas Coast","No","No"
"5","40.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=801&pref=9072&sex=female&loo=40.10000&k=0.45000&id2=785&genusname=Mugil&speciesname=cephalus&gm_loo=58.740260944541&gm_lm=31.308742841059&gm_m=0.30212427502417&gm_k=0.24969939056578&vautoctr=2008&gm_lm_rl=0.68507876966977"">0.45</a>","","F","","12.0","","2.86","New Zealand","North Island, northern coast (GMU 1)","No","No"
"6","40.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=801&pref=96811&sex=male&loo=40.60000&k=0.40500&id2=785&genusname=Mugil&speciesname=cephalus&gm_loo=58.740260944541&gm_lm=31.308742841059&gm_m=0.30212427502417&gm_k=0.24969939056578&vautoctr=21355&gm_lm_rl=0.68507876966977"">0.41</a>","-0.04","M","","","","2.82","France","Berre Lagoon","No","No"
"7","41.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=801&pref=7253&sex=female&loo=41.80000&k=0.47000&id2=785&genusname=Mugil&speciesname=cephalus&gm_loo=58.740260944541&gm_lm=31.308742841059&gm_m=0.30212427502417&gm_k=0.24969939056578&vautoctr=2006&gm_lm_rl=0.68507876966977"">0.47</a>","","F","","19.0","33.0","2.91","France","Berre, Gulf of Lion","No","No"
"8","41.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=801&pref=7253&sex=male&loo=41.80000&k=0.47000&id2=785&genusname=Mugil&speciesname=cephalus&gm_loo=58.740260944541&gm_lm=31.308742841059&gm_m=0.30212427502417&gm_k=0.24969939056578&vautoctr=2007&gm_lm_rl=0.68507876966977"">0.47</a>","","M","","19.0","31.0","2.91","France","Berre, Gulf of Lion","No","No"
"9","42.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=801&pref=312&sex=female&loo=42.20000&k=0.32700&id2=785&genusname=Mugil&speciesname=cephalus&gm_loo=58.740260944541&gm_lm=31.308742841059&gm_m=0.30212427502417&gm_k=0.24969939056578&vautoctr=1994&gm_lm_rl=0.68507876966977"">0.33</a>","-0.70","F","","24.6","","2.77","USA","Texas Coast","No","No"
"10","45.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=801&pref=35878&sex=unsexed&loo=45.80000&k=0.21000&id2=785&genusname=Mugil&speciesname=cephalus&gm_loo=58.740260944541&gm_lm=31.308742841059&gm_m=0.30212427502417&gm_k=0.24969939056578&vautoctr=9837&gm_lm_rl=0.68507876966977"">0.21</a>","-1.77","","","","","2.64","Mexico","Chaipas","No","No"
