"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","21.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=1314&sex=unsexed&loo=21.50000&k=0.80000&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=4134&gm_lm_rl=1"">0.80</a>","","","","27.0","","2.57","Indonesia","Java Sea (Central Java)","No","No"
"2","21.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=27544&sex=unsexed&loo=21.90000&k=0.83000&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=7080&gm_lm_rl=1"">0.83</a>","","","","","","2.60","India","Kakinada","No","No"
"3","22.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=27544&sex=unsexed&loo=22.20000&k=0.74000&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=7093&gm_lm_rl=1"">0.74</a>","","","","27.0","","2.56","India","Mangalore","No","No"
"4","22.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=27544&sex=unsexed&loo=22.30000&k=0.61000&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=7086&gm_lm_rl=1"">0.61</a>","","","","28.0","","2.48","India","Madras","No","No"
"5","22.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=27544&sex=unsexed&loo=22.50000&k=0.76000&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=7084&gm_lm_rl=1"">0.76</a>","","","","28.0","","2.59","India","Kakinada","No","No"
"6","23.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=27544&sex=unsexed&loo=23.80000&k=0.84000&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=7087&gm_lm_rl=1"">0.84</a>","","","","28.0","","2.68","India","Madras","No","No"
"7","24.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=27544&sex=unsexed&loo=24.00000&k=0.65000&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=7082&gm_lm_rl=1"">0.65</a>","","","","28.0","","2.57","India","Visakhapatnam","No","No"
"8","24.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=27544&sex=unsexed&loo=24.40000&k=0.62000&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=7089&gm_lm_rl=1"">0.62</a>","","","","27.0","","2.57","India","Cochin","No","No"
"9","24.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=27544&sex=unsexed&loo=24.60000&k=0.77000&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=7094&gm_lm_rl=1"">0.77</a>","","","","27.0","","2.67","India","Bombay","No","No"
"10","25.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=27544&sex=unsexed&loo=25.50000&k=0.40500&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=7091&gm_lm_rl=1"">0.41</a>","","","","27.0","","2.42","India","Veraval","No","No"
"11","25.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=27544&sex=unsexed&loo=25.50000&k=0.46500&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=7085&gm_lm_rl=1"">0.47</a>","","","","28.0","","2.48","India","Kakinada","No","No"
"12","26.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=27544&sex=unsexed&loo=26.70000&k=0.72000&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=7083&gm_lm_rl=1"">0.72</a>","","","","28.0","","2.71","India","Visakhapatnam","No","No"
"13","27.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=27544&sex=unsexed&loo=27.30000&k=0.51000&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=7090&gm_lm_rl=1"">0.51</a>","","","","27.0","","2.58","India","Cochin","No","No"
"14","27.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=53987&sex=unsexed&loo=27.40000&k=0.76300&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=8411&gm_lm_rl=1"">0.76</a>","","","","27.0","","2.76","India","Mumbai waters","No","No"
"15","27.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=52110&sex=unsexed&loo=27.50000&k=0.41000&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=7669&gm_lm_rl=1"">0.41</a>","","","","","","2.49","Malaysia","Sarawak","No","No"
"16","29.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=27544&sex=unsexed&loo=29.70000&k=0.65000&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=7092&gm_lm_rl=1"">0.65</a>","","","","27.0","","2.76","India","Veraval","No","No"
"17","30.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4752&pref=55968&sex=mixed&loo=30.00000&k=0.94000&id2=4567&genusname=Nemipterus&speciesname=mesoprion&gm_loo=24.974857400721&gm_lm=1&gm_m=1&gm_k=0.65665901964209&vautoctr=8553&gm_lm_rl=1"">0.94</a>","","","","","","2.93","India","Mumbai coast","No","No"
