"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","28.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4896&pref=79824&sex=Unsexed&loo=28.50000&k=0.91100&id2=4678&genusname=Odontesthes&speciesname=bonariensis&gm_loo=42.250359570735&gm_lm=1&gm_m=1&gm_k=0.52854996577672&vautoctr=9916&gm_lm_rl=1"">0.91</a>","","","","","","2.87","Argentina","Laguna Chascomús (35°36' S, 50°01' W)","No","No"
"2","28.6","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4896&pref=79824&sex=Unsexed&loo=28.60000&k=0.99500&id2=4678&genusname=Odontesthes&speciesname=bonariensis&gm_loo=42.250359570735&gm_lm=1&gm_m=1&gm_k=0.52854996577672&vautoctr=9915&gm_lm_rl=1"">1.00</a>","","","","","","2.91","Argentina","Laguna Chascomús (35°36' S, 50°01' W)","No","No"
"3","30.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4896&pref=79824&sex=unsexed&loo=30.50000&k=0.74600&id2=4678&genusname=Odontesthes&speciesname=bonariensis&gm_loo=42.250359570735&gm_lm=1&gm_m=1&gm_k=0.52854996577672&vautoctr=9939&gm_lm_rl=1"">0.75</a>","","","","","","2.84","Argentina","Laguna de Monte (35°27' S, 58°48' W)","No","No"
"4","30.7","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4896&pref=79824&sex=unsexed&loo=30.70000&k=0.77200&id2=4678&genusname=Odontesthes&speciesname=bonariensis&gm_loo=42.250359570735&gm_lm=1&gm_m=1&gm_k=0.52854996577672&vautoctr=9936&gm_lm_rl=1"">0.77</a>","","","","","","2.86","Argentina","Laguna Carpincho (34°35' S, 60°53' W)","No","No"
"5","30.7","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4896&pref=79824&sex=unsexed&loo=30.70000&k=1.37500&id2=4678&genusname=Odontesthes&speciesname=bonariensis&gm_loo=42.250359570735&gm_lm=1&gm_m=1&gm_k=0.52854996577672&vautoctr=9919&gm_lm_rl=1"">1.38</a>","","","","","","3.11","Argentina","Laguna Chascomús (35°36' S, 50°01' W)","No","No"
"6","31.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4896&pref=79824&sex=unsexed&loo=31.20000&k=0.65800&id2=4678&genusname=Odontesthes&speciesname=bonariensis&gm_loo=42.250359570735&gm_lm=1&gm_m=1&gm_k=0.52854996577672&vautoctr=9937&gm_lm_rl=1"">0.66</a>","","","","","","2.81","Argentina","Laguna Cochicó (36°55' S, 62°18' W)","No","No"
"7","31.6","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4896&pref=79824&sex=Unsexed&loo=31.60000&k=1.07200&id2=4678&genusname=Odontesthes&speciesname=bonariensis&gm_loo=42.250359570735&gm_lm=1&gm_m=1&gm_k=0.52854996577672&vautoctr=9917&gm_lm_rl=1"">1.07</a>","","","","","","3.03","Argentina","Laguna Chascomús (35°36' S, 50°01' W)","No","No"
"8","31.8","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4896&pref=79824&sex=unsexed&loo=31.80000&k=0.33700&id2=4678&genusname=Odontesthes&speciesname=bonariensis&gm_loo=42.250359570735&gm_lm=1&gm_m=1&gm_k=0.52854996577672&vautoctr=9930&gm_lm_rl=1"">0.34</a>","","","","","","2.53","Argentina","Embalse Rio III (31°13' S, 64°28' W)","No","No"
"9","32.4","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4896&pref=79824&sex=Unsexed&loo=32.40000&k=1.45800&id2=4678&genusname=Odontesthes&speciesname=bonariensis&gm_loo=42.250359570735&gm_lm=1&gm_m=1&gm_k=0.52854996577672&vautoctr=9918&gm_lm_rl=1"">1.46</a>","","","","","","3.18","Argentina","Laguna Chascomús (35°36' S, 50°01' W)","No","No"
"10","33.3","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4896&pref=79824&sex=Unsexed&loo=33.30000&k=0.74300&id2=4678&genusname=Odontesthes&speciesname=bonariensis&gm_loo=42.250359570735&gm_lm=1&gm_m=1&gm_k=0.52854996577672&vautoctr=9912&gm_lm_rl=1"">0.74</a>","","","","","","2.92","Argentina","Laguna Chascomús (35°36' S, 50°01' W)","No","No"
