"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","6.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=312&sex=unsexed&loo=6.40000&k=0.95800&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2731&gm_lm_rl=0.74197670312112"">0.96</a>","","","","22.5","","1.59","","aquarium","No","Yes"
"2","8.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=312&sex=unsexed&loo=8.00000&k=1.02000&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2732&gm_lm_rl=0.74197670312112"">1.02</a>","","","","22.5","","1.81","","aquarium","No","Yes"
"3","9.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=312&sex=unsexed&loo=9.00000&k=1.89000&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2733&gm_lm_rl=0.74197670312112"">1.89</a>","","","","22.5","","2.18","","aquarium","No","Yes"
"4","9.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=312&sex=unsexed&loo=9.50000&k=1.02000&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2734&gm_lm_rl=0.74197670312112"">1.02</a>","","","","22.5","","1.96","","aquarium","No","Yes"
"5","10.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=312&sex=unsexed&loo=10.10000&k=3.80000&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2735&gm_lm_rl=0.74197670312112"">3.80</a>","","","","22.5","","2.59","","large aquarium","No","Yes"
"6","10.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=312&sex=unsexed&loo=10.50000&k=2.03000&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2736&gm_lm_rl=0.74197670312112"">2.03</a>","","","","22.5","","2.35","","aquarium","No","Yes"
"7","12.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=312&sex=unsexed&loo=12.20000&k=0.90800&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2737&gm_lm_rl=0.74197670312112"">0.91</a>","","","","22.5","","2.13","","aquarium","No","Yes"
"8","12.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=312&sex=unsexed&loo=12.40000&k=2.87000&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2738&gm_lm_rl=0.74197670312112"">2.87</a>","","","","22.5","","2.64","","aquarium","No","Yes"
"9","12.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=312&sex=unsexed&loo=12.50000&k=2.22000&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2739&gm_lm_rl=0.74197670312112"">2.22</a>","","","","22.5","","2.54","","aquarium","No","Yes"
"10","12.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=312&sex=unsexed&loo=12.80000&k=3.29000&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2740&gm_lm_rl=0.74197670312112"">3.29</a>","","","","22.5","","2.73","","small aquarium","No","Yes"
"11","12.9","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=102&sex=unsexed&loo=12.90000&k=7.95700&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2728&gm_lm_rl=0.74197670312112"">7.96</a>","","","","","","3.12","Tanzania","ponds","No","Yes"
"12","16.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=312&sex=unsexed&loo=16.30000&k=0.79400&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2741&gm_lm_rl=0.74197670312112"">0.79</a>","","","","22.5","","2.32","","aquarium","No","Yes"
"13","25.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=312&sex=unsexed&loo=25.10000&k=0.42700&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2742&gm_lm_rl=0.74197670312112"">0.43</a>","","","","22.5","","2.43","","aquarium","No","Yes"
"14","25.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=115&sex=unsexed&loo=25.20000&k=0.34900&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2729&gm_lm_rl=0.74197670312112"">0.35</a>","","","","","","2.35","Zimbabwe","Luapula Moero","No","No"
"15","26.7","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=115&sex=unsexed&loo=26.70000&k=0.45000&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2730&gm_lm_rl=0.74197670312112"">0.45</a>","","","","25.5","","2.51","Tanzania","Lake Victoria","No","No"
"16","30.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=312&sex=unsexed&loo=30.80000&k=0.25500&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2743&gm_lm_rl=0.74197670312112"">0.26</a>","","","","22.5","","2.38","","aquarium","No","Yes"
"17","32.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=787&sex=unsexed&loo=32.00000&k=0.50000&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2744&gm_lm_rl=0.74197670312112"">0.50</a>","","","1.75","25.0","22.0","2.71","Kenya","Lake Victoria, Kavirondo Gulf","No","No"
"18","32.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=787&sex=unsexed&loo=32.40000&k=0.31000&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2745&gm_lm_rl=0.74197670312112"">0.31</a>","","","","25.0","26.0","2.51","Tanzania","Lake Victoria, Mwanza Area","No","No"
"19","33.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1486&pref=787&sex=unsexed&loo=33.50000&k=0.31000&id2=1431&genusname=Oreochromis&speciesname=esculentus&gm_loo=16.142132762587&gm_lm=24.272360429169&gm_m=1.75&gm_k=0.96186064737395&vautoctr=2746&gm_lm_rl=0.74197670312112"">0.31</a>","","","","25.0","","2.54","Kenya","Lake Victoria, outside Kavirondo Gulf","Yes","No"
