"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","14.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=102&sex=unsexed&loo=14.00000&k=2.60300&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2599&gm_lm_rl=1"">2.60</a>","","","","","","2.71","Zambia","ponds","No","Yes"
"2","14.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=102&sex=unsexed&loo=14.00000&k=3.11300&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2600&gm_lm_rl=1"">3.11</a>","","","","","","2.79","Uganda","ponds","No","Yes"
"3","15.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=102&sex=unsexed&loo=15.10000&k=2.90600&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2601&gm_lm_rl=1"">2.91</a>","","","","","","2.82","Zambia","ponds","No","Yes"
"4","20.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=115&sex=female&loo=20.00000&k=0.54600&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2605&gm_lm_rl=1"">0.55</a>","","F","","","","2.34","Madagascar","Lake Alaotra","No","No"
"5","22.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=102&sex=unsexed&loo=22.00000&k=3.06000&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2602&gm_lm_rl=1"">3.06</a>","","","","","","3.17","Cameroon","ponds","No","Yes"
"6","22.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=115&sex=female&loo=22.50000&k=0.48800&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2606&gm_lm_rl=1"">0.49</a>","","F","","","","2.39","Zambia","Kafue Flats","No","No"
"7","23.4","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=115&sex=unsexed&loo=23.40000&k=0.37400&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2609&gm_lm_rl=1"">0.37</a>","","","","","","2.31","Zambia","Kafue River","No","No"
"8","23.8","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=115&sex=male&loo=23.80000&k=0.43300&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2607&gm_lm_rl=1"">0.43</a>","","M","","","","2.39","Madagascar","Lake Alaotra","No","No"
"9","24.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=115&sex=unsexed&loo=24.20000&k=0.42500&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2610&gm_lm_rl=1"">0.43</a>","","","","","","2.40","Madagascar","Lake Itasy","No","No"
"10","25.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=115&sex=male&loo=25.10000&k=0.45000&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2608&gm_lm_rl=1"">0.45</a>","","M","","","","2.45","Zambia","Kafue Flats","No","No"
"11","31.5","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=115&sex=unsexed&loo=31.50000&k=0.31200&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2611&gm_lm_rl=1"">0.31</a>","","","","","","2.49","Zambia","Barotse Flats","No","No"
"12","31.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=26136&sex=unsexed&loo=31.60000&k=1.00000&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2614&gm_lm_rl=1"">1.00</a>","","","","23.5","","3.00","Zambia","Bangweulu swamps","No","No"
"13","34.3","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=115&sex=unsexed&loo=34.30000&k=0.26600&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2612&gm_lm_rl=1"">0.27</a>","","","","","","2.50","Namibia","Lake Liambezi","No","No"
"14","39.3","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=102&sex=unsexed&loo=39.30000&k=0.23500&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2603&gm_lm_rl=1"">0.24</a>","","","","","","2.56","Zambia","ponds","No","Yes"
"15","40.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=52846&sex=unsexed&loo=40.00000&k=1.00000&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=8156&gm_lm_rl=1"">1.00</a>","","","","","","3.20","Botswana","Okavango Delta","No","No"
"16","44.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=6378&sex=unsexed&loo=44.60000&k=0.10100&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2613&gm_lm_rl=1"">0.10</a>","","","","","","2.30","Zambia","Lake Bangweulu","Yes","No"
"17","46.3","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1414&pref=102&sex=unsexed&loo=46.30000&k=0.27400&id2=1396&genusname=Oreochromis&speciesname=macrochir&gm_loo=25.951669969535&gm_lm=1&gm_m=1&gm_k=0.6230103765457&vautoctr=2604&gm_lm_rl=1"">0.27</a>","","","","","","2.77","Zambia","ponds","No","Yes"
