"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","25.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=27030&sex=mixed&loo=25.10000&k=0.18600&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=2073&gm_lm_rl=1"">0.19</a>","-2.72","","","14.0","","2.07","Greece","North Aegean Sea","No","No"
"2","45.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=5825&sex=unsexed&loo=45.90000&k=0.20900&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=2070&gm_lm_rl=1"">0.21</a>","-0.53","","","9.0","","2.64","UK","ICES subareas VI, VII and VIII","No","No"
"3","48.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=312&sex=male&loo=48.10000&k=0.16200&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=2068&gm_lm_rl=1"">0.16</a>","-0.76","M","","11.0","","2.57","France","Bay of Biscay","No","No"
"4","49.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=58285&sex=male&loo=49.20000&k=0.10600&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=9213&gm_lm_rl=1"">0.11</a>","-1.81","M","","","","2.41","Greece","Ionian Sea","No","No"
"5","49.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=58285&sex=female&loo=49.50000&k=0.10000&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=9212&gm_lm_rl=1"">0.10</a>","-2.29","F","","","","2.39","Greece","Ionian Sea","No","No"
"6","49.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=312&sex=female&loo=49.90000&k=0.14600&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=2067&gm_lm_rl=1"">0.15</a>","-0.93","F","","11.0","","2.56","France","Bay of Biscay","No","No"
"7","51.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=97157&sex=mixed&loo=51.60000&k=0.20900&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=21371&gm_lm_rl=1"">0.21</a>","-0.53","","","","","2.75","Spain","Cantabrian Sea","No","No"
"8","53.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=5825&sex=unsexed&loo=53.90000&k=0.12800&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=2071&gm_lm_rl=1"">0.13</a>","-1.02","","","14.5","","2.57","Spain","Northern coast","No","No"
"9","53.9","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=93100&sex=unsexed&loo=53.90000&k=0.13000&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=11090&gm_lm_rl=1"">0.13</a>","-1.02","","","","","2.58","Morocco","Southern Alboran Sea (GSA 3)","No","No"
"10","54.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=97157&sex=mixed&loo=54.90000&k=0.12700&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=21372&gm_lm_rl=1"">0.13</a>","-1.83","","","","","2.58","Azores Is.","Azores Islands","No","No"
"11","56.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=97157&sex=mixed&loo=56.80000&k=0.09200&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=21373&gm_lm_rl=1"">0.09</a>","-2.92","","","","","2.47","Spain","Cantabrian Sea","No","No"
"12","57.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=5825&sex=unsexed&loo=57.40000&k=0.10200&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=2072&gm_lm_rl=1"">0.10</a>","-1.13","","","16.0","","2.53","Azores Is.","","No","No"
"13","58.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=97157&sex=mixed&loo=58.00000&k=0.16900&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=21374&gm_lm_rl=1"">0.17</a>","-0.67","","","","","2.75","Spain","Strait of Gibraltar","No","No"
"14","58.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=97157&sex=mixed&loo=58.90000&k=0.11800&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=21375&gm_lm_rl=1"">0.12</a>","-0.91","","","","","2.61","Azores Is.","Azores Islands","No","No"
"15","61.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=312&sex=unsexed&loo=61.20000&k=0.09100&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=2069&gm_lm_rl=1"">0.09</a>","","","","14.0","","2.53","France","Mediterranean Coast","No","No"
"16","61.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=906&pref=97157&sex=mixed&loo=61.20000&k=0.12100&id2=890&genusname=Pagellus&speciesname=bogaraveo&gm_loo=51.315730630447&gm_lm=1&gm_m=1&gm_k=0.13235641200479&vautoctr=21376&gm_lm_rl=1"">0.12</a>","-0.34","","","","","2.66","Azores Is.","Azores Islands","No","No"
