"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","25.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=478&pref=27207&sex=unsexed&loo=25.00000&k=0.66000&id2=464&genusname=Parapercis&speciesname=colias&gm_loo=36.355392109322&gm_lm=14.5&gm_m=1&gm_k=0.25488523206204&vautoctr=1723&gm_lm_rl=0.5799999833107"">0.66</a>","0.07","","","12.0","14.5","2.62","New Zealand","North-eastern waters","No","No"
"2","32.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=478&pref=96397&sex=female&loo=32.20000&k=0.30000&id2=464&genusname=Parapercis&speciesname=colias&gm_loo=36.355392109322&gm_lm=14.5&gm_m=1&gm_k=0.25488523206204&vautoctr=21043&gm_lm_rl=0.5799999833107"">0.30</a>","-0.70","F","","","","2.49","New Zealand","Queen Charlotte Sound","No","No"
"3","33.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=478&pref=96397&sex=female&loo=33.20000&k=0.20000&id2=464&genusname=Parapercis&speciesname=colias&gm_loo=36.355392109322&gm_lm=14.5&gm_m=1&gm_k=0.25488523206204&vautoctr=21044&gm_lm_rl=0.5799999833107"">0.20</a>","-2.00","F","","","","2.34","New Zealand","Pelorus Sound","No","No"
"4","33.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=478&pref=96397&sex=male&loo=33.70000&k=0.41000&id2=464&genusname=Parapercis&speciesname=colias&gm_loo=36.355392109322&gm_lm=14.5&gm_m=1&gm_k=0.25488523206204&vautoctr=21045&gm_lm_rl=0.5799999833107"">0.41</a>","1.07","M","","","","2.67","New Zealand","Outer Queen Charlotte Sound","No","No"
"5","34.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=478&pref=96397&sex=female&loo=34.50000&k=0.40000&id2=464&genusname=Parapercis&speciesname=colias&gm_loo=36.355392109322&gm_lm=14.5&gm_m=1&gm_k=0.25488523206204&vautoctr=21046&gm_lm_rl=0.5799999833107"">0.40</a>","1.20","F","","","","2.68","New Zealand","Southland (Sub area 025)","No","No"
"6","36.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=478&pref=96397&sex=male&loo=36.80000&k=0.27000&id2=464&genusname=Parapercis&speciesname=colias&gm_loo=36.355392109322&gm_lm=14.5&gm_m=1&gm_k=0.25488523206204&vautoctr=21047&gm_lm_rl=0.5799999833107"">0.27</a>","-0.30","M","","","","2.56","New Zealand","Outer Pelorus Sound","No","No"
"7","40.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=478&pref=96397&sex=male&loo=40.80000&k=0.22000&id2=464&genusname=Parapercis&speciesname=colias&gm_loo=36.355392109322&gm_lm=14.5&gm_m=1&gm_k=0.25488523206204&vautoctr=21048&gm_lm_rl=0.5799999833107"">0.22</a>","-0.30","M","","","","2.56","New Zealand","Outer Pelorus Sound","No","No"
"8","41.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=478&pref=96397&sex=male&loo=41.40000&k=0.10000&id2=464&genusname=Parapercis&speciesname=colias&gm_loo=36.355392109322&gm_lm=14.5&gm_m=1&gm_k=0.25488523206204&vautoctr=21049&gm_lm_rl=0.5799999833107"">0.10</a>","-5.20","M","","","","2.23","New Zealand","Inner Queen Charlotte Sound","No","No"
"9","41.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=478&pref=96397&sex=male&loo=41.60000&k=0.30000&id2=464&genusname=Parapercis&speciesname=colias&gm_loo=36.355392109322&gm_lm=14.5&gm_m=1&gm_k=0.25488523206204&vautoctr=21050&gm_lm_rl=0.5799999833107"">0.30</a>","1.20","M","","","","2.72","New Zealand","Southland (Sub area 025)","No","No"
"10","50.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=478&pref=96397&sex=male&loo=50.20000&k=0.10000&id2=464&genusname=Parapercis&speciesname=colias&gm_loo=36.355392109322&gm_lm=14.5&gm_m=1&gm_k=0.25488523206204&vautoctr=21051&gm_lm_rl=0.5799999833107"">0.10</a>","-1.90","M","","","","2.40","New Zealand","Extreme outer Queen Charlotte Sound","No","No"
