"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","1.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=312&sex=male&loo=1.50000&k=9.12000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3655&gm_lm_rl=1"">9.12</a>","","M","","25.0","","1.31","","Aquarium","No","Yes"
"2","2.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=312&sex=male&loo=2.20000&k=5.46000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3656&gm_lm_rl=1"">5.46</a>","-0.08","M","","","","1.42","","Laboratory","No","Yes"
"3","2.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=312&sex=male&loo=2.30000&k=6.87000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3657&gm_lm_rl=1"">6.87</a>","-0.07","M","","","","1.56","","Laboratory","No","Yes"
"4","2.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=312&sex=male&loo=2.40000&k=6.90000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3658&gm_lm_rl=1"">6.90</a>","-0.07","M","","","","1.60","","Laboratory","No","Yes"
"5","2.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=312&sex=male&loo=2.60000&k=6.74000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3659&gm_lm_rl=1"">6.74</a>","-0.06","M","","","","1.66","","Laboratory","No","Yes"
"6","2.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=720&sex=male&loo=2.70000&k=12.30000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3663&gm_lm_rl=1"">12.30</a>","","M","","","","1.95","","Laboratory","No","Yes"
"7","3.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=312&sex=unsexed&loo=3.00000&k=5.11000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3661&gm_lm_rl=1"">5.11</a>","-0.06","","","","","1.66","","Laboratory","No","Yes"
"8","3.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=312&sex=female&loo=3.50000&k=3.23000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3648&gm_lm_rl=1"">3.23</a>","","F","","25.0","","1.60","","Aquarium","No","Yes"
"9","4.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=312&sex=female&loo=4.20000&k=2.30000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3649&gm_lm_rl=1"">2.30</a>","-0.10","F","","","","1.61","","Laboratory","No","Yes"
"10","4.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=312&sex=female&loo=4.40000&k=1.98000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3650&gm_lm_rl=1"">1.98</a>","-0.12","F","","","","1.58","","Laboratory","No","Yes"
"11","4.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=720&sex=female&loo=4.40000&k=4.44000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3662&gm_lm_rl=1"">4.44</a>","","F","","","","1.93","","Laboratory","No","Yes"
"12","4.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=312&sex=female&loo=4.90000&k=1.77000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3651&gm_lm_rl=1"">1.77</a>","-0.10","F","","","","1.63","","Laboratory","No","Yes"
"13","5.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=312&sex=female&loo=5.00000&k=1.56000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3652&gm_lm_rl=1"">1.56</a>","-0.13","F","","","","1.59","","Laboratory","No","Yes"
"14","5.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=312&sex=female&loo=5.00000&k=1.74000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3653&gm_lm_rl=1"">1.74</a>","-0.12","F","","","","1.64","","Laboratory","No","Yes"
"15","5.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=312&sex=female&loo=5.00000&k=2.12000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3654&gm_lm_rl=1"">2.12</a>","-0.11","F","","","","1.72","","Laboratory","No","Yes"
"16","6.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3424&pref=312&sex=male&loo=6.10000&k=1.10000&id2=3228&genusname=Poecilia&speciesname=reticulata&gm_loo=3.4527141531063&gm_lm=1&gm_m=1&gm_k=3.5811361875317&vautoctr=3660&gm_lm_rl=1"">1.10</a>","-0.14","M","","","","1.61","","Laboratory","No","Yes"
