"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","23.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=1314&sex=unsexed&loo=23.00000&k=1.15000&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=1446&gm_lm_rl=1"">1.15</a>","","","","28.0","","2.78","Indonesia","Java Sea (Central Java), 1978/1979","No","No"
"2","23.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=1314&sex=unsexed&loo=23.80000&k=1.30000&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=1447&gm_lm_rl=1"">1.30</a>","","","","28.0","","2.87","Indonesia","Java Sea (Central Java)","No","No"
"3","25.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=1449&sex=unsexed&loo=25.00000&k=1.12000&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=1448&gm_lm_rl=1"">1.12</a>","","","","28.7","","2.85","Philippines","Carigara Bay","No","No"
"4","25.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=46792&sex=unsexed&loo=25.40000&k=0.64000&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=7020&gm_lm_rl=1"">0.64</a>","","","","27.0","","2.62","","Nansha Is.(4°-9°N, 105°45'-112°15'E, 50-150 m)","No","No"
"5","28.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=1449&sex=unsexed&loo=28.50000&k=0.84000&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=1449&gm_lm_rl=1"">0.84</a>","","","","28.7","","2.83","Philippines","Samar Sea","No","No"
"6","29.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=1449&sex=unsexed&loo=29.00000&k=1.00000&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=1450&gm_lm_rl=1"">1.00</a>","","","","28.7","","2.92","Philippines","Ragay Gulf","No","No"
"7","29.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=52132&sex=unsexed&loo=29.00000&k=0.95000&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=7717&gm_lm_rl=1"">0.95</a>","","","2.08","28.0","","2.90","Brunei Darsm","","No","No"
"8","31.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=5381&sex=unsexed&loo=31.80000&k=0.79000&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=1454&gm_lm_rl=1"">0.79</a>","","","","28.7","","2.90","Philippines","Visayas","No","No"
"9","32.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=4539&sex=unsexed&loo=32.00000&k=0.70000&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=1451&gm_lm_rl=1"">0.70</a>","1.00","","","23.0","","2.86","","South China Sea","No","No"
"10","37.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=52110&sex=unsexed&loo=37.00000&k=1.30000&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=7740&gm_lm_rl=1"">1.30</a>","","","","27.9","","3.25","Malaysia","Peninsular west coast","No","No"
"11","39.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=52110&sex=unsexed&loo=39.00000&k=0.56000&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=7759&gm_lm_rl=1"">0.56</a>","","","","29.0","","2.93","Malaysia","Peninsular east coast","No","No"
"12","42.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=52110&sex=unsexed&loo=42.00000&k=0.71000&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=7676&gm_lm_rl=1"">0.71</a>","","","","","","3.10","Malaysia","Sarawak","No","No"
"13","42.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=32249&sex=unsexed&loo=42.40000&k=0.13900&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=4984&gm_lm_rl=1"">0.14</a>","","","","18.0","","2.40","Taiwan","121°30'-122° E, 24°30'-25°N (100 m depth)","No","No"
"14","45.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=32249&sex=unsexed&loo=45.40000&k=0.11900&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=4987&gm_lm_rl=1"">0.12</a>","","","","18.0","","2.39","Taiwan","121°30'-122° E, 24°30'-25°N (100 m depth)","No","No"
"15","46.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=32249&sex=unsexed&loo=46.50000&k=0.11900&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=4986&gm_lm_rl=1"">0.12</a>","","","","18.0","","2.41","Taiwan","121°30'-122° E, 24°30'-25°N (100 m depth)","No","No"
"16","46.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=32249&sex=unsexed&loo=46.80000&k=0.11800&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=4988&gm_lm_rl=1"">0.12</a>","","","","18.0","","2.41","Taiwan","121°30'-122° E, 24°30'-25°N (100 m depth)","No","No"
"17","48.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=370&pref=4885&sex=male&loo=48.20000&k=0.11300&id2=356&genusname=Priacanthus&speciesname=macracanthus&gm_loo=35.06788056292&gm_lm=1&gm_m=2.08&gm_k=0.4496480458529&vautoctr=1453&gm_lm_rl=1"">0.11</a>","-0.75","M","","23.0","","2.42","Taiwan","Guei-Shan Island","No","No"
