"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","32.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=540&pref=312&sex=male&loo=32.60000&k=0.42800&id2=524&genusname=Pseudopleuronectes&speciesname=americanus&gm_loo=46.551162382975&gm_lm=28.029077432091&gm_m=0.3&gm_k=0.3353215750451&vautoctr=1829&gm_lm_rl=0.56250150510829"">0.43</a>","","M","","10.5","","2.66","USA","Charlestown `Pond', Rhode Island","No","Yes"
"2","35.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=540&pref=1836&sex=unsexed&loo=35.70000&k=0.28500&id2=524&genusname=Pseudopleuronectes&speciesname=americanus&gm_loo=46.551162382975&gm_lm=28.029077432091&gm_m=0.3&gm_k=0.3353215750451&vautoctr=1837&gm_lm_rl=0.56250150510829"">0.29</a>","","","","9.7","","2.56","USA","Great South Bay, New York","No","No"
"3","39.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=540&pref=312&sex=unsexed&loo=39.50000&k=0.25900&id2=524&genusname=Pseudopleuronectes&speciesname=americanus&gm_loo=46.551162382975&gm_lm=28.029077432091&gm_m=0.3&gm_k=0.3353215750451&vautoctr=1831&gm_lm_rl=0.56250150510829"">0.26</a>","","","","6.3","","2.61","Canada","Northumberland Strait","No","No"
"4","39.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=540&pref=312&sex=female&loo=39.80000&k=0.38400&id2=524&genusname=Pseudopleuronectes&speciesname=americanus&gm_loo=46.551162382975&gm_lm=28.029077432091&gm_m=0.3&gm_k=0.3353215750451&vautoctr=1827&gm_lm_rl=0.56250150510829"">0.38</a>","","F","","10.5","","2.78","USA","Charlestown `Pond', Rhode Island","No","Yes"
"5","41.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=540&pref=312&sex=unsexed&loo=41.60000&k=0.19500&id2=524&genusname=Pseudopleuronectes&speciesname=americanus&gm_loo=46.551162382975&gm_lm=28.029077432091&gm_m=0.3&gm_k=0.3353215750451&vautoctr=1832&gm_lm_rl=0.56250150510829"">0.20</a>","","","","6.7","","2.53","USA","Passamaquoddy Bay (USA/Canada)","No","No"
"6","43.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=540&pref=312&sex=male&loo=43.60000&k=0.19900&id2=524&genusname=Pseudopleuronectes&speciesname=americanus&gm_loo=46.551162382975&gm_lm=28.029077432091&gm_m=0.3&gm_k=0.3353215750451&vautoctr=1830&gm_lm_rl=0.56250150510829"">0.20</a>","","M","","10.5","","2.58","USA","Narraganset Bay, Rhode Island","No","No"
"7","43.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=540&pref=312&sex=unsexed&loo=43.60000&k=0.32300&id2=524&genusname=Pseudopleuronectes&speciesname=americanus&gm_loo=46.551162382975&gm_lm=28.029077432091&gm_m=0.3&gm_k=0.3353215750451&vautoctr=1833&gm_lm_rl=0.56250150510829"">0.32</a>","","","","15.5","","2.79","USA","Anapolis Bay","No","No"
"8","44.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=540&pref=796&sex=unsexed&loo=44.00000&k=0.40000&id2=524&genusname=Pseudopleuronectes&speciesname=americanus&gm_loo=46.551162382975&gm_lm=28.029077432091&gm_m=0.3&gm_k=0.3353215750451&vautoctr=1836&gm_lm_rl=0.56250150510829"">0.40</a>","","","0.30","5.0","32.0","2.89","Canada","East coast","No","No"
"9","45.3","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=540&pref=5760&sex=female&loo=45.30000&k=0.18000&id2=524&genusname=Pseudopleuronectes&speciesname=americanus&gm_loo=46.551162382975&gm_lm=28.029077432091&gm_m=0.3&gm_k=0.3353215750451&vautoctr=1843&gm_lm_rl=0.56250150510829"">0.18</a>","","F","","15.0","","2.57","USA","Long Island, New York","No","No"
"10","45.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=540&pref=312&sex=female&loo=45.50000&k=0.28300&id2=524&genusname=Pseudopleuronectes&speciesname=americanus&gm_loo=46.551162382975&gm_lm=28.029077432091&gm_m=0.3&gm_k=0.3353215750451&vautoctr=1828&gm_lm_rl=0.56250150510829"">0.28</a>","","F","","10.5","","2.77","USA","Narraganset Bay, Rhode Island","No","No"
"11","45.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=540&pref=4431&sex=female&loo=45.50000&k=0.69000&id2=524&genusname=Pseudopleuronectes&speciesname=americanus&gm_loo=46.551162382975&gm_lm=28.029077432091&gm_m=0.3&gm_k=0.3353215750451&vautoctr=1838&gm_lm_rl=0.56250150510829"">0.69</a>","","F","","15.0","29.7","3.15","USA","North of Cape Cod, Massachusetts","No","No"
"12","47.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=540&pref=4431&sex=male&loo=47.70000&k=0.78000&id2=524&genusname=Pseudopleuronectes&speciesname=americanus&gm_loo=46.551162382975&gm_lm=28.029077432091&gm_m=0.3&gm_k=0.3353215750451&vautoctr=1841&gm_lm_rl=0.56250150510829"">0.78</a>","","M","","15.0","29.0","3.25","USA","East & South of Cape Cod, Massachusetts","No","No"
"13","48.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=540&pref=4431&sex=female&loo=48.70000&k=0.71000&id2=524&genusname=Pseudopleuronectes&speciesname=americanus&gm_loo=46.551162382975&gm_lm=28.029077432091&gm_m=0.3&gm_k=0.3353215750451&vautoctr=1839&gm_lm_rl=0.56250150510829"">0.71</a>","","F","","15.0","27.6","3.23","USA","East & South of Cape Cod, Massachusetts","No","No"
"14","49.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=540&pref=52191&sex=female&loo=49.00000&k=0.27000&id2=524&genusname=Pseudopleuronectes&speciesname=americanus&gm_loo=46.551162382975&gm_lm=28.029077432091&gm_m=0.3&gm_k=0.3353215750451&vautoctr=7986&gm_lm_rl=0.56250150510829"">0.27</a>","0.07","F","","","","2.81","USA","Massachusetts","No","No"
"15","50.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=540&pref=312&sex=unsexed&loo=50.60000&k=0.17500&id2=524&genusname=Pseudopleuronectes&speciesname=americanus&gm_loo=46.551162382975&gm_lm=28.029077432091&gm_m=0.3&gm_k=0.3353215750451&vautoctr=1834&gm_lm_rl=0.56250150510829"">0.18</a>","","","","6.1","","2.65","USA","Peronic & Gardiners Bay, Long Island","No","No"
