"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","105.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3738&pref=46267&sex=male&loo=105.00000&k=0.37000&id2=3542&genusname=Rachycentron&speciesname=canadum&gm_loo=129.27264770097&gm_lm=1&gm_m=0.29&gm_k=0.29649659511494&vautoctr=6950&gm_lm_rl=1"">0.37</a>","-1.08","M","","23.0","","3.61","USA","North Carolina","No","No"
"2","105.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3738&pref=46267&sex=male&loo=105.00000&k=0.53600&id2=3542&genusname=Rachycentron&speciesname=canadum&gm_loo=129.27264770097&gm_lm=1&gm_m=0.29&gm_k=0.29649659511494&vautoctr=6952&gm_lm_rl=1"">0.54</a>","-1.09","M","","23.0","","3.77","USA","Carolinas","Yes","No"
"3","113.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3738&pref=46267&sex=male&loo=113.00000&k=0.49000&id2=3542&genusname=Rachycentron&speciesname=canadum&gm_loo=129.27264770097&gm_lm=1&gm_m=0.29&gm_k=0.29649659511494&vautoctr=6963&gm_lm_rl=1"">0.49</a>","-0.49","M","","26.0","","3.80","USA","Western Louisiana","No","No"
"4","113.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3738&pref=46267&sex=male&loo=113.00000&k=0.55000&id2=3542&genusname=Rachycentron&speciesname=canadum&gm_loo=129.27264770097&gm_lm=1&gm_m=0.29&gm_k=0.29649659511494&vautoctr=6959&gm_lm_rl=1"">0.55</a>","-0.76","M","","26.0","","3.85","USA","Northeastern Gulf of Mexico","No","No"
"5","114.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3738&pref=46267&sex=male&loo=114.00000&k=0.19500&id2=3542&genusname=Rachycentron&speciesname=canadum&gm_loo=129.27264770097&gm_lm=1&gm_m=0.29&gm_k=0.29649659511494&vautoctr=6954&gm_lm_rl=1"">0.20</a>","-5.68","M","","23.0","","3.40","USA","Florida, Atlantic coast","No","No"
"6","116.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3738&pref=97106&sex=mixed&loo=116.00000&k=0.63000&id2=3542&genusname=Rachycentron&speciesname=canadum&gm_loo=129.27264770097&gm_lm=1&gm_m=0.29&gm_k=0.29649659511494&vautoctr=21408&gm_lm_rl=1"">0.63</a>","-0.21","","","","","3.93","Australia","northern and eastern coasts","No","No"
"7","117.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3738&pref=46267&sex=male&loo=117.00000&k=0.23000&id2=3542&genusname=Rachycentron&speciesname=canadum&gm_loo=129.27264770097&gm_lm=1&gm_m=0.29&gm_k=0.29649659511494&vautoctr=6955&gm_lm_rl=1"">0.23</a>","-3.85","M","","23.0","","3.50","USA","Florida Keys","No","No"
"8","117.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3738&pref=46267&sex=male&loo=117.00000&k=0.43200&id2=3542&genusname=Rachycentron&speciesname=canadum&gm_loo=129.27264770097&gm_lm=1&gm_m=0.29&gm_k=0.29649659511494&vautoctr=6961&gm_lm_rl=1"">0.43</a>","-1.15","M","","26.0","","3.77","USA","Northeastern Gulf of Mexico","No","No"
"9","117.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3738&pref=52687&sex=male&loo=117.00000&k=0.43200&id2=3542&genusname=Rachycentron&speciesname=canadum&gm_loo=129.27264770097&gm_lm=1&gm_m=0.29&gm_k=0.29649659511494&vautoctr=8118&gm_lm_rl=1"">0.43</a>","-1.15","M","","26.0","","3.77","USA","northeastern Gulf of Mexico","No","No"
"10","121.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=3738&pref=12459&sex=male&loo=121.00000&k=0.28000&id2=3542&genusname=Rachycentron&speciesname=canadum&gm_loo=129.27264770097&gm_lm=1&gm_m=0.29&gm_k=0.29649659511494&vautoctr=3725&gm_lm_rl=1"">0.28</a>","-0.06","M","","12.0","","3.61","USA","Chesapeake Bay Area","No","No"
