"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","19.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=2939&sex=unsexed&loo=19.70000&k=0.42000&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=1189&gm_lm_rl=0.75"">0.42</a>","","","","","","2.21","UK Engld Wal","Rhydwen River","Yes","No"
"2","21.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=44580&sex=unsexed&loo=21.60000&k=0.31000&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=10842&gm_lm_rl=0.75"">0.31</a>","","","","","","2.16","UK Engld Wal","Afon Cwm River, Llanbrynmair, mid-Wales","Yes","No"
"3","22.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=1962&sex=unsexed&loo=22.20000&k=0.41100&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=1188&gm_lm_rl=0.75"">0.41</a>","","","","10.0","","2.31","UK Scotland","river","Yes","No"
"4","24.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=36156&sex=unsexed&loo=24.40000&k=0.49600&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=5389&gm_lm_rl=0.75"">0.50</a>","0.00","","","","","2.47","Italy","Torrente Stianta (Tiber river basin)","Yes","No"
"5","25.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=2939&sex=unsexed&loo=25.40000&k=0.29000&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=1190&gm_lm_rl=0.75"">0.29</a>","","","","","","2.27","Norway","Brandstrup Brook","Yes","No"
"6","26.7","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2278&pref=58482&sex=mixed&loo=26.70000&k=0.21800&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=9288&gm_lm_rl=0.75"">0.22</a>","-0.42","","","","","2.19","Greece","Aspropotamos stream","Yes","No"
"7","27.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=2939&sex=unsexed&loo=27.90000&k=0.26000&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=1191&gm_lm_rl=0.75"">0.26</a>","","","","","","2.31","Norway","Brandstrup Brook","Yes","No"
"8","29.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=91541&sex=male&loo=29.50000&k=0.14300&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=10867&gm_lm_rl=0.75"">0.14</a>","-0.56","M","","","","2.09","Turkey","Aksu Stream, Çoruh River (alt: 2800-2900 m)","Yes","No"
"9","29.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=36156&sex=unsexed&loo=29.70000&k=0.53600&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=5385&gm_lm_rl=0.75"">0.54</a>","0.00","","","","","2.67","Italy","Tiber River","Yes","No"
"10","30.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=796&sex=unsexed&loo=30.00000&k=0.36000&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=1183&gm_lm_rl=0.75"">0.36</a>","","","0.94","9.0","24.0","2.51","UK Engld Wal","Lake Windermere","No","No"
"11","30.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=2939&sex=unsexed&loo=30.50000&k=0.21000&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=1192&gm_lm_rl=0.75"">0.21</a>","","","","","","2.29","Norway","Brandstrup Brook","No","No"
"12","30.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=36156&sex=unsexed&loo=30.90000&k=0.44800&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=5391&gm_lm_rl=0.75"">0.45</a>","","","","","","2.63","Italy","Tignana River (Tiber river basin)","No","No"
"13","31.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=2939&sex=unsexed&loo=31.80000&k=0.47000&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=1193&gm_lm_rl=0.75"">0.47</a>","","","","","","2.68","UK Engld Wal","Teify River","No","No"
"14","32.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=91548&sex=male&loo=32.30000&k=0.16900&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=10828&gm_lm_rl=0.75"">0.17</a>","-0.98","M","","9.3","","2.25","Turkey","Kan stream, upper Çoruh River","No","No"
"15","33.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=36156&sex=unsexed&loo=33.00000&k=0.38900&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=5388&gm_lm_rl=0.75"">0.39</a>","0.15","","","","","2.63","Italy","Singerna River (Tiber River basin)","No","No"
"16","33.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=2939&sex=unsexed&loo=33.30000&k=0.18000&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=1194&gm_lm_rl=0.75"">0.18</a>","","","","","","2.30","Norway","Brandstrup Brook","No","No"
"17","33.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=91541&sex=female&loo=33.30000&k=0.10700&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=10866&gm_lm_rl=0.75"">0.11</a>","-1.05","F","","","","2.07","Turkey","Aksu Stream, Çoruh River (alt: 2800-2900 m)","No","No"
"18","34.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=91210&sex=unsexed&loo=34.30000&k=0.29000&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=10838&gm_lm_rl=0.75"">0.29</a>","0.04","","","","","2.53","Portugal","Vade, Lima river system","No","No"
"19","34.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=312&sex=unsexed&loo=34.70000&k=0.27500&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=1172&gm_lm_rl=0.75"">0.28</a>","","","","12.0","","2.52","UK Scotland","Douglas Waters","No","No"
"20","35.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=2939&sex=unsexed&loo=35.60000&k=0.35000&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=1195&gm_lm_rl=0.75"">0.35</a>","","","","","","2.65","France","Vèbre River","No","No"
"21","36.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=2939&sex=unsexed&loo=36.40000&k=0.34000&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=1196&gm_lm_rl=0.75"">0.34</a>","","","","","","2.65","UK Engld Wal","Ithon River","No","No"
"22","36.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=91548&sex=female&loo=36.70000&k=0.13900&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=10829&gm_lm_rl=0.75"">0.14</a>","-1.07","F","","9.3","","2.27","Turkey","Kan stream, upper Çoruh River","No","No"
"23","36.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=1139&sex=unsexed&loo=36.80000&k=0.27300&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=1187&gm_lm_rl=0.75"">0.27</a>","","","0.31","5.0","","2.57","Norway","Lake _vre Heimdalsvatn","No","No"
"24","37.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=2939&sex=unsexed&loo=37.00000&k=0.19000&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=1197&gm_lm_rl=0.75"">0.19</a>","","","","","","2.42","Norway","Brandstrup Brook","No","No"
"25","38.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=91210&sex=unsexed&loo=38.90000&k=0.19400&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=10841&gm_lm_rl=0.75"">0.19</a>","-0.17","","","","","2.47","Portugal","Labruja, Lima river system","No","No"
"26","39.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=252&pref=41325&sex=female&loo=39.00000&k=0.86000&id2=238&genusname=Salmo&speciesname=trutta&gm_loo=47.80884751847&gm_lm=16.970562748477&gm_m=0.56605854454105&gm_k=0.24553987869521&vautoctr=10831&gm_lm_rl=0.75"">0.86</a>","","F","0.56","","","3.12","UK","Tees River and tributaries","No","No"
