"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","54.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4888&pref=312&sex=unsexed&loo=54.40000&k=0.23700&id2=3516&genusname=Sander&speciesname=vitreus&gm_loo=73.406613991074&gm_lm=1&gm_m=0.15&gm_k=0.27417087862387&vautoctr=4263&gm_lm_rl=1"">0.24</a>","","","","","","2.85","USA","Lake Erie","No","No"
"2","60.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4888&pref=53168&sex=unsexed&loo=60.50000&k=0.45000&id2=3516&genusname=Sander&speciesname=vitreus&gm_loo=73.406613991074&gm_lm=1&gm_m=0.15&gm_k=0.27417087862387&vautoctr=8286&gm_lm_rl=1"">0.45</a>","-0.26","","","","","3.22","USA","Cedar Bluff Reservoir, Kansas","No","No"
"3","62.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4888&pref=53168&sex=unsexed&loo=62.00000&k=0.46000&id2=3516&genusname=Sander&speciesname=vitreus&gm_loo=73.406613991074&gm_lm=1&gm_m=0.15&gm_k=0.27417087862387&vautoctr=8307&gm_lm_rl=1"">0.46</a>","-0.25","","","","","3.25","USA","Marion Reservoir","No","No"
"4","62.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4888&pref=53168&sex=unsexed&loo=62.20000&k=0.37000&id2=3516&genusname=Sander&speciesname=vitreus&gm_loo=73.406613991074&gm_lm=1&gm_m=0.15&gm_k=0.27417087862387&vautoctr=8302&gm_lm_rl=1"">0.37</a>","-0.55","","","","","3.16","USA","Lovewell Reservoir","No","No"
"5","64.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4888&pref=53168&sex=unsexed&loo=64.20000&k=0.39000&id2=3516&genusname=Sander&speciesname=vitreus&gm_loo=73.406613991074&gm_lm=1&gm_m=0.15&gm_k=0.27417087862387&vautoctr=8303&gm_lm_rl=1"">0.39</a>","-0.29","","","","","3.21","USA","Lovewell Reservoir","No","No"
"6","64.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4888&pref=53168&sex=unsexed&loo=64.60000&k=0.41000&id2=3516&genusname=Sander&speciesname=vitreus&gm_loo=73.406613991074&gm_lm=1&gm_m=0.15&gm_k=0.27417087862387&vautoctr=8299&gm_lm_rl=1"">0.41</a>","-0.29","","","","","3.23","USA","Kirwin Reservoir","No","No"
"7","64.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4888&pref=53168&sex=unsexed&loo=64.90000&k=0.44000&id2=3516&genusname=Sander&speciesname=vitreus&gm_loo=73.406613991074&gm_lm=1&gm_m=0.15&gm_k=0.27417087862387&vautoctr=8295&gm_lm_rl=1"">0.44</a>","-0.13","","","","","3.27","USA","Glen Elder Reservoir","No","No"
"8","65.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4888&pref=53168&sex=unsexed&loo=65.10000&k=0.45000&id2=3516&genusname=Sander&speciesname=vitreus&gm_loo=73.406613991074&gm_lm=1&gm_m=0.15&gm_k=0.27417087862387&vautoctr=8311&gm_lm_rl=1"">0.45</a>","-0.14","","","","","3.28","USA","Wilson Reservoir","No","No"
"9","65.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4888&pref=53168&sex=unsexed&loo=65.40000&k=0.35000&id2=3516&genusname=Sander&speciesname=vitreus&gm_loo=73.406613991074&gm_lm=1&gm_m=0.15&gm_k=0.27417087862387&vautoctr=8305&gm_lm_rl=1"">0.35</a>","-0.58","","","","","3.18","USA","Lovewell Reservoir","No","No"
"10","65.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4888&pref=53168&sex=unsexed&loo=65.50000&k=0.47000&id2=3516&genusname=Sander&speciesname=vitreus&gm_loo=73.406613991074&gm_lm=1&gm_m=0.15&gm_k=0.27417087862387&vautoctr=8288&gm_lm_rl=1"">0.47</a>","0.06","","","","","3.30","USA","Cedar Bluff Reservoir, Kansas","No","No"
