"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","15.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1368&pref=57592&sex=male&loo=15.00000&k=0.59300&id2=1350&genusname=Sardina&speciesname=pilchardus&gm_loo=19.788241953612&gm_lm=13.532019046845&gm_m=0.37933599305897&gm_k=0.39882537609211&vautoctr=8943&gm_lm_rl=0.7063444141425"">0.59</a>","-1.76","M","","","12.1","2.13","Turkey","Izmir Bay","No","No"
"2","16.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1368&pref=96811&sex=mixed&loo=16.10000&k=0.70600&id2=1350&genusname=Sardina&speciesname=pilchardus&gm_loo=19.788241953612&gm_lm=13.532019046845&gm_m=0.37933599305897&gm_k=0.39882537609211&vautoctr=21423&gm_lm_rl=0.7063444141425"">0.71</a>","0.01","","","","","2.26","Algeria","","No","No"
"3","16.1","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1368&pref=96811&sex=mixed&loo=16.10000&k=1.12400&id2=1350&genusname=Sardina&speciesname=pilchardus&gm_loo=19.788241953612&gm_lm=13.532019046845&gm_m=0.37933599305897&gm_k=0.39882537609211&vautoctr=21424&gm_lm_rl=0.7063444141425"">1.12</a>","-0.02","","","","","2.46","Algeria","Bou-Ismail Gulf","No","No"
"4","16.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1368&pref=312&sex=unsexed&loo=16.40000&k=0.55700&id2=1350&genusname=Sardina&speciesname=pilchardus&gm_loo=19.788241953612&gm_lm=13.532019046845&gm_m=0.37933599305897&gm_k=0.39882537609211&vautoctr=2447&gm_lm_rl=0.7063444141425"">0.56</a>","-0.66","","","19.0","","2.18","France","Gulf of Lion","No","No"
"5","16.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1368&pref=312&sex=unsexed&loo=16.60000&k=0.39900&id2=1350&genusname=Sardina&speciesname=pilchardus&gm_loo=19.788241953612&gm_lm=13.532019046845&gm_m=0.37933599305897&gm_k=0.39882537609211&vautoctr=2448&gm_lm_rl=0.7063444141425"">0.40</a>","-1.64","","","19.0","","2.04","Greece","Aegean (Oreos)","No","No"
"6","16.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1368&pref=312&sex=unsexed&loo=16.60000&k=0.56500&id2=1350&genusname=Sardina&speciesname=pilchardus&gm_loo=19.788241953612&gm_lm=13.532019046845&gm_m=0.37933599305897&gm_k=0.39882537609211&vautoctr=2449&gm_lm_rl=0.7063444141425"">0.57</a>","-1.03","","","19.0","","2.19","Spain","Castellon","No","No"
"7","16.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1368&pref=312&sex=unsexed&loo=16.70000&k=0.48300&id2=1350&genusname=Sardina&speciesname=pilchardus&gm_loo=19.788241953612&gm_lm=13.532019046845&gm_m=0.37933599305897&gm_k=0.39882537609211&vautoctr=2450&gm_lm_rl=0.7063444141425"">0.48</a>","-1.31","","","19.0","","2.13","Greece","Aegean Sea (Mitilini)","No","No"
"8","17.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1368&pref=312&sex=unsexed&loo=17.00000&k=0.40000&id2=1350&genusname=Sardina&speciesname=pilchardus&gm_loo=19.788241953612&gm_lm=13.532019046845&gm_m=0.37933599305897&gm_k=0.39882537609211&vautoctr=2451&gm_lm_rl=0.7063444141425"">0.40</a>","","","","19.0","","2.06","","off Split","No","No"
"9","17.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1368&pref=312&sex=unsexed&loo=17.00000&k=0.60000&id2=1350&genusname=Sardina&speciesname=pilchardus&gm_loo=19.788241953612&gm_lm=13.532019046845&gm_m=0.37933599305897&gm_k=0.39882537609211&vautoctr=2452&gm_lm_rl=0.7063444141425"">0.60</a>","","","","17.5","","2.24","Spain","Mediterranean Coast, near Formentera","No","No"
"10","17.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1368&pref=312&sex=unsexed&loo=17.00000&k=0.69900&id2=1350&genusname=Sardina&speciesname=pilchardus&gm_loo=19.788241953612&gm_lm=13.532019046845&gm_m=0.37933599305897&gm_k=0.39882537609211&vautoctr=2453&gm_lm_rl=0.7063444141425"">0.70</a>","-1.02","","","19.0","","2.31","Italy","Upper Adriatic (off Venedice)","No","No"
