"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","14.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1701&pref=1444&sex=unsexed&loo=14.10000&k=3.49000&id2=1508&genusname=Sardinella&speciesname=gibbosa&gm_loo=17.965279993306&gm_lm=12.242211939672&gm_m=0.62&gm_k=1.2200147721686&vautoctr=2930&gm_lm_rl=0.50999999046326"">3.49</a>","-0.02","","","27.6","","2.84","Sri Lanka","","No","No"
"2","14.1","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1701&pref=2178&sex=unsexed&loo=14.10000&k=3.50000&id2=1508&genusname=Sardinella&speciesname=gibbosa&gm_loo=17.965279993306&gm_lm=12.242211939672&gm_m=0.62&gm_k=1.2200147721686&vautoctr=2933&gm_lm_rl=0.50999999046326"">3.50</a>","","","","21.0","","2.84","Mozambique","","No","No"
"3","14.6","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1701&pref=2178&sex=unsexed&loo=14.60000&k=1.38000&id2=1508&genusname=Sardinella&speciesname=gibbosa&gm_loo=17.965279993306&gm_lm=12.242211939672&gm_m=0.62&gm_k=1.2200147721686&vautoctr=2934&gm_lm_rl=0.50999999046326"">1.38</a>","","","","27.6","","2.47","India","Mandapam area","No","No"
"4","17.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1701&pref=4331&sex=unsexed&loo=17.00000&k=0.58000&id2=1508&genusname=Sardinella&speciesname=gibbosa&gm_loo=17.965279993306&gm_lm=12.242211939672&gm_m=0.62&gm_k=1.2200147721686&vautoctr=2936&gm_lm_rl=0.50999999046326"">0.58</a>","","","","28.0","","2.22","Tanzania","Zanzibar","No","No"
"5","17.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1701&pref=36269&sex=unsexed&loo=17.00000&k=2.20000&id2=1508&genusname=Sardinella&speciesname=gibbosa&gm_loo=17.965279993306&gm_lm=12.242211939672&gm_m=0.62&gm_k=1.2200147721686&vautoctr=6924&gm_lm_rl=0.50999999046326"">2.20</a>","","","","27.0","","2.80","Sri Lanka","Negombo","No","No"
"6","17.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1701&pref=1751&sex=unsexed&loo=17.10000&k=1.08000&id2=1508&genusname=Sardinella&speciesname=gibbosa&gm_loo=17.965279993306&gm_lm=12.242211939672&gm_m=0.62&gm_k=1.2200147721686&vautoctr=2932&gm_lm_rl=0.50999999046326"">1.08</a>","","","","27.6","8.8","2.50","India","Mandapam","No","No"
"7","18.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1701&pref=4330&sex=unsexed&loo=18.60000&k=1.80000&id2=1508&genusname=Sardinella&speciesname=gibbosa&gm_loo=17.965279993306&gm_lm=12.242211939672&gm_m=0.62&gm_k=1.2200147721686&vautoctr=2935&gm_lm_rl=0.50999999046326"">1.80</a>","","","","28.0","","2.79","Tanzania","Dar es Salaam","No","No"
"8","19.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1701&pref=27806&sex=unsexed&loo=19.10000&k=1.50000&id2=1508&genusname=Sardinella&speciesname=gibbosa&gm_loo=17.965279993306&gm_lm=12.242211939672&gm_m=0.62&gm_k=1.2200147721686&vautoctr=7189&gm_lm_rl=0.50999999046326"">1.50</a>","","","","28.0","13.8","2.74","India","east coast","No","No"
"9","19.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1701&pref=12148&sex=unsexed&loo=19.40000&k=0.32000&id2=1508&genusname=Sardinella&speciesname=gibbosa&gm_loo=17.965279993306&gm_lm=12.242211939672&gm_m=0.62&gm_k=1.2200147721686&vautoctr=2938&gm_lm_rl=0.50999999046326"">0.32</a>","","","","27.2","","2.08","Tanzania","Zanzibar","No","No"
"10","19.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1701&pref=1314&sex=unsexed&loo=19.50000&k=1.20000&id2=1508&genusname=Sardinella&speciesname=gibbosa&gm_loo=17.965279993306&gm_lm=12.242211939672&gm_m=0.62&gm_k=1.2200147721686&vautoctr=2929&gm_lm_rl=0.50999999046326"">1.20</a>","","","","27.0","","2.66","Indonesia","Riau Waters (Bintan)","No","No"
