"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","24.4","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1063&pref=72458&sex=unsexed&loo=24.40000&k=0.08200&id2=1047&genusname=Sardinella&speciesname=maderensis&gm_loo=31.629757257828&gm_lm=16.5&gm_m=0.72&gm_k=0.3748191485312&vautoctr=9607&gm_lm_rl=1"">0.08</a>","0.29","","","","","1.69","Congo Dem Rp","Pointe-Noire","No","No"
"2","24.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1063&pref=816&sex=unsexed&loo=24.90000&k=0.99000&id2=1047&genusname=Sardinella&speciesname=maderensis&gm_loo=31.629757257828&gm_lm=16.5&gm_m=0.72&gm_k=0.3748191485312&vautoctr=2179&gm_lm_rl=1"">0.99</a>","","","","26.6","","2.79","Congo","Pointe Noire","No","No"
"3","25.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1063&pref=2285&sex=unsexed&loo=25.50000&k=0.29800&id2=1047&genusname=Sardinella&speciesname=maderensis&gm_loo=31.629757257828&gm_lm=16.5&gm_m=0.72&gm_k=0.3748191485312&vautoctr=2181&gm_lm_rl=1"">0.30</a>","-1.15","","","19.0","16.5","2.29","Tunisia","","No","No"
"4","29.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1063&pref=3779&sex=unsexed&loo=29.10000&k=0.83000&id2=1047&genusname=Sardinella&speciesname=maderensis&gm_loo=31.629757257828&gm_lm=16.5&gm_m=0.72&gm_k=0.3748191485312&vautoctr=2182&gm_lm_rl=1"">0.83</a>","","","","26.6","","2.85","Cameroon","","No","No"
"5","29.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1063&pref=30305&sex=unsexed&loo=29.60000&k=0.30000&id2=1047&genusname=Sardinella&speciesname=maderensis&gm_loo=31.629757257828&gm_lm=16.5&gm_m=0.72&gm_k=0.3748191485312&vautoctr=4927&gm_lm_rl=1"">0.30</a>","","","","26.6","","2.42","Sierra Leone","","No","No"
"6","32.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1063&pref=3781&sex=unsexed&loo=32.50000&k=0.59000&id2=1047&genusname=Sardinella&speciesname=maderensis&gm_loo=31.629757257828&gm_lm=16.5&gm_m=0.72&gm_k=0.3748191485312&vautoctr=2184&gm_lm_rl=1"">0.59</a>","","","","26.6","","2.79","Cameroon","Lobe Estuary","No","No"
"7","35.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1063&pref=312&sex=unsexed&loo=35.00000&k=0.60800&id2=1047&genusname=Sardinella&speciesname=maderensis&gm_loo=31.629757257828&gm_lm=16.5&gm_m=0.72&gm_k=0.3748191485312&vautoctr=2177&gm_lm_rl=1"">0.61</a>","","","","20.0","","2.87","Senegal","","No","No"
"8","37.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1063&pref=1382&sex=unsexed&loo=37.50000&k=0.30000&id2=1047&genusname=Sardinella&speciesname=maderensis&gm_loo=31.629757257828&gm_lm=16.5&gm_m=0.72&gm_k=0.3748191485312&vautoctr=2180&gm_lm_rl=1"">0.30</a>","","","","20.0","","2.63","Senegal","","No","No"
"9","37.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1063&pref=3779&sex=unsexed&loo=37.50000&k=0.34000&id2=1047&genusname=Sardinella&speciesname=maderensis&gm_loo=31.629757257828&gm_lm=16.5&gm_m=0.72&gm_k=0.3748191485312&vautoctr=2183&gm_lm_rl=1"">0.34</a>","","","","22.0","","2.68","Nigeria","Entered as 'Niger', but probably Nigeria.","No","No"
"10","37.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1063&pref=26112&sex=unsexed&loo=37.50000&k=0.33600&id2=1047&genusname=Sardinella&speciesname=maderensis&gm_loo=31.629757257828&gm_lm=16.5&gm_m=0.72&gm_k=0.3748191485312&vautoctr=2185&gm_lm_rl=1"">0.34</a>","","","","26.6","","2.67","Nigeria","East of Niger Delta","No","No"
"11","39.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1063&pref=312&sex=unsexed&loo=39.60000&k=0.27700&id2=1047&genusname=Sardinella&speciesname=maderensis&gm_loo=31.629757257828&gm_lm=16.5&gm_m=0.72&gm_k=0.3748191485312&vautoctr=2178&gm_lm_rl=1"">0.28</a>","","","0.72","26.6","","2.64","Congo","Pointe Noire","No","No"
