"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","34.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=41203&pref=58482&sex=male&loo=34.50000&k=0.15900&id2=49064&genusname=Scardinius&speciesname=acarnanicus&gm_loo=41.070680224619&gm_lm=1&gm_m=1&gm_k=0.13400178954426&vautoctr=9289&gm_lm_rl=1"">0.16</a>","-0.16","M","","","","2.28","Greece","lake Trichonis-Lysimachia","No","No"
"2","39.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=41203&pref=75527&sex=mixed&loo=39.10000&k=0.14000&id2=49064&genusname=Scardinius&speciesname=acarnanicus&gm_loo=41.070680224619&gm_lm=1&gm_m=1&gm_k=0.13400178954426&vautoctr=9764&gm_lm_rl=1"">0.14</a>","-0.99","","","","","2.33","Greece","Lake Trichonis","No","No"
"3","39.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=41203&pref=75527&sex=female&loo=39.65000&k=0.13400&id2=49064&genusname=Scardinius&speciesname=acarnanicus&gm_loo=41.070680224619&gm_lm=1&gm_m=1&gm_k=0.13400178954426&vautoctr=9763&gm_lm_rl=1"">0.13</a>","-1.18","F","","","","2.32","Greece","Lake Trichonis","No","No"
"4","39.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=41203&pref=58482&sex=female&loo=39.70000&k=0.13400&id2=49064&genusname=Scardinius&speciesname=acarnanicus&gm_loo=41.070680224619&gm_lm=1&gm_m=1&gm_k=0.13400178954426&vautoctr=9293&gm_lm_rl=1"">0.13</a>","-1.18","F","","","","2.32","Greece","Lake Trichonis","No","No"
"5","40.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=41203&pref=75527&sex=male&loo=40.72000&k=0.13900&id2=49064&genusname=Scardinius&speciesname=acarnanicus&gm_loo=41.070680224619&gm_lm=1&gm_m=1&gm_k=0.13400178954426&vautoctr=9759&gm_lm_rl=1"">0.14</a>","-0.69","M","","","","2.36","Greece","Lake Lysimachia","No","No"
"6","41.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=41203&pref=75527&sex=female&loo=41.06000&k=0.13700&id2=49064&genusname=Scardinius&speciesname=acarnanicus&gm_loo=41.070680224619&gm_lm=1&gm_m=1&gm_k=0.13400178954426&vautoctr=9760&gm_lm_rl=1"">0.14</a>","-0.66","F","","","","2.36","Greece","Lake Lysimachia","No","No"
"7","41.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=41203&pref=75527&sex=mixed&loo=41.07000&k=0.13700&id2=49064&genusname=Scardinius&speciesname=acarnanicus&gm_loo=41.070680224619&gm_lm=1&gm_m=1&gm_k=0.13400178954426&vautoctr=9761&gm_lm_rl=1"">0.14</a>","-0.67","","","","","2.36","Greece","Lake Lysimachia","No","No"
"8","41.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=41203&pref=58482&sex=female&loo=41.40000&k=0.13400&id2=49064&genusname=Scardinius&speciesname=acarnanicus&gm_loo=41.070680224619&gm_lm=1&gm_m=1&gm_k=0.13400178954426&vautoctr=9295&gm_lm_rl=1"">0.13</a>","-0.70","F","","","","2.36","Greece","Lake Lysimachia","No","No"
"9","42.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=41203&pref=58482&sex=female&loo=42.60000&k=0.13600&id2=49064&genusname=Scardinius&speciesname=acarnanicus&gm_loo=41.070680224619&gm_lm=1&gm_m=1&gm_k=0.13400178954426&vautoctr=9290&gm_lm_rl=1"">0.14</a>","0.09","F","","","","2.39","Greece","Lake Trichonis-Lysimachia","No","No"
"10","42.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=41203&pref=58482&sex=mixed&loo=42.60000&k=0.13400&id2=49064&genusname=Scardinius&speciesname=acarnanicus&gm_loo=41.070680224619&gm_lm=1&gm_m=1&gm_k=0.13400178954426&vautoctr=9291&gm_lm_rl=1"">0.13</a>","0.06","","","","","2.39","Greece","Lake Trichonis-Lysimachia","No","No"
"11","42.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=41203&pref=58482&sex=male&loo=42.80000&k=0.12600&id2=49064&genusname=Scardinius&speciesname=acarnanicus&gm_loo=41.070680224619&gm_lm=1&gm_m=1&gm_k=0.13400178954426&vautoctr=9292&gm_lm_rl=1"">0.13</a>","-0.83","M","","","","2.36","Greece","Lake Trichonis","No","No"
"12","42.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=41203&pref=75527&sex=male&loo=42.84000&k=0.12500&id2=49064&genusname=Scardinius&speciesname=acarnanicus&gm_loo=41.070680224619&gm_lm=1&gm_m=1&gm_k=0.13400178954426&vautoctr=9762&gm_lm_rl=1"">0.13</a>","-0.84","M","","","","2.36","Greece","Lake Trichonis","No","No"
"13","47.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=41203&pref=58482&sex=male&loo=47.10000&k=0.11200&id2=49064&genusname=Scardinius&speciesname=acarnanicus&gm_loo=41.070680224619&gm_lm=1&gm_m=1&gm_k=0.13400178954426&vautoctr=9294&gm_lm_rl=1"">0.11</a>","-0.79","M","","","","2.40","Greece","Lake Lysimachia","No","No"
