"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","27.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=131&pref=94056&sex=female&loo=27.20000&k=0.26000&id2=117&genusname=Scomber&speciesname=japonicus&gm_loo=41.681668830926&gm_lm=32.31562610768&gm_m=0.48274469230281&gm_k=0.28064023391249&vautoctr=11712&gm_lm_rl=0.68227636588996"">0.26</a>","-0.48","F","","","","2.28","Turkey","Izmir Bay","No","No"
"2","29.3","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=131&pref=3730&sex=unsexed&loo=29.30000&k=0.50000&id2=117&genusname=Scomber&speciesname=japonicus&gm_loo=41.681668830926&gm_lm=32.31562610768&gm_m=0.48274469230281&gm_k=0.28064023391249&vautoctr=821&gm_lm_rl=0.68227636588996"">0.50</a>","","","","13.2","","2.63","Mexico","Guaymas, Gulf of California","No","No"
"3","29.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=131&pref=94056&sex=male&loo=29.60000&k=0.23000&id2=117&genusname=Scomber&speciesname=japonicus&gm_loo=41.681668830926&gm_lm=32.31562610768&gm_m=0.48274469230281&gm_k=0.28064023391249&vautoctr=11713&gm_lm_rl=0.68227636588996"">0.23</a>","-0.39","M","","","","2.30","Turkey","Izmir Bay","No","No"
"4","33.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=131&pref=312&sex=unsexed&loo=33.00000&k=0.47300&id2=117&genusname=Scomber&speciesname=japonicus&gm_loo=41.681668830926&gm_lm=32.31562610768&gm_m=0.48274469230281&gm_k=0.28064023391249&vautoctr=814&gm_lm_rl=0.68227636588996"">0.47</a>","","","","14.0","","2.71","Turkey","Sea of Marmara & Bosporous","No","No"
"5","34.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=131&pref=57626&sex=female&loo=34.50000&k=0.30300&id2=117&genusname=Scomber&speciesname=japonicus&gm_loo=41.681668830926&gm_lm=32.31562610768&gm_m=0.48274469230281&gm_k=0.28064023391249&vautoctr=8979&gm_lm_rl=0.68227636588996"">0.30</a>","-1.53","F","","","","2.56","Greece","N. Aegean, G. Saronikos & Cretan Sea","No","No"
"6","38.1","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=131&pref=5760&sex=unsexed&loo=38.10000&k=0.63000&id2=117&genusname=Scomber&speciesname=japonicus&gm_loo=41.681668830926&gm_lm=32.31562610768&gm_m=0.48274469230281&gm_k=0.28064023391249&vautoctr=825&gm_lm_rl=0.68227636588996"">0.63</a>","","","","10.0","","2.96","Japan","Tsushima Strait","No","No"
"7","39.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=131&pref=40755&sex=unsexed&loo=39.20000&k=0.23000&id2=117&genusname=Scomber&speciesname=japonicus&gm_loo=41.681668830926&gm_lm=32.31562610768&gm_m=0.48274469230281&gm_k=0.28064023391249&vautoctr=6324&gm_lm_rl=0.68227636588996"">0.23</a>","","","","27.0","","2.55","Ecuador","","No","No"
"8","39.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=131&pref=40755&sex=unsexed&loo=39.60000&k=0.39000&id2=117&genusname=Scomber&speciesname=japonicus&gm_loo=41.681668830926&gm_lm=32.31562610768&gm_m=0.48274469230281&gm_k=0.28064023391249&vautoctr=6320&gm_lm_rl=0.68227636588996"">0.39</a>","","","","27.0","","2.79","Ecuador","","No","No"
"9","39.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=131&pref=40755&sex=unsexed&loo=39.90000&k=0.20000&id2=117&genusname=Scomber&speciesname=japonicus&gm_loo=41.681668830926&gm_lm=32.31562610768&gm_m=0.48274469230281&gm_k=0.28064023391249&vautoctr=6321&gm_lm_rl=0.68227636588996"">0.20</a>","","","","27.0","","2.50","Ecuador","","No","No"
"10","40.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=131&pref=796&sex=unsexed&loo=40.00000&k=0.40000&id2=117&genusname=Scomber&speciesname=japonicus&gm_loo=41.681668830926&gm_lm=32.31562610768&gm_m=0.48274469230281&gm_k=0.28064023391249&vautoctr=818&gm_lm_rl=0.68227636588996"">0.40</a>","","","0.90","14.0","32.0","2.81","USA","California, 1939-40 through 1950-51","No","No"
