"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","17.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1954&pref=86702&sex=male&loo=17.18700&k=0.16400&id2=1758&genusname=Scorpaena&speciesname=porcus&gm_loo=32.423492298228&gm_lm=12.554324830356&gm_m=1&gm_k=0.13220092037725&vautoctr=10392&gm_lm_rl=0.45497252474349"">0.16</a>","-0.88","M","","","","1.69","Turkey","Marmara Sea","No","No"
"2","18.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1954&pref=86702&sex=male&loo=18.19000&k=0.19800&id2=1758&genusname=Scorpaena&speciesname=porcus&gm_loo=32.423492298228&gm_lm=12.554324830356&gm_m=1&gm_k=0.13220092037725&vautoctr=10394&gm_lm_rl=0.45497252474349"">0.20</a>","","M","","","","1.82","Tunisia","Gulf of Gabes","No","No"
"3","18.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1954&pref=7253&sex=male&loo=18.20000&k=0.19800&id2=1758&genusname=Scorpaena&speciesname=porcus&gm_loo=32.423492298228&gm_lm=12.554324830356&gm_m=1&gm_k=0.13220092037725&vautoctr=3202&gm_lm_rl=0.45497252474349"">0.20</a>","-0.98","M","","14.0","8.5","1.82","Tunisia","Gulf of Gabes","No","No"
"4","20.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1954&pref=86717&sex=mixed&loo=20.13000&k=0.53000&id2=1758&genusname=Scorpaena&speciesname=porcus&gm_loo=32.423492298228&gm_lm=12.554324830356&gm_m=1&gm_k=0.13220092037725&vautoctr=10725&gm_lm_rl=0.45497252474349"">0.53</a>","-1.29","","","","","2.33","Italy","NW Adriatic Sea, artificial reefs","No","No"
"5","21.9","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1954&pref=7253&sex=female&loo=21.90000&k=0.17300&id2=1758&genusname=Scorpaena&speciesname=porcus&gm_loo=32.423492298228&gm_lm=12.554324830356&gm_m=1&gm_k=0.13220092037725&vautoctr=3201&gm_lm_rl=0.45497252474349"">0.17</a>","-0.97","F","","14.0","10.0","1.92","Tunisia","Gulf of Gabes","No","No"
"6","21.9","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1954&pref=86702&sex=female&loo=21.93000&k=0.17300&id2=1758&genusname=Scorpaena&speciesname=porcus&gm_loo=32.423492298228&gm_lm=12.554324830356&gm_m=1&gm_k=0.13220092037725&vautoctr=10395&gm_lm_rl=0.45497252474349"">0.17</a>","","F","","","","1.92","Tunisia","Gulf of Gabes","No","No"
"7","22.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1954&pref=86702&sex=female&loo=22.15400&k=0.20000&id2=1758&genusname=Scorpaena&speciesname=porcus&gm_loo=32.423492298228&gm_lm=12.554324830356&gm_m=1&gm_k=0.13220092037725&vautoctr=10393&gm_lm_rl=0.45497252474349"">0.20</a>","-0.83","F","","","","1.99","Turkey","Marmara Sea","No","No"
"8","22.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1954&pref=86717&sex=mixed&loo=22.30000&k=0.23000&id2=1758&genusname=Scorpaena&speciesname=porcus&gm_loo=32.423492298228&gm_lm=12.554324830356&gm_m=1&gm_k=0.13220092037725&vautoctr=10720&gm_lm_rl=0.45497252474349"">0.23</a>","-3.43","","","","","2.06","Italy","NW Adriatic Sea, natural reefs","No","No"
"9","24.4","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1954&pref=86702&sex=unsexed&loo=24.40000&k=0.16100&id2=1758&genusname=Scorpaena&speciesname=porcus&gm_loo=32.423492298228&gm_lm=12.554324830356&gm_m=1&gm_k=0.13220092037725&vautoctr=10467&gm_lm_rl=0.45497252474349"">0.16</a>","-1.19","","","","","1.98","Turkey","Marmara Sea","No","No"
"10","28.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1954&pref=86706&sex=unsexed&loo=28.20000&k=0.18200&id2=1758&genusname=Scorpaena&speciesname=porcus&gm_loo=32.423492298228&gm_lm=12.554324830356&gm_m=1&gm_k=0.13220092037725&vautoctr=10471&gm_lm_rl=0.45497252474349"">0.18</a>","-0.80","","","","","2.16","Croatia","E Adriatic","No","No"
"11","28.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1954&pref=86714&sex=unsexed&loo=28.20000&k=0.18200&id2=1758&genusname=Scorpaena&speciesname=porcus&gm_loo=32.423492298228&gm_lm=12.554324830356&gm_m=1&gm_k=0.13220092037725&vautoctr=10472&gm_lm_rl=0.45497252474349"">0.18</a>","-0.80","","","","","2.16","Croatia","E Adriatic","No","No"
"12","29.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1954&pref=1230&sex=unsexed&loo=29.40000&k=0.16200&id2=1758&genusname=Scorpaena&speciesname=porcus&gm_loo=32.423492298228&gm_lm=12.554324830356&gm_m=1&gm_k=0.13220092037725&vautoctr=3200&gm_lm_rl=0.45497252474349"">0.16</a>","-0.97","","","14.0","","2.15","Algeria","off Algier, Mediterranean","No","No"
