"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","32.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=521&pref=312&sex=male&loo=32.70000&k=0.15100&id2=505&genusname=Sebastes&speciesname=mentella&gm_loo=45.373472929188&gm_lm=1&gm_m=1&gm_k=0.082966171573296&vautoctr=1804&gm_lm_rl=1"">0.15</a>","","M","","12.0","","2.21","USA","Gulf of Maine","No","No"
"2","39.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=521&pref=97045&sex=unsexed&loo=39.30000&k=0.07800&id2=505&genusname=Sebastes&speciesname=mentella&gm_loo=45.373472929188&gm_lm=1&gm_m=1&gm_k=0.082966171573296&vautoctr=21454&gm_lm_rl=1"">0.08</a>","-6.80","","","","","2.08","Greenland","Irminger Sea (ICES  XII) and East Greenland (ICES XIVb)","No","No"
"3","43.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=521&pref=97045&sex=unsexed&loo=43.10000&k=0.10700&id2=505&genusname=Sebastes&speciesname=mentella&gm_loo=45.373472929188&gm_lm=1&gm_m=1&gm_k=0.082966171573296&vautoctr=21455&gm_lm_rl=1"">0.11</a>","-0.89","","","","","2.30","Greenland","Irminger Sea","No","No"
"4","43.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=521&pref=97045&sex=male&loo=43.20000&k=0.10700&id2=505&genusname=Sebastes&speciesname=mentella&gm_loo=45.373472929188&gm_lm=1&gm_m=1&gm_k=0.082966171573296&vautoctr=21456&gm_lm_rl=1"">0.11</a>","-1.07","M","","","","2.30","","Flemish Cap","No","No"
"5","44.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=521&pref=97045&sex=unsexed&loo=44.30000&k=0.08700&id2=505&genusname=Sebastes&speciesname=mentella&gm_loo=45.373472929188&gm_lm=1&gm_m=1&gm_k=0.082966171573296&vautoctr=21457&gm_lm_rl=1"">0.09</a>","-3.49","","","","","2.23","Greenland","Irminger Sea","No","No"
"6","45.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=521&pref=97045&sex=female&loo=45.80000&k=0.09600&id2=505&genusname=Sebastes&speciesname=mentella&gm_loo=45.373472929188&gm_lm=1&gm_m=1&gm_k=0.082966171573296&vautoctr=21458&gm_lm_rl=1"">0.10</a>","-1.28","F","","","","2.30","","Flemish Cap","No","No"
"7","45.9","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=521&pref=72458&sex=mixed&loo=45.90000&k=0.09600&id2=505&genusname=Sebastes&speciesname=mentella&gm_loo=45.373472929188&gm_lm=1&gm_m=1&gm_k=0.082966171573296&vautoctr=9570&gm_lm_rl=1"">0.10</a>","1.28","","","","","2.31","","","Yes","No"
"8","46.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=521&pref=97045&sex=unsexed&loo=46.80000&k=0.06300&id2=505&genusname=Sebastes&speciesname=mentella&gm_loo=45.373472929188&gm_lm=1&gm_m=1&gm_k=0.082966171573296&vautoctr=21459&gm_lm_rl=1"">0.06</a>","-6.58","","","","","2.14","Greenland","Irminger Sea","No","No"
"9","49.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=521&pref=97045&sex=unsexed&loo=49.00000&k=0.06000&id2=505&genusname=Sebastes&speciesname=mentella&gm_loo=45.373472929188&gm_lm=1&gm_m=1&gm_k=0.082966171573296&vautoctr=21460&gm_lm_rl=1"">0.06</a>","-2.47","","","","","2.16","Norway","Barents Sea","No","No"
"10","49.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=521&pref=312&sex=unsexed&loo=49.20000&k=0.10000&id2=505&genusname=Sebastes&speciesname=mentella&gm_loo=45.373472929188&gm_lm=1&gm_m=1&gm_k=0.082966171573296&vautoctr=1805&gm_lm_rl=1"">0.10</a>","-0.22","","","2.0","","2.38","Russia","Barents Sea, > 300 m","No","No"
"11","49.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=521&pref=39466&sex=male&loo=49.20000&k=0.07300&id2=505&genusname=Sebastes&speciesname=mentella&gm_loo=45.373472929188&gm_lm=1&gm_m=1&gm_k=0.082966171573296&vautoctr=5561&gm_lm_rl=1"">0.07</a>","-2.08","M","","5.5","","2.25","Iceland","Irminger Sea","No","No"
"12","52.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=521&pref=312&sex=female&loo=52.50000&k=0.05800&id2=505&genusname=Sebastes&speciesname=mentella&gm_loo=45.373472929188&gm_lm=1&gm_m=1&gm_k=0.082966171573296&vautoctr=1803&gm_lm_rl=1"">0.06</a>","","F","","12.0","","2.20","USA","Gulf of Maine","No","No"
"13","53.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=521&pref=39466&sex=female&loo=53.20000&k=0.05100&id2=505&genusname=Sebastes&speciesname=mentella&gm_loo=45.373472929188&gm_lm=1&gm_m=1&gm_k=0.082966171573296&vautoctr=5562&gm_lm_rl=1"">0.05</a>","-5.96","F","","5.5","","2.16","Iceland","Irminger Sea","No","No"
