"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","31.4","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4186&pref=5760&sex=unsexed&loo=31.40000&k=0.18000&id2=3990&genusname=Sebastes&speciesname=polyspinis&gm_loo=35.413221138558&gm_lm=1&gm_m=1&gm_k=0.18795413935659&vautoctr=3784&gm_lm_rl=1"">0.18</a>","","","","5.4","","2.25","","Northeast Pacific","No","No"
"2","32.6","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4186&pref=53673&sex=male&loo=32.60000&k=0.21400&id2=3990&genusname=Sebastes&speciesname=polyspinis&gm_loo=35.413221138558&gm_lm=1&gm_m=1&gm_k=0.18795413935659&vautoctr=8376&gm_lm_rl=1"">0.21</a>","0.10","M","","4.0","","2.36","Alaska","Aleutian Islands","No","No"
"3","33.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4186&pref=97178&sex=mixed&loo=33.70000&k=0.17000&id2=3990&genusname=Sebastes&speciesname=polyspinis&gm_loo=35.413221138558&gm_lm=1&gm_m=1&gm_k=0.18795413935659&vautoctr=21464&gm_lm_rl=1"">0.17</a>","-0.93","","","","","2.29","Alaska","Aleutian Islands","No","No"
"4","34.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4186&pref=97178&sex=mixed&loo=34.17000&k=0.17000&id2=3990&genusname=Sebastes&speciesname=polyspinis&gm_loo=35.413221138558&gm_lm=1&gm_m=1&gm_k=0.18795413935659&vautoctr=21465&gm_lm_rl=1"">0.17</a>","-0.78","","","","","2.30","Alaska","central Aleutian Islands","No","No"
"5","34.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4186&pref=53673&sex=female&loo=34.50000&k=0.17500&id2=3990&genusname=Sebastes&speciesname=polyspinis&gm_loo=35.413221138558&gm_lm=1&gm_m=1&gm_k=0.18795413935659&vautoctr=8377&gm_lm_rl=1"">0.18</a>","-0.56","F","","4.0","","2.32","Alaska","Aleutian Islands","No","No"
"6","35.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4186&pref=97178&sex=mixed&loo=35.46000&k=0.24000&id2=3990&genusname=Sebastes&speciesname=polyspinis&gm_loo=35.413221138558&gm_lm=1&gm_m=1&gm_k=0.18795413935659&vautoctr=21466&gm_lm_rl=1"">0.24</a>","0.63","","","","","2.48","Alaska","southern Bering Sea","No","No"
"7","35.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4186&pref=97178&sex=mixed&loo=35.48000&k=0.23000&id2=3990&genusname=Sebastes&speciesname=polyspinis&gm_loo=35.413221138558&gm_lm=1&gm_m=1&gm_k=0.18795413935659&vautoctr=21467&gm_lm_rl=1"">0.23</a>","0.66","","","","","2.46","Alaska","Eastern Aleutian Islands","No","No"
"8","37.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4186&pref=53673&sex=male&loo=37.80000&k=0.18700&id2=3990&genusname=Sebastes&speciesname=polyspinis&gm_loo=35.413221138558&gm_lm=1&gm_m=1&gm_k=0.18795413935659&vautoctr=8374&gm_lm_rl=1"">0.19</a>","-0.26","M","","5.4","","2.43","Alaska","Gulf of Alaska","No","No"
"9","39.9","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4186&pref=97169&sex=mixed&loo=39.90000&k=0.18000&id2=3990&genusname=Sebastes&speciesname=polyspinis&gm_loo=35.413221138558&gm_lm=1&gm_m=1&gm_k=0.18795413935659&vautoctr=21468&gm_lm_rl=1"">0.18</a>","-0.22","","","","","2.46","Alaska","Gulf of Alaska","No","No"
"10","40.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4186&pref=53673&sex=female&loo=40.20000&k=0.15200&id2=3990&genusname=Sebastes&speciesname=polyspinis&gm_loo=35.413221138558&gm_lm=1&gm_m=1&gm_k=0.18795413935659&vautoctr=8375&gm_lm_rl=1"">0.15</a>","-0.87","F","","5.4","","2.39","Alaska","Gulf of Alaska","No","No"
