"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","23.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=401&pref=13304&sex=unsexed&loo=23.30000&k=1.20000&id2=387&genusname=Selar&speciesname=crumenophthalmus&gm_loo=28.324654514488&gm_lm=1&gm_m=1&gm_k=1.2146202773195&vautoctr=1571&gm_lm_rl=1"">1.20</a>","","","","28.0","","2.81","Philippines","Pujada Bay","No","No"
"2","24.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=401&pref=13304&sex=unsexed&loo=24.60000&k=1.49000&id2=387&genusname=Selar&speciesname=crumenophthalmus&gm_loo=28.324654514488&gm_lm=1&gm_m=1&gm_k=1.2146202773195&vautoctr=1572&gm_lm_rl=1"">1.49</a>","","","","28.0","","2.96","Philippines","South Sulu Sea","No","No"
"3","24.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=401&pref=13304&sex=unsexed&loo=24.60000&k=1.50000&id2=387&genusname=Selar&speciesname=crumenophthalmus&gm_loo=28.324654514488&gm_lm=1&gm_m=1&gm_k=1.2146202773195&vautoctr=1573&gm_lm_rl=1"">1.50</a>","","","","28.0","","2.96","Philippines","Leyte Gulf","No","No"
"4","25.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=401&pref=5730&sex=unsexed&loo=25.40000&k=1.00000&id2=387&genusname=Selar&speciesname=crumenophthalmus&gm_loo=28.324654514488&gm_lm=1&gm_m=1&gm_k=1.2146202773195&vautoctr=1569&gm_lm_rl=1"">1.00</a>","","","","28.7","","2.81","Philippines","Guimaras Strait","No","No"
"5","25.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=401&pref=1314&sex=unsexed&loo=25.90000&k=1.25000&id2=387&genusname=Selar&speciesname=crumenophthalmus&gm_loo=28.324654514488&gm_lm=1&gm_m=1&gm_k=1.2146202773195&vautoctr=1559&gm_lm_rl=1"">1.25</a>","","","","27.0","","2.92","Indonesia","Java Sea (Pekalongan)","No","No"
"6","26.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=401&pref=10861&sex=unsexed&loo=26.10000&k=1.10000&id2=387&genusname=Selar&speciesname=crumenophthalmus&gm_loo=28.324654514488&gm_lm=1&gm_m=1&gm_k=1.2146202773195&vautoctr=1570&gm_lm_rl=1"">1.10</a>","","","","28.2","","2.87","Indonesia","Java Sea, off Pekalongan and Juwana","No","No"
"7","26.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=401&pref=3786&sex=unsexed&loo=26.50000&k=1.25000&id2=387&genusname=Selar&speciesname=crumenophthalmus&gm_loo=28.324654514488&gm_lm=1&gm_m=1&gm_k=1.2146202773195&vautoctr=1562&gm_lm_rl=1"">1.25</a>","","","","28.7","","2.94","Philippines","Tablas Strait-Tayabas Bay region","No","No"
"8","26.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=401&pref=97444&sex=unsexed&loo=26.50000&k=0.93000&id2=387&genusname=Selar&speciesname=crumenophthalmus&gm_loo=28.324654514488&gm_lm=1&gm_m=1&gm_k=1.2146202773195&vautoctr=21649&gm_lm_rl=1"">0.93</a>","","","","28.5","","2.81","Maldives","Bangaa faru, Male' atoll","No","No"
"9","26.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=401&pref=1447&sex=unsexed&loo=26.90000&k=1.35000&id2=387&genusname=Selar&speciesname=crumenophthalmus&gm_loo=28.324654514488&gm_lm=1&gm_m=1&gm_k=1.2146202773195&vautoctr=1560&gm_lm_rl=1"">1.35</a>","","","","28.2","","2.99","Indonesia","Java Sea","No","No"
"10","27.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=401&pref=4839&sex=unsexed&loo=27.00000&k=2.07000&id2=387&genusname=Selar&speciesname=crumenophthalmus&gm_loo=28.324654514488&gm_lm=1&gm_m=1&gm_k=1.2146202773195&vautoctr=1564&gm_lm_rl=1"">2.07</a>","","","","28.7","","3.18","Philippines","Moro Gulf","No","No"
"11","28.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=401&pref=13304&sex=unsexed&loo=28.50000&k=2.00000&id2=387&genusname=Selar&speciesname=crumenophthalmus&gm_loo=28.324654514488&gm_lm=1&gm_m=1&gm_k=1.2146202773195&vautoctr=1574&gm_lm_rl=1"">2.00</a>","","","","28.0","","3.21","Philippines","Camotes Sea","No","No"
"12","28.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=401&pref=13304&sex=unsexed&loo=28.60000&k=1.90000&id2=387&genusname=Selar&speciesname=crumenophthalmus&gm_loo=28.324654514488&gm_lm=1&gm_m=1&gm_k=1.2146202773195&vautoctr=1575&gm_lm_rl=1"">1.90</a>","","","","28.0","","3.19","Philippines","Davao Gulf","No","No"
"13","28.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=401&pref=4838&sex=unsexed&loo=28.80000&k=0.86000&id2=387&genusname=Selar&speciesname=crumenophthalmus&gm_loo=28.324654514488&gm_lm=1&gm_m=1&gm_k=1.2146202773195&vautoctr=1563&gm_lm_rl=1"">0.86</a>","","","","27.0","","2.85","Philippines","Camotes Sea, Central Visayas","No","No"
"14","29.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=401&pref=4839&sex=unsexed&loo=29.00000&k=2.05000&id2=387&genusname=Selar&speciesname=crumenophthalmus&gm_loo=28.324654514488&gm_lm=1&gm_m=1&gm_k=1.2146202773195&vautoctr=1565&gm_lm_rl=1"">2.05</a>","","","","28.7","","3.24","Philippines","North Sulu Sea","No","No"
"15","31.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=401&pref=4839&sex=unsexed&loo=31.20000&k=1.77000&id2=387&genusname=Selar&speciesname=crumenophthalmus&gm_loo=28.324654514488&gm_lm=1&gm_m=1&gm_k=1.2146202773195&vautoctr=1566&gm_lm_rl=1"">1.77</a>","","","","27.0","","3.24","Philippines","Camotes Sea, Central Visayas","No","No"
