"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","30.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1180&pref=96811&sex=mixed&loo=30.80000&k=0.67800&id2=1164&genusname=Sparus&speciesname=aurata&gm_loo=54.663424485182&gm_lm=32.6&gm_m=0.4117745130264&gm_k=0.26470726628094&vautoctr=21484&gm_lm_rl=1"">0.68</a>","-1.37","","","","","2.81","Egypt","Bardawil Lagoon","No","No"
"2","45.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1180&pref=5533&sex=unsexed&loo=45.50000&k=0.37000&id2=1164&genusname=Sparus&speciesname=aurata&gm_loo=54.663424485182&gm_lm=32.6&gm_m=0.4117745130264&gm_k=0.26470726628094&vautoctr=2282&gm_lm_rl=1"">0.37</a>","","","0.50","17.2","","2.88","France","Sète","No","No"
"3","46.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1180&pref=5533&sex=unsexed&loo=46.70000&k=0.21000&id2=1164&genusname=Sparus&speciesname=aurata&gm_loo=54.663424485182&gm_lm=32.6&gm_m=0.4117745130264&gm_k=0.26470726628094&vautoctr=2283&gm_lm_rl=1"">0.21</a>","","","0.23","17.0","","2.66","Tunisia","","No","No"
"4","49.7","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1180&pref=6425&sex=unsexed&loo=49.70000&k=0.31400&id2=1164&genusname=Sparus&speciesname=aurata&gm_loo=54.663424485182&gm_lm=32.6&gm_m=0.4117745130264&gm_k=0.26470726628094&vautoctr=2286&gm_lm_rl=1"">0.31</a>","","","","17.4","","2.89","France","Sète, Gulf of Lion","No","No"
"5","53.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1180&pref=1266&sex=unsexed&loo=53.90000&k=0.26000&id2=1164&genusname=Sparus&speciesname=aurata&gm_loo=54.663424485182&gm_lm=32.6&gm_m=0.4117745130264&gm_k=0.26470726628094&vautoctr=2279&gm_lm_rl=1"">0.26</a>","-0.74","","","19.0","","2.88","France","off Sète","No","No"
"6","53.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1180&pref=5533&sex=unsexed&loo=53.90000&k=0.25000&id2=1164&genusname=Sparus&speciesname=aurata&gm_loo=54.663424485182&gm_lm=32.6&gm_m=0.4117745130264&gm_k=0.26470726628094&vautoctr=2284&gm_lm_rl=1"">0.25</a>","","","0.50","17.2","","2.86","France","Sète","No","No"
"7","55.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1180&pref=58286&sex=unsexed&loo=55.30000&k=0.51300&id2=1164&genusname=Sparus&speciesname=aurata&gm_loo=54.663424485182&gm_lm=32.6&gm_m=0.4117745130264&gm_k=0.26470726628094&vautoctr=9214&gm_lm_rl=1"">0.51</a>","-0.28","","","","32.6","3.20","Algeria","Mellah Lagoon","No","No"
"8","57.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1180&pref=5533&sex=unsexed&loo=57.70000&k=0.27000&id2=1164&genusname=Sparus&speciesname=aurata&gm_loo=54.663424485182&gm_lm=32.6&gm_m=0.4117745130264&gm_k=0.26470726628094&vautoctr=2285&gm_lm_rl=1"">0.27</a>","","","0.50","19.0","","2.95","France","Sète","No","No"
"9","59.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1180&pref=312&sex=unsexed&loo=59.10000&k=0.27500&id2=1164&genusname=Sparus&speciesname=aurata&gm_loo=54.663424485182&gm_lm=32.6&gm_m=0.4117745130264&gm_k=0.26470726628094&vautoctr=2278&gm_lm_rl=1"">0.28</a>","-0.26","","","16.0","","2.98","France","Etang de Thau","No","No"
"10","62.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1180&pref=58171&sex=unsexed&loo=62.20000&k=0.17100&id2=1164&genusname=Sparus&speciesname=aurata&gm_loo=54.663424485182&gm_lm=32.6&gm_m=0.4117745130264&gm_k=0.26470726628094&vautoctr=9144&gm_lm_rl=1"">0.17</a>","-0.63","","","","","2.82","Spain","Catalan Sea","No","No"
"11","76.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1180&pref=1267&sex=unsexed&loo=76.00000&k=0.13000&id2=1164&genusname=Sparus&speciesname=aurata&gm_loo=54.663424485182&gm_lm=32.6&gm_m=0.4117745130264&gm_k=0.26470726628094&vautoctr=2280&gm_lm_rl=1"">0.13</a>","-1.22","","","19.0","","2.88","France","off Sète, Gulf of Lion","No","No"
"12","84.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1180&pref=2011&sex=unsexed&loo=84.50000&k=0.13000&id2=1164&genusname=Sparus&speciesname=aurata&gm_loo=54.663424485182&gm_lm=32.6&gm_m=0.4117745130264&gm_k=0.26470726628094&vautoctr=2281&gm_lm_rl=1"">0.13</a>","-1.59","","","24.0","","2.97","Spain","Cadiz, fish ponds","No","Yes"
