"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","12.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5119&pref=96811&sex=female&loo=12.20000&k=0.48400&id2=4887&genusname=Spicara&speciesname=maena&gm_loo=18.894182589703&gm_lm=9.1&gm_m=1&gm_k=0.26177382842473&vautoctr=21490&gm_lm_rl=0.52999997138977"">0.48</a>","-0.31","F","","","","1.86","France","Thau","No","No"
"2","15.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5119&pref=96811&sex=male&loo=15.10000&k=0.48900&id2=4887&genusname=Spicara&speciesname=maena&gm_loo=18.894182589703&gm_lm=9.1&gm_m=1&gm_k=0.26177382842473&vautoctr=21491&gm_lm_rl=0.52999997138977"">0.49</a>","-0.30","M","","","","2.05","France","Thau","No","No"
"3","17.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5119&pref=27030&sex=male&loo=17.10000&k=0.24000&id2=4887&genusname=Spicara&speciesname=maena&gm_loo=18.894182589703&gm_lm=9.1&gm_m=1&gm_k=0.26177382842473&vautoctr=4385&gm_lm_rl=0.52999997138977"">0.24</a>","-3.95","M","","19.0","","1.85","Greece","Patraikos Gulf","No","No"
"4","17.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5119&pref=57589&sex=female&loo=17.10000&k=0.31400&id2=4887&genusname=Spicara&speciesname=maena&gm_loo=18.894182589703&gm_lm=9.1&gm_m=1&gm_k=0.26177382842473&vautoctr=8936&gm_lm_rl=0.52999997138977"">0.31</a>","-0.64","F","","","","1.96","Turkey","Izmir Bay","No","No"
"5","17.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5119&pref=27030&sex=female&loo=17.30000&k=0.23000&id2=4887&genusname=Spicara&speciesname=maena&gm_loo=18.894182589703&gm_lm=9.1&gm_m=1&gm_k=0.26177382842473&vautoctr=4384&gm_lm_rl=0.52999997138977"">0.23</a>","-3.41","F","","19.0","9.1","1.84","Greece","Patraikos Gulf","No","No"
"6","18.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5119&pref=57589&sex=male&loo=18.30000&k=0.24700&id2=4887&genusname=Spicara&speciesname=maena&gm_loo=18.894182589703&gm_lm=9.1&gm_m=1&gm_k=0.26177382842473&vautoctr=8937&gm_lm_rl=0.52999997138977"">0.25</a>","-2.63","M","","","","1.92","Turkey","Izmir Bay","No","No"
"7","22.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5119&pref=93202&sex=unsexed&loo=21.99000&k=0.25500&id2=4887&genusname=Spicara&speciesname=maena&gm_loo=18.894182589703&gm_lm=9.1&gm_m=1&gm_k=0.26177382842473&vautoctr=11025&gm_lm_rl=0.52999997138977"">0.26</a>","-1.17","","","","","2.09","Turkey","Izmir Bay, central Aegean Sea, 2004-2007","No","No"
"8","23.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5119&pref=49038&sex=female&loo=23.80000&k=0.19800&id2=4887&genusname=Spicara&speciesname=maena&gm_loo=18.894182589703&gm_lm=9.1&gm_m=1&gm_k=0.26177382842473&vautoctr=9107&gm_lm_rl=0.52999997138977"">0.20</a>","-2.32","F","","","","2.05","Egypt","Alexandria","No","No"
"9","24.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5119&pref=57588&sex=mixed&loo=24.70000&k=0.16500&id2=4887&genusname=Spicara&speciesname=maena&gm_loo=18.894182589703&gm_lm=9.1&gm_m=1&gm_k=0.26177382842473&vautoctr=8935&gm_lm_rl=0.52999997138977"">0.17</a>","-0.97","","","","","2.00","Tunisia","Tunisian coasts","No","No"
"10","26.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=5119&pref=49038&sex=male&loo=26.30000&k=0.17900&id2=4887&genusname=Spicara&speciesname=maena&gm_loo=18.894182589703&gm_lm=9.1&gm_m=1&gm_k=0.26177382842473&vautoctr=9108&gm_lm_rl=0.52999997138977"">0.18</a>","-2.29","M","","","","2.09","Egypt","Alexandria","No","No"
