"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","11.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1375&pref=312&sex=unsexed&loo=11.90000&k=0.31000&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=2486&gm_lm_rl=0.77970402078611"">0.31</a>","-0.83","","","14.3","","1.64","Russia","Black Sea, Soviet Coast","Yes","No"
"2","13.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1375&pref=796&sex=unsexed&loo=13.00000&k=0.70000&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=2492&gm_lm_rl=0.77970402078611"">0.70</a>","","","","9.0","10.0","2.07","UK Engld Wal","`North Sea'","No","No"
"3","13.2","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1375&pref=5760&sex=unsexed&loo=13.20000&k=0.53000&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=2502&gm_lm_rl=0.77970402078611"">0.53</a>","","","","9.0","10.0","1.97","UK","North Sea","No","No"
"4","13.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=55042&pref=52153&sex=unsexed&loo=13.30000&k=0.51000&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=7725&gm_lm_rl=0.77970402078611"">0.51</a>","-1.46","","","","","1.96","Estonia","Northeast Baltic Sea","No","No"
"5","13.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1375&pref=56764&sex=male&loo=13.40000&k=0.41200&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=8820&gm_lm_rl=0.77970402078611"">0.41</a>","-1.30","M","","","","1.87","Turkey","Trabzon coast, Southern Black Sea","No","No"
"6","13.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1375&pref=56751&sex=female&loo=13.77000&k=0.42000&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=8807&gm_lm_rl=0.77970402078611"">0.42</a>","-1.13","F","","","","1.90","Turkey","southern Black Sea","No","No"
"7","14.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1375&pref=847&sex=unsexed&loo=14.00000&k=0.63000&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=2493&gm_lm_rl=0.77970402078611"">0.63</a>","","","","9.0","","2.09","UK Engld Wal","Western England","No","No"
"8","14.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1375&pref=56751&sex=male&loo=14.00000&k=0.38000&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=8808&gm_lm_rl=0.77970402078611"">0.38</a>","-1.20","M","","","","1.87","Turkey","southern Black Sea","No","No"
"9","14.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1375&pref=312&sex=unsexed&loo=14.20000&k=0.36800&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=2487&gm_lm_rl=0.77970402078611"">0.37</a>","-2.30","","","19.0","","1.87","France","Southern waters","No","No"
"10","14.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1375&pref=312&sex=unsexed&loo=14.40000&k=0.45200&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=2488&gm_lm_rl=0.77970402078611"">0.45</a>","","","","14.0","","1.97","Croatia","Northern Adriatic, West coast of Istrian Peninsula","No","No"
"11","14.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1375&pref=1139&sex=unsexed&loo=14.40000&k=0.29800&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=2496&gm_lm_rl=0.77970402078611"">0.30</a>","","","0.70","9.0","12.0","1.79","Sweden","Gotland Is., Western Baltic","No","No"
"12","14.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1375&pref=56764&sex=female&loo=14.60000&k=0.29800&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=8821&gm_lm_rl=0.77970402078611"">0.30</a>","-1.88","F","","","","1.80","Turkey","Trabzon coast, southern Black Sea","No","No"
"13","14.7","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=55042&pref=4554&sex=unsexed&loo=14.70000&k=0.82100&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=2498&gm_lm_rl=0.77970402078611"">0.82</a>","","","","8.5","","2.25","Sweden","Gullmarsfjord","No","No"
"14","14.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=55042&pref=47114&sex=unsexed&loo=14.80000&k=0.68000&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=7214&gm_lm_rl=0.77970402078611"">0.68</a>","","","","9.0","","2.17","Germany","Western Baltic","No","No"
"15","14.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=55042&pref=848&sex=unsexed&loo=14.90000&k=1.02000&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=2495&gm_lm_rl=0.77970402078611"">1.02</a>","-0.04","","","8.0","","2.35","Germany","Kiel Bight","No","No"
"16","14.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=55042&pref=1139&sex=unsexed&loo=14.90000&k=1.02000&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=2497&gm_lm_rl=0.77970402078611"">1.02</a>","","","0.49","8.0","","2.35","Poland","Baltic (off Gdánsk)","Yes","No"
"17","15.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=56829&pref=94462&sex=mixed&loo=15.00000&k=0.50300&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=11746&gm_lm_rl=0.77970402078611"">0.50</a>","-0.49","","","","8.5","2.05","","North Sea, Sub-area IV","No","No"
"18","16.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1375&pref=312&sex=unsexed&loo=16.00000&k=0.65000&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=2489&gm_lm_rl=0.77970402078611"">0.65</a>","","","","12.0","13.0","2.22","Norway","","No","No"
"19","16.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=55042&pref=4554&sex=unsexed&loo=16.00000&k=0.95000&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=2499&gm_lm_rl=0.77970402078611"">0.95</a>","","","1.05","8.5","12.0","2.39","Sweden","Gullmarsfjord","No","No"
"20","16.3","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1375&pref=4554&sex=unsexed&loo=16.30000&k=0.60600&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=2500&gm_lm_rl=0.77970402078611"">0.61</a>","","","","8.5","","2.21","Sweden","Kattegat","No","No"
"21","16.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1375&pref=847&sex=unsexed&loo=16.40000&k=0.53000&id2=1357&genusname=Sprattus&speciesname=sprattus&gm_loo=14.726014747749&gm_lm=10.813358938168&gm_m=0.7114774497704&gm_k=0.50184151852579&vautoctr=2494&gm_lm_rl=0.77970402078611"">0.53</a>","","","","9.0","","2.15","UK Engld Wal","Western England","No","No"
