"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","221.0","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=237&pref=52468&sex=mixed&loo=221.00000&k=0.23000&id2=223&genusname=Kajikia&speciesname=audax&gm_loo=270.93980066322&gm_lm=190&gm_m=1&gm_k=0.39935869802747&vautoctr=8515&gm_lm_rl=0.61000001430511"">0.23</a>","","","","","","4.05","Mexico","Cabo San Lucas, Baja California Sur","No","No"
"2","240.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=237&pref=1001&sex=female&loo=240.00000&k=0.81000&id2=223&genusname=Kajikia&speciesname=audax&gm_loo=270.93980066322&gm_lm=190&gm_m=1&gm_k=0.39935869802747&vautoctr=1106&gm_lm_rl=0.61000001430511"">0.81</a>","","F","","25.0","","4.67","Hawaii","North Central Pacific","No","No"
"3","243.8","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=237&pref=97247&sex=male&loo=243.80000&k=0.68000&id2=223&genusname=Kajikia&speciesname=audax&gm_loo=270.93980066322&gm_lm=190&gm_m=1&gm_k=0.39935869802747&vautoctr=21643&gm_lm_rl=0.61000001430511"">0.68</a>","-0.69","M","","","","4.61","","southwest Pacific Ocean","No","No"
"4","251.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=237&pref=59360&sex=female&loo=251.00000&k=0.73000&id2=223&genusname=Kajikia&speciesname=audax&gm_loo=270.93980066322&gm_lm=190&gm_m=1&gm_k=0.39935869802747&vautoctr=9631&gm_lm_rl=0.61000001430511"">0.73</a>","-0.14","F","","","","4.66","","","No","No"
"5","252.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=237&pref=3669&sex=male&loo=252.00000&k=0.74800&id2=223&genusname=Kajikia&speciesname=audax&gm_loo=270.93980066322&gm_lm=190&gm_m=1&gm_k=0.39935869802747&vautoctr=1109&gm_lm_rl=0.61000001430511"">0.75</a>","","M","","21.0","","4.68","South Africa","","No","No"
"6","256.5","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=237&pref=97247&sex=female&loo=256.50000&k=0.60000&id2=223&genusname=Kajikia&speciesname=audax&gm_loo=270.93980066322&gm_lm=190&gm_m=1&gm_k=0.39935869802747&vautoctr=21641&gm_lm_rl=0.61000001430511"">0.60</a>","-0.70","F","","","","4.60","","southwest Pacific Ocean","No","No"
"7","264.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=237&pref=97159&sex=mixed&loo=264.00000&k=0.44000&id2=223&genusname=Kajikia&speciesname=audax&gm_loo=270.93980066322&gm_lm=190&gm_m=1&gm_k=0.39935869802747&vautoctr=21292&gm_lm_rl=0.61000001430511"">0.44</a>","-1.07","","","","","4.49","","South West Pacific","No","No"
"8","275.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=237&pref=7173&sex=unsexed&loo=275.00000&k=0.26400&id2=223&genusname=Kajikia&speciesname=audax&gm_loo=270.93980066322&gm_lm=190&gm_m=1&gm_k=0.39935869802747&vautoctr=1110&gm_lm_rl=0.61000001430511"">0.26</a>","","","","18.0","","4.30","Japan","Western North Pacific","No","No"
"9","277.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=237&pref=1001&sex=male&loo=277.00000&k=0.41700&id2=223&genusname=Kajikia&speciesname=audax&gm_loo=270.93980066322&gm_lm=190&gm_m=1&gm_k=0.39935869802747&vautoctr=1107&gm_lm_rl=0.61000001430511"">0.42</a>","-0.52","M","","25.0","","4.51","Hawaii","North Central Pacific","No","No"
"10","301.0","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=237&pref=52468&sex=unsexed&loo=301.00000&k=0.22000&id2=223&genusname=Kajikia&speciesname=audax&gm_loo=270.93980066322&gm_lm=190&gm_m=1&gm_k=0.39935869802747&vautoctr=8513&gm_lm_rl=0.61000001430511"">0.22</a>","-0.04","","","","","4.30","New Zealand","","No","No"
"11","301.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=237&pref=96992&sex=unsexed&loo=301.00000&k=0.22000&id2=223&genusname=Kajikia&speciesname=audax&gm_loo=270.93980066322&gm_lm=190&gm_m=1&gm_k=0.39935869802747&vautoctr=21293&gm_lm_rl=0.61000001430511"">0.22</a>","","","","","","4.30","New Zealand","off New Zealand","No","No"
"12","301.0","OT","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=237&pref=97249&sex=mixed&loo=301.00000&k=0.22000&id2=223&genusname=Kajikia&speciesname=audax&gm_loo=270.93980066322&gm_lm=190&gm_m=1&gm_k=0.39935869802747&vautoctr=21644&gm_lm_rl=0.61000001430511"">0.22</a>","-0.04","","","","","4.30","New Zealand","Bay of Islands, Whangaroa, and Tutukaka","No","No"
"13","312.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=237&pref=312&sex=unsexed&loo=312.00000&k=0.20100&id2=223&genusname=Kajikia&speciesname=audax&gm_loo=270.93980066322&gm_lm=190&gm_m=1&gm_k=0.39935869802747&vautoctr=1105&gm_lm_rl=0.61000001430511"">0.20</a>","","","","27.2","190.0","4.29","Kenya","5°S 43°E, 400 m","No","No"
"14","320.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=237&pref=3669&sex=female&loo=320.00000&k=0.61000&id2=223&genusname=Kajikia&speciesname=audax&gm_loo=270.93980066322&gm_lm=190&gm_m=1&gm_k=0.39935869802747&vautoctr=1108&gm_lm_rl=0.61000001430511"">0.61</a>","","F","","21.0","","4.80","South Africa","","No","No"
