"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","51.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=332&pref=56649&sex=unsexed&loo=51.02000&k=0.44300&id2=318&genusname=Theragra&speciesname=chalcogramma&gm_loo=63.202926945765&gm_lm=38.949967907561&gm_m=0.43558771746929&gm_k=0.26031721011846&vautoctr=8765&gm_lm_rl=0.40999999642372"">0.44</a>","-0.08","","","","","3.06","Alaska","Bering Sea and Aleutian Island","Yes","No"
"2","51.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=332&pref=97162&sex=mixed&loo=51.02000&k=0.44300&id2=318&genusname=Theragra&speciesname=chalcogramma&gm_loo=63.202926945765&gm_lm=38.949967907561&gm_m=0.43558771746929&gm_k=0.26031721011846&vautoctr=21525&gm_lm_rl=0.40999999642372"">0.44</a>","-0.08","","","","","3.06","Alaska","Aleutian Islands","No","No"
"3","51.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=332&pref=97162&sex=mixed&loo=51.90000&k=0.41000&id2=318&genusname=Theragra&speciesname=chalcogramma&gm_loo=63.202926945765&gm_lm=38.949967907561&gm_m=0.43558771746929&gm_k=0.26031721011846&vautoctr=21526&gm_lm_rl=0.40999999642372"">0.41</a>","-0.53","","","","","3.04","Alaska","Aleutian Islands","No","No"
"4","51.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=332&pref=56649&sex=unsexed&loo=51.92000&k=0.41400&id2=318&genusname=Theragra&speciesname=chalcogramma&gm_loo=63.202926945765&gm_lm=38.949967907561&gm_m=0.43558771746929&gm_k=0.26031721011846&vautoctr=8763&gm_lm_rl=0.40999999642372"">0.41</a>","-0.53","","","","","3.05","Alaska","Bering Sea and Aleutian Islands","Yes","No"
"5","52.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=332&pref=2831&sex=unsexed&loo=52.20000&k=0.32000&id2=318&genusname=Theragra&speciesname=chalcogramma&gm_loo=63.202926945765&gm_lm=38.949967907561&gm_m=0.43558771746929&gm_k=0.26031721011846&vautoctr=1365&gm_lm_rl=0.40999999642372"">0.32</a>","","","0.40","5.0","","2.94","USA","Western Gulf of Alaska, 1973-75","No","No"
"6","53.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=332&pref=56649&sex=unsexed&loo=53.26000&k=0.38300&id2=318&genusname=Theragra&speciesname=chalcogramma&gm_loo=63.202926945765&gm_lm=38.949967907561&gm_m=0.43558771746929&gm_k=0.26031721011846&vautoctr=8764&gm_lm_rl=0.40999999642372"">0.38</a>","0.00","","","","","3.04","Alaska","Bering Sea and Aleutian Islands","Yes","No"
"7","53.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=332&pref=97162&sex=mixed&loo=53.30000&k=0.38300&id2=318&genusname=Theragra&speciesname=chalcogramma&gm_loo=63.202926945765&gm_lm=38.949967907561&gm_m=0.43558771746929&gm_k=0.26031721011846&vautoctr=21527&gm_lm_rl=0.40999999642372"">0.38</a>","0.00","","","","","3.04","Alaska","Aleutian Islands","No","No"
"8","53.5","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=332&pref=5760&sex=male&loo=53.50000&k=0.43000&id2=318&genusname=Theragra&speciesname=chalcogramma&gm_loo=63.202926945765&gm_lm=38.949967907561&gm_m=0.43558771746929&gm_k=0.26031721011846&vautoctr=1367&gm_lm_rl=0.40999999642372"">0.43</a>","","M","0.60","3.5","","3.09","","East Bering Sea","Yes","No"
"9","53.8","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=332&pref=5760&sex=female&loo=53.80000&k=0.40000&id2=318&genusname=Theragra&speciesname=chalcogramma&gm_loo=63.202926945765&gm_lm=38.949967907561&gm_m=0.43558771746929&gm_k=0.26031721011846&vautoctr=1366&gm_lm_rl=0.40999999642372"">0.40</a>","","F","0.60","3.5","","3.06","","East Bering Sea","Yes","No"
"10","54.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=332&pref=56649&sex=unsexed&loo=54.55000&k=0.39200&id2=318&genusname=Theragra&speciesname=chalcogramma&gm_loo=63.202926945765&gm_lm=38.949967907561&gm_m=0.43558771746929&gm_k=0.26031721011846&vautoctr=8766&gm_lm_rl=0.40999999642372"">0.39</a>","-0.36","","","","","3.07","Alaska","Bering Sea and Aleuten Islands","Yes","No"
