"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","169.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=160&pref=312&sex=unsexed&loo=169.00000&k=0.60800&id2=146&genusname=Thunnus&speciesname=obesus&gm_loo=210.88888466088&gm_lm=124.89995996797&gm_m=0.39&gm_k=0.18222554107387&vautoctr=956&gm_lm_rl=0.59329587876673"">0.61</a>","","","","18.0","","4.24","Mexico","Eastern tropical Pacific","Yes","No"
"2","180.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=160&pref=96992&sex=unsexed&loo=180.00000&k=0.07500&id2=146&genusname=Thunnus&speciesname=obesus&gm_loo=210.88888466088&gm_lm=124.89995996797&gm_m=0.39&gm_k=0.18222554107387&vautoctr=21542&gm_lm_rl=0.59329587876673"">0.08</a>","","","","","","3.39","","Western and Central Pacific","No","No"
"3","182.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=160&pref=36276&sex=unsexed&loo=182.00000&k=0.25100&id2=146&genusname=Thunnus&speciesname=obesus&gm_loo=210.88888466088&gm_lm=124.89995996797&gm_m=0.39&gm_k=0.18222554107387&vautoctr=5471&gm_lm_rl=0.59329587876673"">0.25</a>","","","","23.0","","3.92","","Western tropical Pacific","No","No"
"4","187.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=160&pref=1341&sex=unsexed&loo=187.00000&k=0.38000&id2=146&genusname=Thunnus&speciesname=obesus&gm_loo=210.88888466088&gm_lm=124.89995996797&gm_m=0.39&gm_k=0.18222554107387&vautoctr=960&gm_lm_rl=0.59329587876673"">0.38</a>","","","","23.0","120.0","4.12","French Polynesia","10°S 115°W, Eastern Pacific Ocean","No","No"
"5","195.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=160&pref=312&sex=unsexed&loo=195.00000&k=0.10600&id2=146&genusname=Thunnus&speciesname=obesus&gm_loo=210.88888466088&gm_lm=124.89995996797&gm_m=0.39&gm_k=0.18222554107387&vautoctr=957&gm_lm_rl=0.59329587876673"">0.11</a>","-1.13","","","18.0","","3.61","Japan","North Pacific current 28-40°N","No","No"
"6","196.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=160&pref=1344&sex=female&loo=196.00000&k=0.16700&id2=146&genusname=Thunnus&speciesname=obesus&gm_loo=210.88888466088&gm_lm=124.89995996797&gm_m=0.39&gm_k=0.18222554107387&vautoctr=961&gm_lm_rl=0.59329587876673"">0.17</a>","","F","","25.0","","3.81","Hawaii","Central Pacific (Hawaiian Longlines)","No","No"
"7","203.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=160&pref=96992&sex=unsexed&loo=203.00000&k=0.21000&id2=146&genusname=Thunnus&speciesname=obesus&gm_loo=210.88888466088&gm_lm=124.89995996797&gm_m=0.39&gm_k=0.18222554107387&vautoctr=21543&gm_lm_rl=0.59329587876673"">0.21</a>","","","","","","3.94","","Northwest Pacific","No","No"
"8","219.0","NG","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=160&pref=5760&sex=unsexed&loo=219.00000&k=0.23000&id2=146&genusname=Thunnus&speciesname=obesus&gm_loo=210.88888466088&gm_lm=124.89995996797&gm_m=0.39&gm_k=0.18222554107387&vautoctr=963&gm_lm_rl=0.59329587876673"">0.23</a>","","","0.39","20.0","","4.04","","Central Atlantic","No","No"
"9","222.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=160&pref=312&sex=unsexed&loo=222.00000&k=0.18300&id2=146&genusname=Thunnus&speciesname=obesus&gm_loo=210.88888466088&gm_lm=124.89995996797&gm_m=0.39&gm_k=0.18222554107387&vautoctr=958&gm_lm_rl=0.59329587876673"">0.18</a>","","","","25.0","","3.96","Hawaii","Central & Western Pacific","No","No"
"10","222.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=160&pref=1344&sex=male&loo=222.00000&k=0.11400&id2=146&genusname=Thunnus&speciesname=obesus&gm_loo=210.88888466088&gm_lm=124.89995996797&gm_m=0.39&gm_k=0.18222554107387&vautoctr=962&gm_lm_rl=0.59329587876673"">0.11</a>","","M","","25.0","","3.75","Hawaii","Central Pacific (Hawaiian Longlines)","No","No"
"11","236.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=160&pref=312&sex=unsexed&loo=236.00000&k=0.12500&id2=146&genusname=Thunnus&speciesname=obesus&gm_loo=210.88888466088&gm_lm=124.89995996797&gm_m=0.39&gm_k=0.18222554107387&vautoctr=959&gm_lm_rl=0.59329587876673"">0.13</a>","","","","12.5","130.0","3.84","","Pacific","No","No"
"12","269.0","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=160&pref=96992&sex=unsexed&loo=269.00000&k=0.26800&id2=146&genusname=Thunnus&speciesname=obesus&gm_loo=210.88888466088&gm_lm=124.89995996797&gm_m=0.39&gm_k=0.18222554107387&vautoctr=21544&gm_lm_rl=0.59329587876673"">0.27</a>","","","","","","4.29","","South-west Pacific","No","No"
"13","296.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=160&pref=59360&sex=unsexed&loo=296.50000&k=0.09400&id2=146&genusname=Thunnus&speciesname=obesus&gm_loo=210.88888466088&gm_lm=124.89995996797&gm_m=0.39&gm_k=0.18222554107387&vautoctr=9629&gm_lm_rl=0.59329587876673"">0.09</a>","-1.34","","","","","3.92","","","No","No"
