"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","49.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=381&pref=6974&sex=unsexed&loo=49.10000&k=0.18000&id2=367&genusname=Trachurus&speciesname=murphyi&gm_loo=81.694618938829&gm_lm=1&gm_m=1&gm_k=0.1083267067995&vautoctr=1511&gm_lm_rl=1"">0.18</a>","","","","15.0","","2.64","Chile","Talcahuano","No","No"
"2","51.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=381&pref=96397&sex=unsexed&loo=51.20000&k=0.15500&id2=367&genusname=Trachurus&speciesname=murphyi&gm_loo=81.694618938829&gm_lm=1&gm_m=1&gm_k=0.1083267067995&vautoctr=21091&gm_lm_rl=1"">0.16</a>","-1.40","","","","","2.61","New Zealand","","No","No"
"3","79.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=381&pref=6974&sex=unsexed&loo=79.10000&k=0.09000&id2=367&genusname=Trachurus&speciesname=murphyi&gm_loo=81.694618938829&gm_lm=1&gm_m=1&gm_k=0.1083267067995&vautoctr=1512&gm_lm_rl=1"">0.09</a>","","","","22.0","","2.75","Peru","Oceanic waters","No","No"
"4","81.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=381&pref=6974&sex=unsexed&loo=81.60000&k=0.09000&id2=367&genusname=Trachurus&speciesname=murphyi&gm_loo=81.694618938829&gm_lm=1&gm_m=1&gm_k=0.1083267067995&vautoctr=1513&gm_lm_rl=1"">0.09</a>","","","","15.0","","2.78","Chile","Oceanic waters","No","No"
"5","85.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=381&pref=6974&sex=unsexed&loo=85.40000&k=0.08000&id2=367&genusname=Trachurus&speciesname=murphyi&gm_loo=81.694618938829&gm_lm=1&gm_m=1&gm_k=0.1083267067995&vautoctr=1514&gm_lm_rl=1"">0.08</a>","","","","15.0","","2.77","Chile","Oceanic waters","No","No"
"6","85.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=381&pref=6974&sex=unsexed&loo=85.40000&k=0.11100&id2=367&genusname=Trachurus&speciesname=murphyi&gm_loo=81.694618938829&gm_lm=1&gm_m=1&gm_k=0.1083267067995&vautoctr=1515&gm_lm_rl=1"">0.11</a>","","","","15.0","","2.91","Chile","Oceanic waters","No","No"
"7","92.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=381&pref=6974&sex=unsexed&loo=92.70000&k=0.14000&id2=367&genusname=Trachurus&speciesname=murphyi&gm_loo=81.694618938829&gm_lm=1&gm_m=1&gm_k=0.1083267067995&vautoctr=1516&gm_lm_rl=1"">0.14</a>","","","","15.0","","3.08","Chile","Valparaiso (33°S)","No","No"
"8","99.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=381&pref=6974&sex=unsexed&loo=99.10000&k=0.12000&id2=367&genusname=Trachurus&speciesname=murphyi&gm_loo=81.694618938829&gm_lm=1&gm_m=1&gm_k=0.1083267067995&vautoctr=1517&gm_lm_rl=1"">0.12</a>","","","","15.0","","3.07","Chile","Oceanic waters","No","No"
"9","105.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=381&pref=6974&sex=unsexed&loo=105.00000&k=0.06000&id2=367&genusname=Trachurus&speciesname=murphyi&gm_loo=81.694618938829&gm_lm=1&gm_m=1&gm_k=0.1083267067995&vautoctr=1518&gm_lm_rl=1"">0.06</a>","","","","15.0","","2.82","Chile","Oceanic waters","No","No"
"10","116.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=381&pref=6974&sex=unsexed&loo=116.00000&k=0.11000&id2=367&genusname=Trachurus&speciesname=murphyi&gm_loo=81.694618938829&gm_lm=1&gm_m=1&gm_k=0.1083267067995&vautoctr=1519&gm_lm_rl=1"">0.11</a>","","","","15.0","","3.17","Chile","Valparaíso","No","No"
