"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","36.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1388&pref=9072&sex=male&loo=36.40000&k=0.48000&id2=1370&genusname=Zeus&speciesname=faber&gm_loo=53.772700548141&gm_lm=31.167069758083&gm_m=0.37&gm_k=0.24953386553126&vautoctr=2547&gm_lm_rl=0.7596766704317"">0.48</a>","","M","","11.0","32.0","2.80","New Zealand","","Yes","No"
"2","41.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1388&pref=9072&sex=female&loo=41.10000&k=0.42500&id2=1370&genusname=Zeus&speciesname=faber&gm_loo=53.772700548141&gm_lm=31.167069758083&gm_m=0.37&gm_k=0.24953386553126&vautoctr=2546&gm_lm_rl=0.7596766704317"">0.43</a>","","F","","11.0","38.5","2.86","New Zealand","","Yes","No"
"3","45.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1388&pref=96953&sex=male&loo=45.01000&k=0.13000&id2=1370&genusname=Zeus&speciesname=faber&gm_loo=53.772700548141&gm_lm=31.167069758083&gm_m=0.37&gm_k=0.24953386553126&vautoctr=21581&gm_lm_rl=0.7596766704317"">0.13</a>","-1.17","M","","","25.4","2.42","Turkey","Saros Bay (north Aegean)","No","No"
"4","50.8","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1388&pref=39234&sex=mixed&loo=50.80000&k=0.47000&id2=1370&genusname=Zeus&speciesname=faber&gm_loo=53.772700548141&gm_lm=31.167069758083&gm_m=0.37&gm_k=0.24953386553126&vautoctr=5554&gm_lm_rl=0.7596766704317"">0.47</a>","","","","11.0","","3.08","UK Engld Wal","English Channel","Yes","No"
"5","53.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1388&pref=36839&sex=mixed&loo=53.20000&k=0.15000&id2=1370&genusname=Zeus&speciesname=faber&gm_loo=53.772700548141&gm_lm=31.167069758083&gm_m=0.37&gm_k=0.24953386553126&vautoctr=5985&gm_lm_rl=0.7596766704317"">0.15</a>","-1.00","","","12.0","","2.63","Australia","","Yes","No"
"6","57.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1388&pref=312&sex=unsexed&loo=57.90000&k=0.29800&id2=1370&genusname=Zeus&speciesname=faber&gm_loo=53.772700548141&gm_lm=31.167069758083&gm_m=0.37&gm_k=0.24953386553126&vautoctr=2544&gm_lm_rl=0.7596766704317"">0.30</a>","","","","17.5","","3.00","Mauritania","20°N","No","No"
"7","58.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1388&pref=96953&sex=female&loo=58.50000&k=0.11000&id2=1370&genusname=Zeus&speciesname=faber&gm_loo=53.772700548141&gm_lm=31.167069758083&gm_m=0.37&gm_k=0.24953386553126&vautoctr=21582&gm_lm_rl=0.7596766704317"">0.11</a>","-0.99","F","","","25.4","2.58","Turkey","Saros Bay (north Aegean)","No","No"
"8","60.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1388&pref=7207&sex=unsexed&loo=60.40000&k=0.29000&id2=1370&genusname=Zeus&speciesname=faber&gm_loo=53.772700548141&gm_lm=31.167069758083&gm_m=0.37&gm_k=0.24953386553126&vautoctr=2545&gm_lm_rl=0.7596766704317"">0.29</a>","","","0.37","17.5","","3.02","Mauritania","","No","No"
"9","60.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1388&pref=57585&sex=mixed&loo=60.70000&k=0.29800&id2=1370&genusname=Zeus&speciesname=faber&gm_loo=53.772700548141&gm_lm=31.167069758083&gm_m=0.37&gm_k=0.24953386553126&vautoctr=8930&gm_lm_rl=0.7596766704317"">0.30</a>","0.36","","","","","3.04","Turkey","Izmir Bay","No","No"
"10","69.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1388&pref=312&sex=female&loo=69.30000&k=0.14700&id2=1370&genusname=Zeus&speciesname=faber&gm_loo=53.772700548141&gm_lm=31.167069758083&gm_m=0.37&gm_k=0.24953386553126&vautoctr=2543&gm_lm_rl=0.7596766704317"">0.15</a>","","F","","11.0","37.0","2.85","France","Bay of Biscay to Channel","No","No"
"11","69.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=1388&pref=57601&sex=unsexed&loo=69.40000&k=0.30000&id2=1370&genusname=Zeus&speciesname=faber&gm_loo=53.772700548141&gm_lm=31.167069758083&gm_m=0.37&gm_k=0.24953386553126&vautoctr=8962&gm_lm_rl=0.7596766704317"">0.30</a>","","","","","","3.16","Italy","N. Tuscan Sea","No","No"
