"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","47","","Iran","Caspian Sea"
"2","female","2.8 kg","46.1","16","Czech Rep","Danube (near mouth of Drava R.), 2001"
"3","unsexed","10.2 kg","","","UK","gavel pit Ferry Lagoon, 2009"
"4","unsexed","1.2 kg","82","","Finland","Hollola, Vesijärvi, 1912"
"5","unsexed","9.0 kg","","","Denmark","Karlsgarde Lake, unknown"
"6","unsexed","639.00 g","31","13","Hungary","Lake Balaton, northeast, 1982-83"
"7","unsexed","764.00 g","32","11","Hungary","Lake Balaton, southwest, 1982-83"
"8","female","","42.2","14","Greece","Lake Volvi (1989-1991)"
"9","male","","40.5","14","Greece","Lake Volvi (1989-1991)"
"10","unsexed","","31.4","","China","Not specified"
"11","unsexed","","70","20","","not specified"
